HOLE_ID,FROM,TO,LITH,VEIN
UD0040,114.5,171.75,AND,
UD0040,171.75,173.75,BX,V2
UD0040,173.75,174.5,QV,V2
UD0040,174.5,176.5,BX,V2
UD0040,176.5,196.0,AND,
UD0040,196.0,197.75,BX,V4
UD0040,197.75,198.25,QV,V4
UD0040,198.25,200.0,BX,V4
UD0040,200.0,204.23,AND,
UD0041,0.0,51.75,RHY,
UD0041,51.75,326.5,AND,
UD0041,326.5,328.5,BX,V3
UD0041,328.5,329.75,QV,V3
UD0041,329.75,331.75,BX,V3
UD0041,331.75,423.5,AND,
UD0041,423.5,425.25,BX,V1
UD0041,425.25,427.5,QV,V1
UD0041,427.5,429.25,BX,V1
UD0041,429.25,548.22,AND,
UD0042,0.0,45.75,RHY,
UD0042,45.75,99.5,AND,
UD0042,99.5,101.5,BX,V1
UD0042,101.5,102.5,QV,V1
UD0042,102.5,104.5,BX,V1
UD0042,104.5,171.75,AND,
UD0042,171.75,173.75,BX,V2
UD0042,173.75,175.5,QV,V2
UD0042,175.5,177.75,BX,V2
UD0042,177.75,178.0,AND,
UD0042,178.0,180.0,BX,V4
UD0042,180.0,181.0,QV,V4
UD0042,181.0,183.25,BX,V4
UD0042,183.25,235.09,AND,
UD0043,0.0,35.25,RHY,
UD0043,35.25,227.5,AND,
UD0043,227.5,229.5,BX,V3
UD0043,229.5,232.0,QV,V3
UD0043,232.0,233.75,BX,V3
UD0043,233.75,323.75,AND,
UD0043,323.75,325.75,BX,V1
UD0043,325.75,331.5,QV,V1
UD0043,331.5,333.25,BX,V1
UD0043,333.25,345.0,AND,
UD0043,345.0,346.75,BX,V4
UD0043,346.75,347.25,QV,V4
UD0043,347.25,348.75,BX,V4
UD0043,348.75,415.75,AND,
UD0043,415.75,417.5,BX,V2
UD0043,417.5,418.75,QV,V2
UD0043,418.75,420.75,BX,V2
UD0043,420.75,466.01,AND,
UD0044,0.0,46.5,RHY,
UD0044,46.5,48.5,BX,V1
UD0044,48.5,49.75,QV,V1
UD0044,49.75,52.0,BX,V1
UD0044,52.0,120.5,AND,
UD0044,120.5,122.75,BX,V4
UD0044,122.75,124.5,QV,V4
UD0044,124.5,126.25,BX,V2
UD0044,126.25,129.25,QV,V2
UD0044,129.25,131.5,BX,V2
UD0044,131.5,171.17,AND,
UD0045,0.0,40.75,RHY,
UD0045,40.75,419.75,AND,
UD0045,419.75,421.5,BX,V3
UD0045,421.5,422.75,QV,V3
UD0045,422.75,424.5,BX,V3
UD0045,424.5,524.0,AND,
UD0045,524.0,526.0,BX,V1
UD0045,526.0,530.0,QV,V1
UD0045,530.0,532.0,BX,V1
UD0045,532.0,655.54,AND,
UD0046,0.0,38.75,RHY,
UD0046,38.75,396.25,AND,
UD0046,396.25,398.0,BX,V3
UD0046,398.0,400.25,QV,V3
UD0046,400.25,402.0,BX,V3
UD0046,402.0,488.25,AND,
UD0046,488.25,490.25,BX,V1
UD0046,490.25,493.25,QV,V1
UD0046,493.25,495.0,BX,V1
UD0046,495.0,620.87,AND,
UD0047,0.0,43.0,RHY,
UD0047,43.0,108.25,AND,
UD0047,108.25,110.0,BX,V1
UD0047,110.0,110.75,QV,V1
UD0047,110.75,112.5,BX,V1
UD0047,112.5,146.5,AND,
UD0047,146.5,148.5,BX,V4
UD0047,148.5,149.5,QV,V4
UD0047,149.5,151.5,BX,V4
UD0047,151.5,176.75,AND,
UD0047,176.75,178.75,BX,V2
UD0047,178.75,180.0,QV,V2
UD0047,180.0,182.0,BX,V2
UD0047,182.0,235.1,AND,
UD0048,0.0,33.5,RHY,
UD0048,33.5,108.5,AND,
UD0048,108.5,110.5,BX,V3
UD0048,110.5,113.75,QV,V3
UD0048,113.75,115.75,BX,V3
UD0048,115.75,197.25,AND,
UD0048,197.25,199.25,BX,V1
UD0048,199.25,202.5,QV,V1
UD0048,202.5,204.75,BX,V1
UD0048,204.75,238.5,AND,
UD0048,238.5,240.5,BX,V4
UD0048,240.5,241.75,QV,V4
UD0048,241.75,243.75,BX,V4
UD0048,243.75,294.25,AND,
UD0048,294.25,296.75,BX,V2
UD0048,296.75,298.75,QV,V2
UD0048,298.75,301.25,BX,V2
UD0048,301.25,302.44,AND,
UD0049,0.0,28.0,RHY,
UD0049,28.0,218.75,AND,
UD0049,218.75,221.0,BX,V3
UD0049,221.0,223.0,QV,V3
UD0049,223.0,225.5,BX,V3
UD0049,225.5,331.75,AND,
UD0049,331.75,334.0,BX,V1
UD0049,334.0,339.25,QV,V1
UD0049,339.25,341.5,BX,V1
UD0049,341.5,437.75,AND,
UD0049,437.75,439.75,BX,V2
UD0049,439.75,440.75,QV,V2
UD0049,440.75,442.49,BX,V2
UD0050,0.0,43.0,RHY,
UD0050,43.0,47.25,AND,
UD0050,47.25,49.25,BX,V1
UD0050,49.25,50.75,QV,V1
UD0050,50.75,52.75,BX,V1
UD0050,52.75,95.25,AND,
UD0050,95.25,97.25,BX,V4
UD0050,97.25,99.0,QV,V4
UD0050,99.0,101.0,BX,V4
UD0050,101.0,122.75,AND,
UD0050,122.75,125.25,BX,V2
UD0050,125.25,127.25,QV,V2
UD0050,127.25,129.75,BX,V2
UD0050,129.75,171.81,AND,
UD0051,0.0,21.25,RHY,
UD0051,21.25,170.75,AND,
UD0051,170.75,173.0,BX,V3
UD0051,173.0,175.25,QV,V3
UD0051,175.25,177.5,BX,V3
UD0051,177.5,280.25,AND,
UD0051,280.25,282.25,BX,V4
UD0051,282.25,283.25,QV,V4
UD0051,283.25,284.5,BX,V1
UD0051,284.5,289.75,QV,V1
UD0051,289.75,292.0,BX,V1
UD0051,292.0,379.25,AND,
UD0051,379.25,381.5,BX,V2
UD0051,381.5,382.0,QV,V2
UD0051,382.0,384.25,BX,V2
UD0051,384.25,424.51,AND,
UD0052,0.0,22.5,RHY,
UD0052,22.5,169.25,AND,
UD0052,169.25,171.0,BX,V3
UD0052,171.0,172.75,QV,V3
UD0052,172.75,174.5,BX,V3
UD0052,174.5,260.0,AND,
UD0052,260.0,261.0,BX,V4
UD0052,261.0,262.25,BX,V1
UD0052,262.25,263.5,QV,V4
UD0052,263.5,266.0,QV,V1
UD0052,266.0,268.0,BX,V1
UD0052,268.0,341.75,AND,
UD0052,341.75,343.5,BX,V2
UD0052,343.5,345.0,QV,V2
UD0052,345.0,347.0,BX,V2
UD0052,347.0,387.02,AND,
UD0053,0.0,42.25,RHY,
UD0053,42.25,50.0,AND,
UD0053,50.0,52.0,BX,V1
UD0053,52.0,53.75,QV,V1
UD0053,53.75,55.75,BX,V1
UD0053,55.75,68.0,AND,
UD0053,68.0,69.75,BX,V4
UD0053,69.75,71.25,QV,V4
UD0053,71.25,73.0,BX,V4
UD0053,73.0,108.25,AND,
UD0053,108.25,110.5,BX,V2
UD0053,110.5,113.0,QV,V2
UD0053,113.0,115.25,BX,V2
UD0053,115.25,141.91,AND,
UD0054,0.0,20.5,RHY,
UD0054,20.5,406.5,AND,
UD0054,406.5,408.25,BX,V3
UD0054,408.25,409.0,QV,V3
UD0054,409.0,410.75,BX,V3
UD0054,410.75,510.75,AND,
UD0054,510.75,512.5,BX,V1
UD0054,512.5,514.25,QV,V1
UD0054,514.25,516.0,BX,V1
UD0054,516.0,661.9,AND,
UD0055,0.0,18.75,RHY,
UD0055,18.75,329.0,AND,
UD0055,329.0,331.0,BX,V3
UD0055,331.0,332.25,QV,V3
UD0055,332.25,334.25,BX,V3
UD0055,334.25,440.25,AND,
UD0055,440.25,442.25,BX,V1
UD0055,442.25,446.5,QV,V1
UD0055,446.5,448.25,BX,V1
UD0055,448.25,572.82,AND,
UD0056,0.0,22.25,RHY,
UD0056,22.25,334.75,AND,
UD0056,334.75,336.75,BX,V3
UD0056,336.75,339.0,QV,V3
UD0056,339.0,340.75,BX,V3
UD0056,340.75,428.5,AND,
UD0056,428.5,430.5,BX,V1
UD0056,430.5,435.75,QV,V1
UD0056,435.75,438.0,BX,V1
UD0056,438.0,560.06,AND,
UD0057,0.0,33.0,RHY,
UD0057,33.0,96.5,AND,
UD0057,96.5,98.5,BX,V1
UD0057,98.5,100.0,QV,V1
UD0057,100.0,102.0,QV,V4
UD0057,102.0,103.25,BX,V1
UD0057,103.25,104.0,BX,V4
UD0057,104.0,169.25,AND,
UD0057,169.25,171.5,BX,V2
UD0057,171.5,172.75,QV,V2
UD0057,172.75,174.75,BX,V2
UD0057,174.75,194.38,AND,
UD0058,0.0,12.75,RHY,
UD0058,12.75,266.75,AND,
UD0058,266.75,268.75,BX,V3
UD0058,268.75,270.0,QV,V3
UD0058,270.0,272.0,BX,V3
UD0058,272.0,326.0,AND,
UD0058,326.0,328.0,BX,V4
UD0058,328.0,328.25,QV,V4
UD0058,328.25,330.25,BX,V4
UD0058,330.25,362.25,AND,
UD0058,362.25,364.25,BX,V1
UD0058,364.25,368.25,QV,V1
UD0058,368.25,370.25,BX,V1
UD0058,370.25,424.75,AND,
UD0058,424.75,426.5,BX,V2
UD0058,426.5,427.0,QV,V2
UD0058,427.0,429.0,BX,V2
UD0058,429.0,513.41,AND,
UD0059,0.0,22.25,RHY,
UD0059,22.25,74.0,AND,
UD0059,74.0,76.25,BX,V3
UD0059,76.25,79.0,QV,V3
UD0059,79.0,81.25,BX,V3
UD0059,81.25,155.5,AND,
UD0059,155.5,157.75,BX,V4
UD0059,157.75,159.5,QV,V4
UD0059,159.5,161.75,BX,V4
UD0059,161.75,182.75,AND,
UD0059,182.75,185.5,BX,V1
UD0059,185.5,190.25,QV,V1
UD0059,190.25,192.75,BX,V1
UD0059,192.75,272.5,AND,
UD0059,272.5,275.0,BX,V2
UD0059,275.0,278.0,QV,V2
UD0059,278.0,280.25,BX,V2
UD0059,280.25,282.96,AND,
UD0060,0.0,19.75,RHY,
UD0060,19.75,410.0,AND,
UD0060,410.0,411.75,BX,V3
UD0060,411.75,412.5,QV,V3
UD0060,412.5,414.25,BX,V3
UD0060,414.25,504.0,AND,
UD0060,504.0,505.75,BX,V1
UD0060,505.75,509.0,QV,V1
UD0060,509.0,510.75,BX,V1
UD0060,510.75,655.3,AND,
UD0061,0.0,36.5,RHY,
UD0061,36.5,40.25,AND,
UD0061,40.25,42.5,BX,V1
UD0061,42.5,44.5,QV,V1
UD0061,44.5,46.75,BX,V1
UD0061,46.75,47.25,AND,
UD0061,47.25,49.5,BX,V4
UD0061,49.5,51.0,QV,V4
UD0061,51.0,53.25,BX,V4
UD0061,53.25,126.0,AND,
UD0061,126.0,128.75,BX,V2
UD0061,128.75,131.0,QV,V2
UD0061,131.0,133.75,BX,V2
UD0061,133.75,175.9,AND,
UD0062,0.0,9.75,RHY,
UD0062,9.75,294.75,AND,
UD0062,294.75,296.75,BX,V3
UD0062,296.75,297.75,QV,V3
UD0062,297.75,299.75,BX,V3
UD0062,299.75,400.75,AND,
UD0062,400.75,403.0,BX,V1
UD0062,403.0,408.5,QV,V1
UD0062,408.5,410.5,BX,V1
UD0062,410.5,541.27,AND,
UD0063,0.0,15.25,RHY,
UD0063,15.25,145.0,AND,
UD0063,145.0,147.0,BX,V3
UD0063,147.0,148.0,QV,V3
UD0063,148.0,150.0,BX,V3
UD0063,150.0,163.25,AND,
UD0063,163.25,165.5,BX,V4
UD0063,165.5,166.25,QV,V4
UD0063,166.25,168.5,BX,V4
UD0063,168.5,245.75,AND,
UD0063,245.75,248.0,BX,V1
UD0063,248.0,250.75,QV,V1
UD0063,250.75,252.75,BX,V1
UD0063,252.75,328.0,AND,
UD0063,328.0,330.0,BX,V2
UD0063,330.0,331.25,QV,V2
UD0063,331.25,333.25,BX,V2
UD0063,333.25,389.06,AND,
UD0064,0.0,23.75,RHY,
UD0064,23.75,90.25,AND,
UD0064,90.25,92.0,BX,V3
UD0064,92.0,93.5,QV,V3
UD0064,93.5,95.25,BX,V3
UD0064,95.25,118.75,AND,
UD0064,118.75,120.75,BX,V4
UD0064,120.75,121.25,QV,V4
UD0064,121.25,123.25,BX,V4
UD0064,123.25,166.25,AND,
UD0064,166.25,168.25,BX,V1
UD0064,168.25,171.0,QV,V1
UD0064,171.0,173.0,BX,V1
UD0064,173.0,235.0,AND,
UD0064,235.0,237.0,BX,V2
UD0064,237.0,238.25,QV,V2
UD0064,238.25,240.0,BX,V2
UD0064,240.0,251.67,AND,
UD0065,0.0,7.5,RHY,
UD0065,7.5,280.5,AND,
UD0065,280.5,282.75,BX,V3
UD0065,282.75,284.75,QV,V3
UD0065,284.75,287.25,BX,V3
UD0065,287.25,401.5,AND,
UD0065,401.5,404.0,BX,V1
UD0065,404.0,408.0,QV,V1
UD0065,408.0,410.25,BX,V1
UD0065,410.25,552.13,AND,
UD0066,0.0,8.75,RHY,
UD0066,8.75,371.75,AND,
UD0066,371.75,373.75,BX,V3
UD0066,373.75,375.5,QV,V3
UD0066,375.5,377.5,BX,V3
UD0066,377.5,466.5,AND,
UD0066,466.5,468.5,BX,V1
UD0066,468.5,469.5,QV,V1
UD0066,469.5,471.5,BX,V1
UD0066,471.5,625.65,AND,
UD0067,0.0,16.25,RHY,
UD0067,16.25,139.5,AND,
UD0067,139.5,141.25,BX,V3
UD0067,141.25,142.25,QV,V3
UD0067,142.25,144.0,BX,V3
UD0067,144.0,167.0,AND,
UD0067,167.0,169.0,BX,V4
UD0067,169.0,169.75,QV,V4
UD0067,169.75,171.75,BX,V4
UD0067,171.75,224.25,AND,
UD0067,224.25,226.25,BX,V1
UD0067,226.25,228.75,QV,V1
UD0067,228.75,230.75,BX,V1
UD0067,230.75,289.25,AND,
UD0067,289.25,291.0,BX,V2
UD0067,291.0,292.25,QV,V2
UD0067,292.25,294.25,BX,V2
UD0067,294.25,357.35,AND,
UD0068,0.0,41.75,RHY,
UD0068,41.75,42.75,AND,
UD0068,42.75,44.75,BX,V1
UD0068,44.75,47.25,QV,V1
UD0068,47.25,49.25,BX,V1
UD0068,49.25,117.5,AND,
UD0068,117.5,119.75,BX,V2
UD0068,119.75,123.5,QV,V2
UD0068,123.5,126.0,BX,V2
UD0068,126.0,132.09,AND,
UD0069,0.0,9.5,RHY,
UD0069,9.5,294.5,AND,
UD0069,294.5,296.75,BX,V3
UD0069,296.75,299.0,QV,V3
UD0069,299.0,301.25,BX,V3
UD0069,301.25,399.75,AND,
UD0069,399.75,402.25,BX,V1
UD0069,402.25,403.75,QV,V1
UD0069,403.75,406.5,BX,V1
UD0069,406.5,518.4,AND,
UD0070,0.0,37.5,RHY,
UD0070,37.5,94.5,AND,
UD0070,94.5,96.5,BX,V1
UD0070,96.5,98.0,QV,V1
UD0070,98.0,100.0,BX,V1
UD0070,100.0,167.75,AND,
UD0070,167.75,169.75,BX,V2
UD0070,169.75,174.0,QV,V2
UD0070,174.0,176.25,BX,V2
UD0070,176.25,220.85,AND,
UD0071,0.0,44.5,RHY,
UD0071,44.5,45.5,AND,
UD0071,45.5,47.5,BX,V1
UD0071,47.5,50.75,QV,V1
UD0071,50.75,52.5,BX,V1
UD0071,52.5,115.75,AND,
UD0071,115.75,117.75,BX,V2
UD0071,117.75,121.25,QV,V2
UD0071,121.25,123.5,BX,V2
UD0071,123.5,161.8,AND,
UD0072,0.0,15.5,RHY,
UD0072,15.5,368.75,AND,
UD0072,368.75,370.5,BX,V3
UD0072,370.5,372.25,QV,V3
UD0072,372.25,374.0,BX,V3
UD0072,374.0,440.0,AND,
UD0072,440.0,441.75,BX,V1
UD0072,441.75,444.25,QV,V1
UD0072,444.25,446.0,BX,V1
UD0072,446.0,593.53,AND,
UD0073,0.0,13.75,RHY,
UD0073,13.75,184.25,AND,
UD0073,184.25,186.25,BX,V4
UD0073,186.25,188.0,QV,V4
UD0073,188.0,189.5,BX,V4
UD0073,189.5,191.5,BX,V3
UD0073,191.5,192.75,QV,V3
UD0073,192.75,194.5,BX,V3
UD0073,194.5,271.25,AND,
UD0073,271.25,273.0,BX,V1
UD0073,273.0,279.0,QV,V1
UD0073,279.0,280.5,BX,V1
UD0073,280.5,346.5,AND,
UD0073,346.5,348.5,BX,V2
UD0073,348.5,350.25,QV,V2
UD0073,350.25,352.0,BX,V2
UD0073,352.0,417.82,AND,
UD0074,0.0,17.0,RHY,
UD0074,17.0,331.25,AND,
UD0074,331.25,333.0,BX,V3
UD0074,333.0,334.25,QV,V3
UD0074,334.25,336.25,BX,V3
UD0074,336.25,429.25,AND,
UD0074,429.25,431.75,BX,V1
UD0074,431.75,435.5,QV,V1
UD0074,435.5,437.75,BX,V1
UD0074,437.75,589.0,AND,
UD0075,0.0,26.75,RHY,
UD0075,26.75,124.25,AND,
UD0075,124.25,126.25,BX,V3
UD0075,126.25,127.25,QV,V3
UD0075,127.25,129.0,BX,V3
UD0075,129.0,207.25,AND,
UD0075,207.25,209.25,BX,V1
UD0075,209.25,210.75,QV,V1
UD0075,210.75,213.0,BX,V1
UD0075,213.0,281.5,AND,
UD0075,281.5,283.75,BX,V2
UD0075,283.75,285.25,QV,V2
UD0075,285.25,287.75,BX,V2
UD0075,287.75,341.33,AND,
UD0076,0.0,14.0,RHY,
UD0076,14.0,393.5,AND,
UD0076,393.5,395.5,BX,V3
UD0076,395.5,398.0,QV,V3
UD0076,398.0,400.0,BX,V3
UD0076,400.0,491.25,AND,
UD0076,491.25,493.5,BX,V1
UD0076,493.5,498.5,QV,V1
UD0076,498.5,500.5,BX,V1
UD0076,500.5,614.53,AND,
UD0077,0.0,33.75,RHY,
UD0077,33.75,53.0,AND,
UD0077,53.0,55.0,BX,V3
UD0077,55.0,55.75,QV,V3
UD0077,55.75,58.0,BX,V3
UD0077,58.0,136.5,AND,
UD0077,136.5,139.25,BX,V1
UD0077,139.25,140.0,QV,V1
