HOLE_ID,FROM,TO,AU_GPT,AG_GPT,AS_PPM
UD0002,308.01,310.02,0.005,0.54,48.0
UD0002,310.02,312.02,0.005,0.73,5.0
UD0002,312.02,314.03,0.012,0.63,8.0
UD0002,314.03,316.03,0.012,1.12,22.0
UD0002,316.03,318.04,0.01,0.16,31.0
UD0002,318.04,320.04,0.011,0.88,33.0
UD0002,320.04,322.05,0.005,0.28,16.0
UD0002,322.05,324.05,0.005,0.15,4.0
UD0002,324.05,326.06,0.006,0.14,10.0
UD0002,326.06,328.06,0.023,0.23,28.0
UD0002,328.06,330.07,0.012,0.99,31.0
UD0002,330.07,332.07,0.046,1.47,16.0
UD0002,332.07,334.08,0.01,0.41,38.0
UD0002,334.08,336.08,0.016,0.27,34.0
UD0002,336.08,338.09,0.005,0.18,12.0
UD0002,338.09,340.09,0.008,0.75,27.0
UD0002,340.09,342.1,0.027,0.39,48.0
UD0002,342.1,344.1,0.005,0.14,18.0
UD0002,344.1,346.11,0.005,0.47,12.0
UD0002,346.11,348.11,0.012,1.26,64.0
UD0002,348.11,350.12,0.212,7.2,73.0
UD0002,350.12,352.12,0.005,0.37,5.0
UD0002,352.12,354.13,0.005,0.16,30.0
UD0002,354.13,356.13,0.014,1.55,29.0
UD0002,356.13,358.14,0.037,1.54,35.0
UD0002,358.14,360.14,0.005,0.22,102.0
UD0002,360.14,362.15,0.02,0.09,43.0
UD0002,362.15,364.15,0.083,0.39,20.0
UD0002,364.15,366.16,0.005,0.45,16.0
UD0002,366.16,368.16,0.033,2.14,45.0
UD0002,368.16,370.17,0.005,1.33,10.0
UD0002,370.17,372.17,0.054,1.14,20.0
UD0002,372.17,374.18,0.017,0.26,74.0
UD0002,374.18,376.18,0.008,1.26,40.0
UD0002,376.18,378.18,0.017,0.44,17.0
UD0002,378.18,380.19,0.033,0.56,9.0
UD0002,380.19,382.19,0.006,0.42,62.0
UD0002,382.19,384.2,0.005,0.94,24.0
UD0002,384.2,386.2,0.017,0.42,49.0
UD0002,386.2,388.21,0.023,0.69,83.0
UD0002,388.21,390.21,0.063,7.29,57.0
UD0002,390.21,392.22,0.005,0.1,6.0
UD0002,392.22,394.22,0.007,0.73,21.0
UD0002,394.22,396.23,0.005,1.27,26.0
UD0002,396.23,398.23,0.014,0.87,47.0
UD0002,398.23,400.24,0.116,2.25,46.0
UD0002,400.24,402.24,0.019,0.45,59.0
UD0002,402.24,404.25,0.03,0.6,26.0
UD0002,404.25,406.25,0.043,0.6,216.0
UD0002,406.25,408.26,0.078,1.41,99.0
UD0002,408.26,410.26,0.005,0.34,17.0
UD0002,410.26,412.27,0.019,0.48,60.0
UD0002,412.27,414.27,0.015,0.14,23.0
UD0002,414.27,416.28,0.007,0.31,13.0
UD0002,416.28,418.28,0.019,0.11,11.0
UD0002,418.28,420.29,0.005,0.36,6.0
UD0002,420.29,422.29,0.005,0.47,1.0
UD0002,422.29,424.3,0.015,1.71,11.0
UD0002,424.3,426.3,0.007,0.45,7.0
UD0002,426.3,428.31,0.02,0.55,18.0
UD0002,428.31,430.31,0.012,0.42,53.0
UD0002,430.31,432.32,0.032,0.52,22.0
UD0002,432.32,434.32,0.005,0.25,10.0
UD0003,106.75,108.75,0.005,0.14,15.0
UD0003,108.75,110.75,0.005,0.2,19.0
UD0003,110.75,112.75,0.04,1.25,23.0
UD0003,112.75,114.75,0.006,0.16,30.0
UD0003,114.75,116.75,0.005,0.08,21.0
UD0003,116.75,118.76,0.021,1.52,39.0
UD0003,118.76,120.76,0.048,0.75,30.0
UD0003,120.76,122.76,0.005,0.09,28.0
UD0003,122.76,124.76,0.005,0.41,131.0
UD0003,124.76,126.76,0.02,3.85,57.0
UD0003,126.76,128.76,0.031,1.07,37.0
UD0003,128.76,130.76,0.005,0.79,30.0
UD0003,130.76,132.76,0.017,5.6,31.0
UD0003,132.76,134.76,0.106,3.14,112.0
UD0003,134.76,136.76,0.061,1.63,66.0
UD0003,136.76,138.77,0.007,1.91,14.0
UD0003,138.77,140.77,0.005,0.59,8.0
UD0003,140.77,142.77,0.005,0.14,11.0
UD0003,142.77,144.77,0.008,0.4,9.0
UD0003,144.77,146.77,0.09,2.05,30.0
UD0003,146.77,148.77,0.161,3.49,38.0
UD0003,148.77,150.77,0.022,0.76,41.0
UD0003,150.77,152.77,0.005,0.12,29.0
UD0003,152.77,154.77,0.097,0.57,43.0
UD0003,154.77,156.77,0.005,0.6,2.0
UD0003,156.77,158.78,0.059,0.38,27.0
UD0003,158.78,160.78,0.036,2.71,19.0
UD0003,160.78,162.78,0.005,0.35,23.0
UD0003,162.78,164.78,0.011,0.57,27.0
UD0003,164.78,166.78,0.014,1.39,17.0
UD0003,166.78,168.78,0.005,0.43,9.0
UD0003,168.78,170.78,0.005,0.31,2.0
UD0003,170.78,172.78,0.005,0.28,6.0
UD0003,172.78,174.78,0.008,0.38,32.0
UD0003,174.78,176.78,0.034,0.36,60.0
UD0003,176.78,178.79,0.008,0.09,48.0
UD0003,178.79,180.79,0.006,0.57,33.0
UD0003,180.79,182.79,0.005,0.34,9.0
UD0003,182.79,184.79,0.023,0.42,78.0
UD0003,184.79,186.79,0.005,0.45,42.0
UD0003,186.79,188.79,0.005,0.41,10.0
UD0003,188.79,190.79,0.005,0.15,24.0
UD0003,190.79,192.79,0.005,0.31,169.0
UD0003,192.79,194.79,0.007,0.9,57.0
UD0003,194.79,196.79,0.011,0.34,88.0
UD0003,196.79,198.8,0.016,0.44,48.0
UD0003,198.8,200.8,0.008,0.77,38.0
UD0003,200.8,202.8,0.016,0.42,83.0
UD0003,202.8,204.8,0.01,0.49,14.0
UD0003,204.8,206.8,0.183,4.49,155.0
UD0003,206.8,208.8,0.01,0.23,42.0
UD0003,208.8,210.8,0.005,0.32,10.0
UD0003,210.8,212.8,0.006,1.23,16.0
UD0003,212.8,214.8,0.008,1.3,26.0
UD0003,214.8,216.8,0.006,0.23,7.0
UD0003,216.8,218.81,0.018,0.3,65.0
UD0003,218.81,220.81,0.042,1.39,17.0
UD0003,220.81,222.81,0.012,0.39,44.0
UD0003,222.81,224.81,0.018,0.39,34.0
UD0003,224.81,226.81,0.02,0.24,11.0
UD0003,226.81,228.81,0.007,0.13,61.0
UD0003,228.81,230.81,0.026,2.29,218.0
UD0003,230.81,232.81,0.005,0.52,75.0
UD0003,232.81,234.81,0.023,1.17,89.0
UD0003,234.81,236.81,0.073,3.67,44.0
UD0003,236.81,238.82,0.038,0.57,84.0
UD0003,238.82,240.82,0.013,0.55,176.0
UD0003,240.82,242.82,0.014,1.2,24.0
UD0003,242.82,244.82,0.01,0.34,24.0
UD0003,244.82,246.82,0.017,1.29,35.0
UD0003,246.82,248.82,0.005,1.0,18.0
UD0003,248.82,250.82,0.048,1.39,19.0
UD0003,250.82,252.82,0.005,0.21,31.0
UD0003,252.82,254.82,0.011,0.94,18.0
UD0003,254.82,256.82,0.014,1.07,26.0
UD0003,256.82,258.83,0.061,0.58,61.0
UD0003,258.83,260.83,0.005,0.52,14.0
UD0003,260.83,262.83,0.005,0.45,27.0
UD0003,262.83,264.83,0.006,0.76,21.0
UD0003,264.83,266.83,0.006,0.17,17.0
UD0003,266.83,268.83,0.024,0.85,67.0
UD0003,268.83,270.83,0.012,0.61,83.0
UD0003,270.83,272.83,0.049,0.92,9.0
UD0003,272.83,274.83,0.034,1.3,71.0
UD0003,274.83,276.83,0.128,2.05,41.0
UD0003,276.83,278.83,0.028,0.54,66.0
UD0003,278.83,280.84,0.012,0.13,10.0
UD0003,280.84,282.84,0.018,1.15,33.0
UD0003,282.84,284.84,0.005,0.33,15.0
UD0003,284.84,286.84,0.007,0.11,69.0
UD0003,286.84,288.84,0.005,0.1,40.0
UD0003,288.84,290.84,0.012,0.58,42.0
UD0003,290.84,292.84,0.019,0.43,24.0
UD0003,292.84,294.84,0.013,0.22,20.0
UD0003,294.84,296.84,0.014,0.23,36.0
UD0003,296.84,298.84,0.005,0.15,16.0
UD0003,298.84,300.85,0.008,0.31,26.0
UD0003,300.85,302.85,0.009,0.33,50.0
UD0003,302.85,304.85,0.012,1.21,43.0
UD0003,304.85,306.85,0.201,6.68,14.0
UD0003,306.85,308.85,0.045,1.38,34.0
UD0003,308.85,310.85,0.099,1.03,29.0
UD0003,310.85,312.85,0.158,2.72,46.0
UD0003,312.85,314.85,0.008,1.05,8.0
UD0003,314.85,316.85,0.046,2.85,34.0
UD0003,316.85,318.85,0.007,0.19,39.0
UD0003,318.85,320.86,0.008,1.41,6.0
UD0003,320.86,322.86,0.015,0.81,19.0
UD0003,322.86,324.86,0.035,4.02,70.0
UD0003,324.86,326.86,0.005,0.52,9.0
UD0003,326.86,328.86,0.005,1.82,19.0
UD0003,328.86,330.86,0.012,0.43,65.0
UD0003,330.86,332.86,0.019,0.45,65.0
UD0003,332.86,334.86,0.005,0.2,9.0
UD0003,334.86,336.86,0.005,0.2,31.0
UD0003,336.86,338.86,0.011,0.21,142.0
UD0003,338.86,340.87,0.005,0.37,16.0
UD0003,340.87,342.87,0.005,0.59,27.0
UD0003,342.87,344.87,0.109,4.89,84.0
UD0003,344.87,346.87,0.023,3.08,32.0
UD0003,346.87,348.87,0.005,0.28,15.0
UD0003,348.87,350.87,0.021,0.33,40.0
UD0003,350.87,352.87,0.005,0.68,15.0
UD0003,352.87,354.87,0.073,1.16,67.0
UD0003,354.87,356.87,0.005,0.2,30.0
UD0003,356.87,358.87,0.033,0.25,103.0
UD0003,358.87,360.88,0.005,0.44,18.0
UD0003,360.88,362.88,0.033,1.22,33.0
UD0003,362.88,364.88,0.026,0.58,13.0
UD0003,364.88,366.88,0.072,1.28,35.0
UD0003,366.88,368.88,0.097,1.42,14.0
UD0003,368.88,370.88,0.006,0.31,31.0
UD0003,370.88,372.88,0.098,2.67,39.0
UD0003,372.88,374.88,0.06,1.51,130.0
UD0003,374.88,376.88,0.061,1.32,147.0
UD0003,376.88,378.88,0.022,0.65,51.0
UD0003,378.88,380.89,0.032,0.35,82.0
UD0003,380.89,382.89,0.005,0.32,8.0
UD0003,382.89,384.89,0.025,1.55,28.0
UD0003,384.89,386.89,0.043,1.63,48.0
UD0003,386.89,388.89,0.017,1.47,41.0
UD0003,388.89,390.89,0.005,0.44,9.0
UD0003,390.89,392.89,0.009,0.4,7.0
UD0003,392.89,394.89,0.015,0.37,7.0
UD0003,394.89,396.89,0.005,0.29,27.0
UD0003,396.89,398.89,0.028,1.78,19.0
UD0003,398.89,400.9,0.026,0.83,33.0
UD0003,400.9,402.9,0.005,0.19,15.0
UD0003,402.9,404.9,0.006,0.75,40.0
UD0003,404.9,406.9,0.026,0.85,10.0
UD0003,406.9,408.9,0.066,1.63,18.0
UD0003,408.9,410.9,0.009,0.98,13.0
UD0003,410.9,412.9,0.017,0.82,63.0
UD0003,412.9,414.9,0.119,3.18,72.0
UD0003,414.9,416.9,0.015,1.01,31.0
UD0003,416.9,418.9,0.016,0.47,61.0
UD0003,418.9,420.91,0.02,0.51,36.0
UD0003,420.91,422.91,0.065,0.81,124.0
UD0003,422.91,424.91,0.02,0.81,56.0
UD0003,424.91,426.91,0.005,0.11,15.0
UD0003,426.91,428.91,0.008,0.75,26.0
UD0003,428.91,430.91,0.045,2.16,58.0
UD0003,430.91,432.91,0.035,1.43,48.0
UD0003,432.91,434.91,0.005,0.81,38.0
UD0003,434.91,436.91,0.008,0.52,17.0
UD0003,436.91,438.91,0.081,1.77,31.0
UD0003,438.91,440.91,0.005,0.45,24.0
UD0003,440.91,442.92,0.068,1.57,183.0
UD0003,442.92,444.92,0.017,0.25,57.0
UD0003,444.92,446.92,0.005,1.1,52.0
UD0003,446.92,448.92,0.012,0.8,69.0
UD0003,448.92,450.92,0.092,5.38,90.0
UD0003,450.92,452.92,0.005,0.18,26.0
UD0003,452.92,454.92,0.086,1.15,55.0
UD0003,454.92,456.92,0.172,4.38,38.0
UD0003,456.92,458.92,0.047,0.99,31.0
UD0003,458.92,460.92,0.007,0.42,41.0
UD0003,460.92,462.93,0.012,2.04,24.0
UD0003,462.93,464.93,0.015,0.44,71.0
UD0003,464.93,466.93,0.005,0.52,15.0
UD0003,466.93,468.93,0.005,0.11,22.0
UD0003,468.93,470.93,0.007,1.57,20.0
UD0003,470.93,472.93,0.005,0.37,11.0
UD0003,472.93,474.93,0.012,0.42,19.0
UD0003,474.93,476.93,0.017,0.71,30.0
UD0003,476.93,478.93,0.005,0.76,14.0
UD0003,478.93,480.93,0.052,2.14,28.0
UD0003,480.93,482.94,0.012,0.38,13.0
UD0003,482.94,484.94,0.026,0.58,29.0
UD0003,484.94,486.94,0.123,1.7,89.0
UD0003,486.94,488.94,0.006,0.85,26.0
UD0003,488.94,490.94,0.005,0.41,5.0
UD0003,490.94,492.94,0.027,0.97,112.0
UD0003,492.94,494.94,0.005,0.21,11.0
UD0003,494.94,496.94,0.005,0.3,9.0
UD0003,496.94,498.94,0.023,0.23,25.0
UD0003,498.94,500.94,0.005,0.31,11.0
UD0003,500.94,502.95,0.005,0.28,8.0
UD0003,502.95,504.95,0.007,0.46,7.0
UD0003,504.95,506.95,0.005,0.26,2.0
UD0003,506.95,508.95,0.005,0.62,3.0
UD0003,508.95,510.95,0.026,1.34,17.0
UD0003,510.95,512.95,0.023,1.34,12.0
UD0003,512.95,514.95,0.036,1.91,39.0
UD0003,514.95,516.95,0.023,0.73,26.0
UD0003,516.95,518.95,0.02,0.27,27.0
UD0003,518.95,520.95,0.005,0.21,10.0
UD0003,520.95,522.96,0.115,4.24,23.0
UD0003,522.96,524.96,0.008,0.5,16.0
UD0003,524.96,526.96,0.032,1.23,24.0
UD0003,526.96,528.96,0.035,1.36,28.0
UD0003,528.96,530.96,0.011,0.82,27.0
UD0003,530.96,532.96,0.031,1.63,22.0
UD0003,532.96,534.96,0.013,0.41,15.0
UD0003,534.96,536.96,0.045,3.43,20.0
UD0003,536.96,538.96,0.016,0.33,48.0
UD0003,538.96,540.96,0.482,10.89,55.0
UD0003,540.96,542.97,0.006,0.29,20.0
UD0003,542.97,544.97,0.015,0.18,29.0
UD0003,544.97,546.97,0.01,0.62,35.0
UD0003,546.97,548.97,0.014,0.75,18.0
UD0003,548.97,550.97,0.013,0.55,76.0
UD0003,550.97,552.97,0.037,1.11,58.0
UD0003,552.97,554.97,0.005,0.35,30.0
UD0003,554.97,556.97,0.009,0.63,47.0
UD0003,556.97,558.97,0.005,0.21,10.0
UD0003,558.97,560.97,0.03,0.71,116.0
UD0003,560.97,562.98,0.053,1.89,25.0
UD0003,562.98,564.98,0.014,1.33,13.0
UD0003,564.98,566.98,0.005,0.71,15.0
UD0003,566.98,568.98,0.005,0.38,25.0
UD0003,568.98,570.98,0.01,1.03,42.0
UD0003,570.98,572.98,0.005,0.58,28.0
UD0003,572.98,574.98,0.015,0.25,36.0
UD0003,574.98,576.98,0.005,0.9,13.0
UD0003,576.98,578.98,0.005,0.26,26.0
UD0003,578.98,580.98,0.005,0.73,31.0
UD0003,580.98,582.99,0.008,0.28,18.0
UD0003,582.99,584.99,0.024,0.54,34.0
UD0003,584.99,586.99,0.014,0.25,10.0
UD0003,586.99,588.99,0.005,0.66,39.0
UD0003,588.99,590.99,0.012,0.28,9.0
UD0003,590.99,592.99,0.005,0.39,13.0
UD0003,592.99,594.99,0.005,0.32,23.0
UD0003,594.99,596.99,0.005,0.54,5.0
UD0003,596.99,598.99,0.007,2.71,56.0
UD0003,598.99,600.99,0.005,0.38,12.0
UD0003,600.99,602.99,0.005,0.64,12.0
UD0003,602.99,605.0,0.005,0.48,13.0
UD0004,99.5,101.51,0.073,1.45,22.0
UD0004,101.51,103.51,0.017,0.96,25.0
UD0004,103.51,105.52,0.019,2.68,23.0
UD0004,105.52,107.53,0.267,11.61,70.0
