ID,X,Y,THICKNESS_M,ASH_PCT,CV_MJKG,CATEGORY
129,26005.8,57037.7,1.35,17.5,25.52,SELECTIVE
130,26893.8,56911.3,0.74,10.8,28.41,UNECONOMIC
131,27661.3,56824.2,1.25,14.0,27.21,SELECTIVE
132,28511.9,57070.5,1.98,9.5,28.69,MECHANIZED
133,29247.0,57020.3,2.19,7.0,29.67,MECHANIZED
134,29687.2,57078.4,1.73,5.5,29.95,MECHANIZED
135,30339.9,56890.5,1.14,9.7,28.74,SELECTIVE
136,22800.1,57489.8,1.91,11.6,27.76,MECHANIZED
137,23269.2,57617.5,2.52,10.5,28.07,MECHANIZED
138,24330.4,57732.4,1.54,18.7,25.71,MECHANIZED
139,25120.1,57723.2,1.71,,,MECHANIZED
140,25772.0,57731.6,1.79,10.3,28.13,MECHANIZED
141,26191.7,57787.5,1.88,,,MECHANIZED
142,26911.9,57531.5,1.14,,,SELECTIVE
143,27611.0,57654.6,1.09,15.6,26.46,SELECTIVE
144,28431.6,57804.1,0.79,15.0,27.11,UNECONOMIC
145,29565.8,57680.1,1.72,15.6,27.11,MECHANIZED
146,29018.6,57226.1,1.53,12.0,27.87,MECHANIZED
147,21508.8,52547.6,3.33,16.7,26.37,MECHANIZED
148,22981.1,53226.3,3.15,13.4,26.92,MECHANIZED
149,23501.6,51825.1,2.52,12.3,27.46,MECHANIZED
150,29242.6,56789.6,1.75,10.1,28.28,MECHANIZED
151,28244.7,51511.5,1.4,14.7,26.84,MECHANIZED
152,25348.9,52676.4,2.82,8.4,29.06,MECHANIZED
153,29502.7,57741.0,1.65,18.2,26.18,MECHANIZED
154,22440.3,53081.9,4.28,5.2,30.11,MECHANIZED
155,21275.1,54321.1,2.41,8.2,29.13,MECHANIZED
156,23654.0,52655.1,3.79,4.0,30.63,MECHANIZED
157,25535.8,57394.3,2.34,13.2,27.41,MECHANIZED
158,28984.3,53463.1,1.66,11.8,28.06,MECHANIZED
159,28735.4,55857.7,2.59,7.0,29.34,MECHANIZED
160,21126.3,53065.5,3.67,8.5,29.05,MECHANIZED
161,26426.6,53022.3,2.6,9.3,29.19,MECHANIZED
162,26648.9,51811.6,2.15,13.4,27.28,MECHANIZED
163,22944.4,51588.5,2.61,12.9,27.56,MECHANIZED
164,28494.9,55305.0,2.15,8.5,29.0,MECHANIZED
165,28669.2,55639.9,2.59,5.1,30.41,MECHANIZED
166,22256.7,53283.1,2.81,11.9,27.7,MECHANIZED
167,22171.8,53439.5,3.03,6.1,29.94,MECHANIZED
168,27175.3,52276.2,2.55,11.0,28.63,MECHANIZED
169,22861.3,56664.0,2.42,15.5,26.77,MECHANIZED
170,24168.7,57362.0,3.02,7.2,29.39,MECHANIZED
171,22366.2,53273.6,5.29,5.0,30.58,MECHANIZED
172,24582.0,50607.2,2.36,7.8,29.63,MECHANIZED
173,28377.9,51055.3,1.56,6.2,30.21,MECHANIZED
174,22713.4,53807.6,2.82,12.6,27.84,MECHANIZED
175,20179.9,54247.2,3.09,10.5,28.3,MECHANIZED
176,23189.0,56481.9,3.67,6.4,30.35,MECHANIZED
177,28540.3,51611.5,2.74,9.2,28.57,MECHANIZED
178,28777.9,55317.7,2.49,4.1,30.38,MECHANIZED
179,27088.6,53608.7,3.16,,,MECHANIZED
180,24585.8,53009.4,2.5,5.7,30.1,MECHANIZED
181,23880.5,53479.4,2.44,,,MECHANIZED
182,22362.5,53017.8,4.48,4.0,30.62,MECHANIZED
183,23794.0,55973.7,2.2,9.3,28.52,MECHANIZED
184,24708.0,56451.5,2.67,13.9,27.12,MECHANIZED
185,23440.6,51619.9,3.81,5.9,29.83,MECHANIZED
186,25174.6,53174.5,4.24,,,MECHANIZED
187,21671.6,53158.7,3.79,11.1,28.04,MECHANIZED
188,24951.8,52109.9,2.23,17.5,26.33,MECHANIZED
189,29856.6,54828.3,1.12,14.4,27.12,SELECTIVE
190,28727.6,55213.8,2.84,,,MECHANIZED
191,23661.0,53648.8,4.13,10.6,28.34,MECHANIZED
192,29244.2,52192.5,2.45,13.2,27.92,MECHANIZED
193,24312.4,56910.1,2.53,,,MECHANIZED
194,21446.7,53483.0,1.92,12.7,27.86,MECHANIZED
195,28466.5,51904.2,1.79,10.9,28.15,MECHANIZED
196,30742.9,53730.4,2.38,6.7,29.85,MECHANIZED
197,21895.5,52655.4,4.49,12.0,27.43,MECHANIZED
198,22394.3,53183.2,4.47,6.0,29.7,MECHANIZED
199,23278.4,53597.8,5.35,,,MECHANIZED
200,21356.4,54951.2,2.13,15.0,26.5,MECHANIZED
201,24434.5,56890.5,3.06,,,MECHANIZED
202,25918.6,51559.9,2.13,6.4,29.58,MECHANIZED
203,24662.3,51460.5,2.7,13.3,27.62,MECHANIZED
204,25918.3,52568.2,3.05,9.4,28.97,MECHANIZED
205,25603.2,52597.1,3.41,9.3,28.89,MECHANIZED
206,22234.5,52651.6,4.81,8.0,29.42,MECHANIZED
207,26339.3,51711.3,2.09,15.5,26.75,MECHANIZED
208,21997.4,52512.5,2.96,12.0,27.89,MECHANIZED
209,29934.2,53931.9,1.49,14.3,27.55,MECHANIZED
210,22530.3,53495.5,3.55,,,MECHANIZED
211,22389.5,53543.9,3.65,,,MECHANIZED
212,21301.9,53363.7,2.95,8.0,29.29,MECHANIZED
213,21722.9,52540.1,3.55,12.9,27.42,MECHANIZED
214,27327.1,55385.3,1.7,11.4,28.15,MECHANIZED
215,23191.6,56149.1,2.64,11.6,27.35,MECHANIZED
216,30893.3,55370.4,1.49,8.0,28.59,MECHANIZED
217,23762.1,57610.5,2.25,9.1,29.11,MECHANIZED
218,26589.3,53108.8,1.47,15.0,26.75,MECHANIZED
219,27957.3,53764.8,1.06,,,SELECTIVE
220,23471.7,56110.4,3.61,7.8,28.94,MECHANIZED
221,22661.8,53476.8,3.14,5.5,30.11,MECHANIZED
222,22154.3,53568.4,3.13,4.0,30.79,MECHANIZED
223,25340.5,56650.1,2.35,6.3,29.76,MECHANIZED
224,23840.9,53850.0,2.81,,,MECHANIZED
225,27286.7,54040.9,2.03,4.3,30.87,MECHANIZED
226,23917.4,52861.9,2.62,,,MECHANIZED
227,22851.0,57348.5,2.66,6.5,29.8,MECHANIZED
228,28078.3,57782.9,1.1,19.5,25.47,SELECTIVE
229,26056.5,57703.2,2.9,6.5,29.81,MECHANIZED
230,24122.1,57924.2,2.53,11.4,27.59,MECHANIZED
231,24943.9,53897.8,3.52,,,MECHANIZED
232,22671.6,53601.5,4.29,12.1,28.37,MECHANIZED
233,24296.3,56705.3,2.21,,,MECHANIZED
234,23865.3,51990.1,2.36,14.9,27.07,MECHANIZED
235,27050.1,53788.0,2.81,,,MECHANIZED
236,24872.0,57258.9,3.04,,,MECHANIZED
237,21105.4,53005.8,4.17,9.1,28.97,MECHANIZED
238,30866.0,53695.2,2.27,11.9,27.59,MECHANIZED
239,24631.6,52276.7,3.08,11.9,27.98,MECHANIZED
240,24257.4,57426.5,3.32,8.0,29.48,MECHANIZED
241,21206.4,54630.1,1.74,16.7,26.37,MECHANIZED
242,24400.5,57038.1,2.94,15.7,26.54,MECHANIZED
243,23837.6,56303.0,3.52,8.2,28.62,MECHANIZED
244,21919.9,56954.4,1.33,16.4,26.25,SELECTIVE
245,29353.6,57563.2,1.86,7.4,29.62,MECHANIZED
246,28765.3,56996.8,1.45,,,MECHANIZED
247,23385.3,52609.8,3.72,8.8,28.65,MECHANIZED
248,22531.2,53021.7,4.32,6.2,29.63,MECHANIZED
249,21855.7,52788.6,4.17,,,MECHANIZED
250,24117.7,51581.1,2.92,12.8,27.57,MECHANIZED
251,20709.8,54171.0,2.19,8.7,29.3,MECHANIZED
252,24292.8,56575.9,2.82,16.6,26.26,MECHANIZED
253,23287.9,52598.7,4.13,4.1,30.68,MECHANIZED
254,22111.3,56318.7,2.38,17.9,26.31,MECHANIZED
255,27344.7,52597.8,2.67,7.7,29.3,MECHANIZED
256,22803.1,51428.4,4.0,10.7,28.35,MECHANIZED
257,24888.8,52046.2,2.12,15.6,26.56,MECHANIZED
258,22212.6,52765.6,3.88,10.8,27.91,MECHANIZED
259,30890.9,53868.9,2.96,5.6,30.06,MECHANIZED
260,27532.7,52726.2,1.73,12.6,27.76,MECHANIZED
261,21650.8,52439.4,4.98,13.9,27.06,MECHANIZED
262,22871.0,56377.0,2.54,6.3,29.71,MECHANIZED
263,31510.5,53977.6,1.89,7.7,29.05,MECHANIZED
264,23559.1,54240.8,2.15,15.1,26.73,MECHANIZED
265,25344.7,53095.6,2.45,7.8,29.14,MECHANIZED
266,22511.1,52864.8,2.85,11.8,28.29,MECHANIZED
267,29402.7,52578.9,2.03,7.9,29.63,MECHANIZED
268,22845.8,57803.2,2.0,,,MECHANIZED
269,22387.2,52731.4,4.09,4.0,30.38,MECHANIZED
270,23412.3,51484.6,2.9,12.5,28.05,MECHANIZED
271,23764.8,57432.5,2.38,7.0,29.5,MECHANIZED
272,27429.3,54168.0,2.37,4.0,30.92,MECHANIZED
273,21853.8,52517.2,2.94,,,MECHANIZED
274,26153.1,55427.0,1.41,9.9,28.84,MECHANIZED
275,24183.3,57812.3,2.38,8.6,29.05,MECHANIZED
276,25258.2,53635.4,3.67,4.7,30.81,MECHANIZED
277,23221.6,56211.9,3.34,9.7,28.73,MECHANIZED
278,22049.7,52725.1,5.37,11.6,27.7,MECHANIZED
279,29535.3,53439.3,1.43,,,MECHANIZED
280,20981.7,53399.5,2.12,,,MECHANIZED
281,24765.2,51247.3,2.33,17.2,26.31,MECHANIZED
282,22510.5,53617.9,3.05,10.3,28.5,MECHANIZED
283,25660.4,52918.4,2.16,7.0,29.31,MECHANIZED
284,24657.0,53865.6,2.28,17.0,26.33,MECHANIZED
285,25119.6,57210.1,1.89,8.2,29.16,MECHANIZED
286,26478.2,52598.5,2.1,10.4,27.99,MECHANIZED
287,24080.1,51649.8,1.73,19.5,25.09,MECHANIZED
288,21761.3,52519.3,4.37,9.9,28.33,MECHANIZED
289,21753.0,53824.6,1.82,7.3,29.35,MECHANIZED
290,30871.5,55130.5,1.58,,,MECHANIZED
291,23995.9,54027.1,2.93,8.1,28.95,MECHANIZED
292,22566.6,52797.2,3.06,5.1,29.97,MECHANIZED
293,27305.6,57448.7,0.98,18.0,26.18,SELECTIVE
294,25937.0,57232.6,1.75,12.0,27.59,MECHANIZED
295,22600.7,53587.0,2.85,8.8,28.67,MECHANIZED
