X,Y,TOP_Z,MID_Z,BASE_Z
2300.0,0.0,-1497.95,-1508.76,-1517.19
2350.0,0.0,-1497.63,-1508.28,-1516.68
2400.0,0.0,-1497.3,-1507.78,-1516.14
2450.0,0.0,-1496.97,-1507.26,-1515.57
2500.0,0.0,-1496.62,-1506.73,-1514.97
2550.0,0.0,-1496.27,-1506.18,-1514.35
2600.0,0.0,-1495.91,-1505.62,-1513.72
2650.0,0.0,-1495.54,-1505.06,-1513.07
2700.0,0.0,-1495.16,-1504.49,-1512.4
2750.0,0.0,-1494.78,-1503.92,-1511.73
2800.0,0.0,-1494.38,-1503.34,-1511.04
2850.0,0.0,-1493.97,-1502.75,-1510.33
2900.0,0.0,-1493.55,-1502.15,-1509.61
2950.0,0.0,-1493.12,-1501.55,-1508.88
3000.0,0.0,-1492.67,-1500.92,-1508.12
3050.0,0.0,-1492.21,-1500.28,-1507.34
3100.0,0.0,-1491.73,-1499.62,-1506.54
3150.0,0.0,-1491.25,-1498.94,-1505.72
3200.0,0.0,-1490.75,-1498.24,-1504.87
3250.0,0.0,-1490.23,-1497.52,-1504.01
3300.0,0.0,-1489.71,-1496.79,-1503.13
3350.0,0.0,-1489.18,-1496.04,-1502.25
3400.0,0.0,-1488.65,-1495.29,-1501.37
3450.0,0.0,-1488.11,-1494.54,-1500.5
3500.0,0.0,-1487.58,-1493.81,-1499.65
3550.0,0.0,-1487.05,-1493.09,-1498.83
3600.0,0.0,-1486.53,-1492.41,-1498.05
3650.0,0.0,-1486.02,-1491.76,-1497.32
3700.0,0.0,-1485.53,-1491.16,-1496.64
3750.0,0.0,-1485.06,-1490.62,-1496.04
3800.0,0.0,-1484.62,-1490.13,-1495.5
3850.0,0.0,-1484.2,-1489.71,-1495.04
3900.0,0.0,-1483.83,-1489.35,-1494.65
3950.0,0.0,-1483.49,-1489.05,-1494.34
4000.0,0.0,-1483.2,-1488.82,-1494.1
4050.0,0.0,-1482.95,-1488.65,-1493.93
4100.0,0.0,-1482.76,-1488.54,-1493.84
4150.0,0.0,-1482.62,-1488.49,-1493.8
4200.0,0.0,-1482.53,-1488.48,-1493.82
4250.0,0.0,-1482.51,-1488.52,-1493.9
4300.0,0.0,-1482.54,-1488.61,-1494.03
4350.0,0.0,-1482.64,-1488.74,-1494.21
4400.0,0.0,-1482.8,-1488.91,-1494.43
4450.0,0.0,-1483.02,-1489.13,-1494.71
4500.0,0.0,-1483.31,-1489.4,-1495.04
4550.0,0.0,-1483.66,-1489.72,-1495.43
4600.0,0.0,-1484.07,-1490.09,-1495.88
4650.0,0.0,-1484.54,-1490.52,-1496.39
4700.0,0.0,-1485.08,-1491.02,-1496.97
4750.0,0.0,-1485.67,-1491.58,-1497.63
4800.0,0.0,-1486.32,-1492.22,-1498.36
4850.0,0.0,-1487.03,-1492.93,-1499.18
4900.0,0.0,-1487.79,-1493.72,-1500.08
4950.0,0.0,-1488.6,-1494.58,-1501.07
5000.0,0.0,-1489.45,-1495.52,-1502.13
0.0,50.0,-1474.15,-1482.56,-1490.05
50.0,50.0,-1475.08,-1483.28,-1490.89
100.0,50.0,-1476.03,-1484.04,-1491.76
150.0,50.0,-1477.0,-1484.83,-1492.66
200.0,50.0,-1477.99,-1485.66,-1493.6
250.0,50.0,-1478.99,-1486.54,-1494.57
300.0,50.0,-1480.01,-1487.46,-1495.57
350.0,50.0,-1481.05,-1488.43,-1496.61
400.0,50.0,-1482.1,-1489.45,-1497.69
450.0,50.0,-1483.15,-1490.51,-1498.79
500.0,50.0,-1484.22,-1491.61,-1499.92
550.0,50.0,-1485.28,-1492.76,-1501.08
600.0,50.0,-1486.34,-1493.94,-1502.26
650.0,50.0,-1487.39,-1495.14,-1503.46
700.0,50.0,-1488.43,-1496.37,-1504.66
750.0,50.0,-1489.45,-1497.6,-1505.86
800.0,50.0,-1490.45,-1498.83,-1507.05
850.0,50.0,-1491.42,-1500.05,-1508.22
900.0,50.0,-1492.36,-1501.25,-1509.37
950.0,50.0,-1493.26,-1502.4,-1510.47
1000.0,50.0,-1494.11,-1503.52,-1511.54
1050.0,50.0,-1494.93,-1504.58,-1512.55
1100.0,50.0,-1495.69,-1505.57,-1513.5
1150.0,50.0,-1496.39,-1506.49,-1514.38
1200.0,50.0,-1497.04,-1507.33,-1515.2
1250.0,50.0,-1497.63,-1508.09,-1515.94
1300.0,50.0,-1498.16,-1508.77,-1516.6
1350.0,50.0,-1498.63,-1509.36,-1517.19
1400.0,50.0,-1499.04,-1509.88,-1517.71
1450.0,50.0,-1499.38,-1510.31,-1518.16
1500.0,50.0,-1499.67,-1510.67,-1518.54
1550.0,50.0,-1499.89,-1510.95,-1518.85
1600.0,50.0,-1500.06,-1511.17,-1519.1
1650.0,50.0,-1500.17,-1511.33,-1519.3
1700.0,50.0,-1500.23,-1511.42,-1519.43
1750.0,50.0,-1500.23,-1511.47,-1519.52
1800.0,50.0,-1500.2,-1511.46,-1519.55
1850.0,50.0,-1500.12,-1511.4,-1519.54
1900.0,50.0,-1500.01,-1511.29,-1519.47
1950.0,50.0,-1499.86,-1511.14,-1519.36
2000.0,50.0,-1499.68,-1510.94,-1519.2
2050.0,50.0,-1499.47,-1510.7,-1518.99
2100.0,50.0,-1499.24,-1510.42,-1518.74
2150.0,50.0,-1498.99,-1510.1,-1518.44
2200.0,50.0,-1498.72,-1509.74,-1518.09
2250.0,50.0,-1498.44,-1509.34,-1517.71
2300.0,50.0,-1498.14,-1508.91,-1517.28
2350.0,50.0,-1497.83,-1508.45,-1516.82
2400.0,50.0,-1497.52,-1507.96,-1516.33
2450.0,50.0,-1497.19,-1507.46,-1515.81
2500.0,50.0,-1496.86,-1506.94,-1515.26
2550.0,50.0,-1496.51,-1506.4,-1514.7
2600.0,50.0,-1496.16,-1505.85,-1514.11
2650.0,50.0,-1495.8,-1505.3,-1513.5
2700.0,50.0,-1495.43,-1504.74,-1512.88
2750.0,50.0,-1495.05,-1504.17,-1512.25
2800.0,50.0,-1494.66,-1503.59,-1511.59
2850.0,50.0,-1494.25,-1503.01,-1510.92
2900.0,50.0,-1493.83,-1502.42,-1510.23
2950.0,50.0,-1493.4,-1501.81,-1509.52
3000.0,50.0,-1492.96,-1501.19,-1508.78
3050.0,50.0,-1492.5,-1500.55,-1508.02
3100.0,50.0,-1492.03,-1499.89,-1507.24
3150.0,50.0,-1491.54,-1499.21,-1506.42
3200.0,50.0,-1491.04,-1498.52,-1505.58
3250.0,50.0,-1490.53,-1497.8,-1504.73
3300.0,50.0,-1490.02,-1497.07,-1503.85
3350.0,50.0,-1489.49,-1496.33,-1502.97
3400.0,50.0,-1488.96,-1495.58,-1502.09
3450.0,50.0,-1488.43,-1494.85,-1501.22
3500.0,50.0,-1487.9,-1494.12,-1500.37
3550.0,50.0,-1487.38,-1493.42,-1499.55
3600.0,50.0,-1486.86,-1492.75,-1498.76
3650.0,50.0,-1486.36,-1492.12,-1498.03
3700.0,50.0,-1485.88,-1491.54,-1497.35
3750.0,50.0,-1485.42,-1491.01,-1496.74
3800.0,50.0,-1484.99,-1490.54,-1496.2
3850.0,50.0,-1484.59,-1490.13,-1495.73
3900.0,50.0,-1484.22,-1489.79,-1495.34
3950.0,50.0,-1483.9,-1489.51,-1495.02
4000.0,50.0,-1483.61,-1489.29,-1494.77
4050.0,50.0,-1483.38,-1489.13,-1494.59
4100.0,50.0,-1483.19,-1489.02,-1494.47
4150.0,50.0,-1483.05,-1488.97,-1494.42
4200.0,50.0,-1482.98,-1488.97,-1494.42
4250.0,50.0,-1482.95,-1489.01,-1494.47
4300.0,50.0,-1482.99,-1489.1,-1494.58
4350.0,50.0,-1483.09,-1489.23,-1494.73
4400.0,50.0,-1483.25,-1489.4,-1494.93
4450.0,50.0,-1483.47,-1489.61,-1495.18
4500.0,50.0,-1483.75,-1489.87,-1495.48
4550.0,50.0,-1484.1,-1490.18,-1495.84
4600.0,50.0,-1484.5,-1490.54,-1496.25
4650.0,50.0,-1484.96,-1490.96,-1496.73
4700.0,50.0,-1485.49,-1491.45,-1497.29
4750.0,50.0,-1486.07,-1492.0,-1497.91
4800.0,50.0,-1486.7,-1492.63,-1498.62
4850.0,50.0,-1487.39,-1493.33,-1499.41
4900.0,50.0,-1488.14,-1494.1,-1500.29
4950.0,50.0,-1488.93,-1494.96,-1501.25
5000.0,50.0,-1489.77,-1495.88,-1502.3
0.0,100.0,-1473.81,-1482.0,-1489.35
50.0,100.0,-1474.73,-1482.72,-1490.18
100.0,100.0,-1475.67,-1483.48,-1491.04
150.0,100.0,-1476.64,-1484.27,-1491.93
200.0,100.0,-1477.63,-1485.11,-1492.86
250.0,100.0,-1478.63,-1485.99,-1493.83
300.0,100.0,-1479.66,-1486.92,-1494.83
350.0,100.0,-1480.69,-1487.89,-1495.87
400.0,100.0,-1481.75,-1488.91,-1496.95
450.0,100.0,-1482.81,-1489.98,-1498.06
500.0,100.0,-1483.87,-1491.1,-1499.2
550.0,100.0,-1484.94,-1492.25,-1500.38
600.0,100.0,-1486.01,-1493.44,-1501.57
650.0,100.0,-1487.07,-1494.66,-1502.78
700.0,100.0,-1488.12,-1495.9,-1504.0
750.0,100.0,-1489.15,-1497.15,-1505.22
800.0,100.0,-1490.15,-1498.4,-1506.43
850.0,100.0,-1491.14,-1499.64,-1507.63
900.0,100.0,-1492.08,-1500.85,-1508.79
950.0,100.0,-1492.99,-1502.03,-1509.92
1000.0,100.0,-1493.86,-1503.16,-1511.01
1050.0,100.0,-1494.69,-1504.24,-1512.04
1100.0,100.0,-1495.46,-1505.25,-1513.01
1150.0,100.0,-1496.18,-1506.19,-1513.91
1200.0,100.0,-1496.84,-1507.06,-1514.74
1250.0,100.0,-1497.44,-1507.84,-1515.49
1300.0,100.0,-1497.98,-1508.53,-1516.17
1350.0,100.0,-1498.47,-1509.15,-1516.77
1400.0,100.0,-1498.89,-1509.68,-1517.3
1450.0,100.0,-1499.24,-1510.13,-1517.75
1500.0,100.0,-1499.54,-1510.51,-1518.14
1550.0,100.0,-1499.78,-1510.81,-1518.46
1600.0,100.0,-1499.96,-1511.04,-1518.73
1650.0,100.0,-1500.09,-1511.22,-1518.93
1700.0,100.0,-1500.17,-1511.33,-1519.08
1750.0,100.0,-1500.19,-1511.39,-1519.18
1800.0,100.0,-1500.17,-1511.4,-1519.23
1850.0,100.0,-1500.11,-1511.35,-1519.24
1900.0,100.0,-1500.02,-1511.26,-1519.19
1950.0,100.0,-1499.89,-1511.13,-1519.11
2000.0,100.0,-1499.72,-1510.95,-1518.97
2050.0,100.0,-1499.53,-1510.73,-1518.8
2100.0,100.0,-1499.32,-1510.46,-1518.58
2150.0,100.0,-1499.09,-1510.15,-1518.32
2200.0,100.0,-1498.83,-1509.81,-1518.01
2250.0,100.0,-1498.57,-1509.43,-1517.67
2300.0,100.0,-1498.29,-1509.01,-1517.29
2350.0,100.0,-1497.99,-1508.57,-1516.88
2400.0,100.0,-1497.69,-1508.1,-1516.44
2450.0,100.0,-1497.37,-1507.61,-1515.97
2500.0,100.0,-1497.05,-1507.1,-1515.47
2550.0,100.0,-1496.71,-1506.57,-1514.96
2600.0,100.0,-1496.37,-1506.04,-1514.42
2650.0,100.0,-1496.02,-1505.49,-1513.87
2700.0,100.0,-1495.65,-1504.94,-1513.29
2750.0,100.0,-1495.28,-1504.38,-1512.7
2800.0,100.0,-1494.89,-1503.82,-1512.09
2850.0,100.0,-1494.49,-1503.24,-1511.46
2900.0,100.0,-1494.07,-1502.65,-1510.8
2950.0,100.0,-1493.64,-1502.05,-1510.12
3000.0,100.0,-1493.2,-1501.43,-1509.41
3050.0,100.0,-1492.74,-1500.79,-1508.67
3100.0,100.0,-1492.27,-1500.14,-1507.9
3150.0,100.0,-1491.79,-1499.46,-1507.11
3200.0,100.0,-1491.29,-1498.76,-1506.28
3250.0,100.0,-1490.79,-1498.05,-1505.43
3300.0,100.0,-1490.27,-1497.32,-1504.57
3350.0,100.0,-1489.75,-1496.59,-1503.69
3400.0,100.0,-1489.23,-1495.85,-1502.81
3450.0,100.0,-1488.7,-1495.12,-1501.94
3500.0,100.0,-1488.18,-1494.41,-1501.09
3550.0,100.0,-1487.67,-1493.72,-1500.26
3600.0,100.0,-1487.16,-1493.06,-1499.48
3650.0,100.0,-1486.67,-1492.45,-1498.74
3700.0,100.0,-1486.2,-1491.88,-1498.06
3750.0,100.0,-1485.76,-1491.37,-1497.45
3800.0,100.0,-1485.34,-1490.92,-1496.9
3850.0,100.0,-1484.95,-1490.52,-1496.42
3900.0,100.0,-1484.59,-1490.19,-1496.02
3950.0,100.0,-1484.28,-1489.93,-1495.69
4000.0,100.0,-1484.01,-1489.72,-1495.43
4050.0,100.0,-1483.78,-1489.57,-1495.24
4100.0,100.0,-1483.61,-1489.48,-1495.11
4150.0,100.0,-1483.48,-1489.43,-1495.04
4200.0,100.0,-1483.41,-1489.43,-1495.02
4250.0,100.0,-1483.4,-1489.48,-1495.05
4300.0,100.0,-1483.44,-1489.57,-1495.14
4350.0,100.0,-1483.54,-1489.7,-1495.26
4400.0,100.0,-1483.71,-1489.86,-1495.44
4450.0,100.0,-1483.93,-1490.08,-1495.66
4500.0,100.0,-1484.21,-1490.33,-1495.94
4550.0,100.0,-1484.55,-1490.64,-1496.27
4600.0,100.0,-1484.94,-1491.0,-1496.66
4650.0,100.0,-1485.4,-1491.41,-1497.12
4700.0,100.0,-1485.91,-1491.89,-1497.64
4750.0,100.0,-1486.48,-1492.44,-1498.25
4800.0,100.0,-1487.11,-1493.05,-1498.93
4850.0,100.0,-1487.79,-1493.75,-1499.7
4900.0,100.0,-1488.51,-1494.51,-1500.55
4950.0,100.0,-1489.29,-1495.36,-1501.49
5000.0,100.0,-1490.12,-1496.27,-1502.51
0.0,150.0,-1473.46,-1481.42,-1488.64
50.0,150.0,-1474.37,-1482.14,-1489.46
100.0,150.0,-1475.31,-1482.9,-1490.31
150.0,150.0,-1476.28,-1483.7,-1491.2
200.0,150.0,-1477.26,-1484.55,-1492.13
250.0,150.0,-1478.27,-1485.44,-1493.09
300.0,150.0,-1479.29,-1486.37,-1494.09
350.0,150.0,-1480.33,-1487.36,-1495.14
400.0,150.0,-1481.38,-1488.39,-1496.22
450.0,150.0,-1482.45,-1489.47,-1497.34
500.0,150.0,-1483.52,-1490.59,-1498.49
550.0,150.0,-1484.6,-1491.76,-1499.67
600.0,150.0,-1485.67,-1492.96,-1500.88
650.0,150.0,-1486.73,-1494.2,-1502.11
700.0,150.0,-1487.79,-1495.45,-1503.35
750.0,150.0,-1488.83,-1496.71,-1504.58
800.0,150.0,-1489.84,-1497.98,-1505.82
850.0,150.0,-1490.83,-1499.23,-1507.03
900.0,150.0,-1491.79,-1500.46,-1508.22
950.0,150.0,-1492.71,-1501.66,-1509.37
1000.0,150.0,-1493.58,-1502.81,-1510.48
1050.0,150.0,-1494.42,-1503.91,-1511.52
1100.0,150.0,-1495.2,-1504.94,-1512.51
1150.0,150.0,-1495.93,-1505.89,-1513.43
1200.0,150.0,-1496.6,-1506.77,-1514.27
1250.0,150.0,-1497.22,-1507.57,-1515.04
1300.0,150.0,-1497.77,-1508.29,-1515.73
1350.0,150.0,-1498.26,-1508.92,-1516.34
1400.0,150.0,-1498.7,-1509.46,-1516.88
1450.0,150.0,-1499.07,-1509.93,-1517.35
1500.0,150.0,-1499.38,-1510.32,-1517.74
1550.0,150.0,-1499.64,-1510.64,-1518.07
1600.0,150.0,-1499.83,-1510.89,-1518.34
1650.0,150.0,-1499.98,-1511.08,-1518.56
1700.0,150.0,-1500.07,-1511.21,-1518.72
1750.0,150.0,-1500.11,-1511.28,-1518.83
1800.0,150.0,-1500.11,-1511.3,-1518.89
1850.0,150.0,-1500.07,-1511.28,-1518.91
1900.0,150.0,-1499.99,-1511.2,-1518.88
1950.0,150.0,-1499.87,-1511.08,-1518.81
2000.0,150.0,-1499.73,-1510.91,-1518.7
2050.0,150.0,-1499.56,-1510.71,-1518.55
2100.0,150.0,-1499.36,-1510.45,-1518.36
2150.0,150.0,-1499.14,-1510.16,-1518.13
2200.0,150.0,-1498.91,-1509.83,-1517.86
2250.0,150.0,-1498.65,-1509.47,-1517.56
2300.0,150.0,-1498.39,-1509.07,-1517.22
2350.0,150.0,-1498.11,-1508.64,-1516.86
2400.0,150.0,-1497.81,-1508.19,-1516.46
2450.0,150.0,-1497.51,-1507.71,-1516.04
2500.0,150.0,-1497.2,-1507.22,-1515.6
2550.0,150.0,-1496.87,-1506.71,-1515.13
2600.0,150.0,-1496.53,-1506.19,-1514.65
2650.0,150.0,-1496.19,-1505.65,-1514.15
2700.0,150.0,-1495.83,-1505.11,-1513.62
2750.0,150.0,-1495.46,-1504.56,-1513.08
2800.0,150.0,-1495.07,-1504.01,-1512.52
2850.0,150.0,-1494.67,-1503.44,-1511.93
2900.0,150.0,-1494.26,-1502.85,-1511.31
2950.0,150.0,-1493.83,-1502.26,-1510.67
3000.0,150.0,-1493.39,-1501.64,-1509.99
3050.0,150.0,-1492.94,-1501.01,-1509.28
3100.0,150.0,-1492.47,-1500.35,-1508.54
3150.0,150.0,-1491.99,-1499.68,-1507.76
3200.0,150.0,-1491.5,-1498.98,-1506.95
3250.0,150.0,-1490.99,-1498.27,-1506.12
3300.0,150.0,-1490.48,-1497.55,-1505.26
3350.0,150.0,-1489.97,-1496.82,-1504.39
3400.0,150.0,-1489.45,-1496.1,-1503.52
3450.0,150.0,-1488.94,-1495.38,-1502.65
3500.0,150.0,-1488.42,-1494.67,-1501.8
3550.0,150.0,-1487.92,-1494.0,-1500.98
3600.0,150.0,-1487.43,-1493.35,-1500.19
3650.0,150.0,-1486.95,-1492.75,-1499.45
3700.0,150.0,-1486.49,-1492.2,-1498.77
3750.0,150.0,-1486.06,-1491.7,-1498.15
3800.0,150.0,-1485.65,-1491.27,-1497.59
3850.0,150.0,-1485.28,-1490.89,-1497.11
3900.0,150.0,-1484.94,-1490.57,-1496.7
3950.0,150.0,-1484.64,-1490.32,-1496.36
4000.0,150.0,-1484.39,-1490.13,-1496.09
4050.0,150.0,-1484.18,-1489.99,-1495.88
4100.0,150.0,-1484.02,-1489.9,-1495.74
4150.0,150.0,-1483.9,-1489.87,-1495.65
4200.0,150.0,-1483.84,-1489.87,-1495.61
4250.0,150.0,-1483.84,-1489.92,-1495.63
4300.0,150.0,-1483.89,-1490.02,-1495.69
4350.0,150.0,-1484.0,-1490.15,-1495.8
4400.0,150.0,-1484.17,-1490.32,-1495.96
4450.0,150.0,-1484.39,-1490.53,-1496.16
4500.0,150.0,-1484.67,-1490.79,-1496.42
4550.0,150.0,-1485.01,-1491.09,-1496.73
4600.0,150.0,-1485.4,-1491.45,-1497.09
4650.0,150.0,-1485.85,-1491.86,-1497.53
4700.0,150.0,-1486.36,-1492.34,-1498.04
4750.0,150.0,-1486.92,-1492.88,-1498.62
4800.0,150.0,-1487.54,-1493.5,-1499.28
4850.0,150.0,-1488.2,-1494.18,-1500.03
4900.0,150.0,-1488.92,-1494.95,-1500.86
4950.0,150.0,-1489.68,-1495.78,-1501.78
5000.0,150.0,-1490.49,-1496.69,-1502.79
0.0,200.0,-1473.1,-1480.82,-1487.92
50.0,200.0,-1474.01,-1481.55,-1488.73
100.0,200.0,-1474.95,-1482.32,-1489.58
150.0,200.0,-1475.91,-1483.13,-1490.46
200.0,200.0,-1476.89,-1483.98,-1491.39
250.0,200.0,-1477.9,-1484.88,-1492.36
300.0,200.0,-1478.92,-1485.83,-1493.36
350.0,200.0,-1479.96,-1486.83,-1494.41
400.0,200.0,-1481.02,-1487.87,-1495.5
450.0,200.0,-1482.08,-1488.97,-1496.63
500.0,200.0,-1483.16,-1490.11,-1497.79
550.0,200.0,-1484.24,-1491.29,-1498.98
600.0,200.0,-1485.31,-1492.5,-1500.21
650.0,200.0,-1486.39,-1493.75,-1501.45
700.0,200.0,-1487.44,-1495.02,-1502.7
750.0,200.0,-1488.49,-1496.3,-1503.96
800.0,200.0,-1489.51,-1497.58,-1505.21
850.0,200.0,-1490.51,-1498.84,-1506.44
900.0,200.0,-1491.47,-1500.09,-1507.65
950.0,200.0,-1492.4,-1501.3,-1508.82
1000.0,200.0,-1493.28,-1502.47,-1509.94
1050.0,200.0,-1494.12,-1503.58,-1511.01
1100.0,200.0,-1494.91,-1504.62,-1512.01
1150.0,200.0,-1495.65,-1505.6,-1512.94
1200.0,200.0,-1496.33,-1506.49,-1513.8
1250.0,200.0,-1496.96,-1507.3,-1514.58
1300.0,200.0,-1497.52,-1508.03,-1515.29
1350.0,200.0,-1498.03,-1508.68,-1515.91
1400.0,200.0,-1498.47,-1509.24,-1516.46
1450.0,200.0,-1498.86,-1509.72,-1516.93
1500.0,200.0,-1499.19,-1510.12,-1517.34
1550.0,200.0,-1499.45,-1510.46,-1517.68
1600.0,200.0,-1499.67,-1510.72,-1517.95
1650.0,200.0,-1499.82,-1510.92,-1518.17
1700.0,200.0,-1499.93,-1511.06,-1518.34
1750.0,200.0,-1499.99,-1511.15,-1518.46
1800.0,200.0,-1500.01,-1511.18,-1518.53
1850.0,200.0,-1499.98,-1511.17,-1518.56
1900.0,200.0,-1499.92,-1511.1,-1518.54
1950.0,200.0,-1499.82,-1511.0,-1518.49
2000.0,200.0,-1499.7,-1510.84,-1518.39
2050.0,200.0,-1499.54,-1510.65,-1518.26
2100.0,200.0,-1499.36,-1510.41,-1518.09
2150.0,200.0,-1499.16,-1510.13,-1517.89
2200.0,200.0,-1498.94,-1509.82,-1517.65
2250.0,200.0,-1498.7,-1509.47,-1517.38
2300.0,200.0,-1498.45,-1509.08,-1517.08
2350.0,200.0,-1498.18,-1508.67,-1516.76
2400.0,200.0,-1497.9,-1508.23,-1516.41
2450.0,200.0,-1497.61,-1507.77,-1516.03
2500.0,200.0,-1497.3,-1507.3,-1515.64
2550.0,200.0,-1496.99,-1506.8,-1515.22
2600.0,200.0,-1496.66,-1506.3,-1514.79
2650.0,200.0,-1496.31,-1505.78,-1514.34
2700.0,200.0,-1495.96,-1505.25,-1513.87
2750.0,200.0,-1495.59,-1504.71,-1513.38
2800.0,200.0,-1495.21,-1504.17,-1512.87
2850.0,200.0,-1494.82,-1503.6,-1512.32
2900.0,200.0,-1494.41,-1503.03,-1511.75
2950.0,200.0,-1493.98,-1502.44,-1511.15
3000.0,200.0,-1493.54,-1501.83,-1510.51
3050.0,200.0,-1493.09,-1501.2,-1509.83
3100.0,200.0,-1492.62,-1500.55,-1509.12
3150.0,200.0,-1492.15,-1499.88,-1508.37
3200.0,200.0,-1491.66,-1499.19,-1507.58
3250.0,200.0,-1491.16,-1498.48,-1506.76
3300.0,200.0,-1490.66,-1497.76,-1505.92
3350.0,200.0,-1490.15,-1497.04,-1505.07
3400.0,200.0,-1489.64,-1496.32,-1504.2
3450.0,200.0,-1489.13,-1495.61,-1503.34
3500.0,200.0,-1488.63,-1494.92,-1502.5
3550.0,200.0,-1488.14,-1494.25,-1501.67
3600.0,200.0,-1487.66,-1493.62,-1500.89
3650.0,200.0,-1487.2,-1493.03,-1500.15
3700.0,200.0,-1486.75,-1492.5,-1499.46
3750.0,200.0,-1486.34,-1492.02,-1498.83
3800.0,200.0,-1485.95,-1491.59,-1498.27
3850.0,200.0,-1485.59,-1491.23,-1497.78
3900.0,200.0,-1485.27,-1490.93,-1497.36
3950.0,200.0,-1484.99,-1490.69,-1497.01
4000.0,200.0,-1484.75,-1490.51,-1496.73
4050.0,200.0,-1484.56,-1490.38,-1496.51
4100.0,200.0,-1484.41,-1490.3,-1496.35
4150.0,200.0,-1484.32,-1490.27,-1496.24
4200.0,200.0,-1484.27,-1490.29,-1496.19
4250.0,200.0,-1484.28,-1490.35,-1496.19
4300.0,200.0,-1484.34,-1490.44,-1496.24
4350.0,200.0,-1484.46,-1490.58,-1496.33
4400.0,200.0,-1484.63,-1490.75,-1496.47
4450.0,200.0,-1484.86,-1490.97,-1496.66
4500.0,200.0,-1485.14,-1491.23,-1496.9
4550.0,200.0,-1485.48,-1491.54,-1497.19
4600.0,200.0,-1485.88,-1491.9,-1497.55
4650.0,200.0,-1486.32,-1492.31,-1497.97
4700.0,200.0,-1486.83,-1492.79,-1498.46
4750.0,200.0,-1487.38,-1493.34,-1499.03
4800.0,200.0,-1487.98,-1493.95,-1499.67
4850.0,200.0,-1488.64,-1494.64,-1500.4
4900.0,200.0,-1489.34,-1495.4,-1501.22
4950.0,200.0,-1490.1,-1496.24,-1502.13
5000.0,200.0,-1490.9,-1497.14,-1503.12
0.0,250.0,-1472.75,-1480.21,-1487.19
50.0,250.0,-1473.66,-1480.95,-1487.99
100.0,250.0,-1474.59,-1481.73,-1488.84
150.0,250.0,-1475.55,-1482.55,-1489.73
200.0,250.0,-1476.52,-1483.42,-1490.66
250.0,250.0,-1477.53,-1484.34,-1491.63
300.0,250.0,-1478.55,-1485.3,-1492.64
350.0,250.0,-1479.59,-1486.31,-1493.7
400.0,250.0,-1480.65,-1487.38,-1494.8
450.0,250.0,-1481.72,-1488.48,-1495.93
500.0,250.0,-1482.79,-1489.64,-1497.11
550.0,250.0,-1483.87,-1490.83,-1498.31
600.0,250.0,-1484.95,-1492.07,-1499.55
650.0,250.0,-1486.03,-1493.33,-1500.8
700.0,250.0,-1487.09,-1494.61,-1502.07
