WELL,MD_FROM,MD_TO,X,Y,Z,UNIT,FACIES,FACIES_NAME
F02,1506.8,1507.0,3782.51,1830.6,-1496.9,UPPER,2,SAND_SHALY
F02,1507.0,1507.2,3782.51,1830.6,-1497.1,UPPER,2,SAND_SHALY
F02,1507.2,1507.4,3782.51,1830.6,-1497.3,UPPER,3,HETEROLITHIC
F02,1507.4,1507.6,3782.51,1830.6,-1497.5,UPPER,3,HETEROLITHIC
F02,1507.6,1507.8,3782.51,1830.6,-1497.7,UPPER,3,HETEROLITHIC
F02,1507.8,1508.0,3782.51,1830.6,-1497.9,UPPER,3,HETEROLITHIC
F02,1508.0,1508.2,3782.51,1830.6,-1498.1,UPPER,3,HETEROLITHIC
F02,1508.2,1508.4,3782.51,1830.6,-1498.3,UPPER,3,HETEROLITHIC
F02,1508.4,1508.6,3782.51,1830.6,-1498.5,UPPER,2,SAND_SHALY
F02,1508.6,1508.8,3782.51,1830.6,-1498.7,UPPER,1,SAND_CLEAN
F02,1508.8,1509.0,3782.51,1830.6,-1498.9,UPPER,1,SAND_CLEAN
F02,1509.0,1509.2,3782.51,1830.6,-1499.1,UPPER,2,SAND_SHALY
F02,1509.2,1509.4,3782.51,1830.6,-1499.3,UPPER,2,SAND_SHALY
F02,1509.4,1509.6,3782.51,1830.6,-1499.5,UPPER,3,HETEROLITHIC
F02,1509.6,1509.8,3782.51,1830.6,-1499.7,UPPER,3,HETEROLITHIC
F02,1509.8,1510.0,3782.51,1830.6,-1499.9,UPPER,3,HETEROLITHIC
F02,1510.0,1510.2,3782.51,1830.6,-1500.1,UPPER,3,HETEROLITHIC
F02,1510.2,1510.4,3782.51,1830.6,-1500.3,UPPER,3,HETEROLITHIC
F02,1510.4,1510.6,3782.51,1830.6,-1500.5,UPPER,3,HETEROLITHIC
F02,1510.6,1510.8,3782.51,1830.6,-1500.7,UPPER,4,SHALE
F02,1510.8,1511.0,3782.51,1830.6,-1500.9,UPPER,4,SHALE
F02,1511.0,1511.2,3782.51,1830.6,-1501.1,UPPER,4,SHALE
F02,1511.2,1511.4,3782.51,1830.6,-1501.3,UPPER,4,SHALE
F02,1511.4,1511.6,3782.51,1830.6,-1501.5,UPPER,4,SHALE
F02,1511.6,1511.8,3782.51,1830.6,-1501.7,UPPER,4,SHALE
F02,1511.8,1512.0,3782.51,1830.6,-1501.9,UPPER,4,SHALE
F02,1512.0,1512.2,3782.51,1830.6,-1502.1,UPPER,4,SHALE
F02,1512.2,1512.4,3782.51,1830.6,-1502.3,UPPER,4,SHALE
F02,1512.4,1512.6,3782.51,1830.6,-1502.5,UPPER,4,SHALE
F02,1512.6,1512.8,3782.51,1830.6,-1502.7,UPPER,4,SHALE
F02,1512.8,1513.0,3782.51,1830.6,-1502.9,UPPER,4,SHALE
F02,1513.0,1513.2,3782.51,1830.6,-1503.1,UPPER,4,SHALE
F02,1513.2,1513.4,3782.51,1830.6,-1503.3,UPPER,4,SHALE
F02,1513.4,1513.6,3782.51,1830.6,-1503.5,UPPER,4,SHALE
F02,1513.6,1513.8,3782.51,1830.6,-1503.7,UPPER,4,SHALE
F02,1513.8,1514.0,3782.51,1830.6,-1503.9,LOWER,4,SHALE
F02,1514.0,1514.2,3782.51,1830.6,-1504.1,LOWER,4,SHALE
F02,1514.2,1514.4,3782.51,1830.6,-1504.3,LOWER,4,SHALE
F02,1514.4,1514.6,3782.51,1830.6,-1504.5,LOWER,3,HETEROLITHIC
F02,1514.6,1514.8,3782.51,1830.6,-1504.7,LOWER,2,SAND_SHALY
F02,1514.8,1515.0,3782.51,1830.6,-1504.9,LOWER,1,SAND_CLEAN
F02,1515.0,1515.2,3782.51,1830.6,-1505.1,LOWER,1,SAND_CLEAN
F02,1515.2,1515.4,3782.51,1830.6,-1505.3,LOWER,1,SAND_CLEAN
F02,1515.4,1515.6,3782.51,1830.6,-1505.5,LOWER,2,SAND_SHALY
F02,1515.6,1515.8,3782.51,1830.6,-1505.7,LOWER,3,HETEROLITHIC
F02,1515.8,1516.0,3782.51,1830.6,-1505.9,LOWER,4,SHALE
F02,1516.0,1516.2,3782.51,1830.6,-1506.1,LOWER,4,SHALE
F02,1516.2,1516.4,3782.51,1830.6,-1506.3,LOWER,4,SHALE
F02,1516.4,1516.6,3782.51,1830.6,-1506.5,LOWER,4,SHALE
F02,1516.6,1516.8,3782.51,1830.6,-1506.7,LOWER,4,SHALE
F02,1516.8,1517.0,3782.51,1830.6,-1506.9,LOWER,3,HETEROLITHIC
F02,1517.0,1517.2,3782.51,1830.6,-1507.1,LOWER,3,HETEROLITHIC
F02,1517.2,1517.4,3782.51,1830.6,-1507.3,LOWER,3,HETEROLITHIC
F02,1517.4,1517.6,3782.51,1830.6,-1507.5,LOWER,3,HETEROLITHIC
F02,1517.6,1517.8,3782.51,1830.6,-1507.7,LOWER,4,SHALE
F02,1517.8,1518.0,3782.51,1830.6,-1507.9,LOWER,4,SHALE
F02,1518.0,1518.2,3782.51,1830.6,-1508.1,LOWER,4,SHALE
F02,1518.2,1518.4,3782.51,1830.6,-1508.3,LOWER,3,HETEROLITHIC
F02,1518.4,1518.6,3782.51,1830.6,-1508.5,LOWER,3,HETEROLITHIC
F02,1518.6,1518.8,3782.51,1830.6,-1508.7,LOWER,5,CEMENTED
F02,1518.8,1519.0,3782.51,1830.6,-1508.9,LOWER,1,SAND_CLEAN
F02,1519.0,1519.2,3782.51,1830.6,-1509.1,LOWER,1,SAND_CLEAN
F02,1519.2,1519.4,3782.51,1830.6,-1509.3,LOWER,1,SAND_CLEAN
F02,1519.4,1519.6,3782.51,1830.6,-1509.5,LOWER,2,SAND_SHALY
F02,1519.6,1519.8,3782.51,1830.6,-1509.7,LOWER,3,HETEROLITHIC
F02,1519.8,1520.0,3782.51,1830.6,-1509.9,LOWER,3,HETEROLITHIC
F02,1520.0,1520.2,3782.51,1830.6,-1510.1,LOWER,3,HETEROLITHIC
F02,1520.2,1520.4,3782.51,1830.6,-1510.3,LOWER,4,SHALE
F02,1520.4,1520.6,3782.51,1830.6,-1510.5,LOWER,4,SHALE
F02,1520.6,1520.8,3782.51,1830.6,-1510.7,LOWER,4,SHALE
F02,1520.8,1521.0,3782.51,1830.6,-1510.9,LOWER,4,SHALE
F02,1521.0,1521.2,3782.51,1830.6,-1511.1,LOWER,4,SHALE
F03,1492.0,1492.2,715.4,2949.98,-1482.1,UPPER,4,SHALE
F03,1492.2,1492.4,715.4,2949.98,-1482.3,UPPER,4,SHALE
F03,1492.4,1492.6,715.4,2949.98,-1482.5,UPPER,4,SHALE
F03,1492.6,1492.8,715.4,2949.98,-1482.7,UPPER,4,SHALE
F03,1492.8,1493.0,715.4,2949.98,-1482.9,UPPER,4,SHALE
F03,1493.0,1493.2,715.4,2949.98,-1483.1,UPPER,4,SHALE
F03,1493.2,1493.4,715.4,2949.98,-1483.3,UPPER,2,SAND_SHALY
F03,1493.4,1493.6,715.4,2949.98,-1483.5,UPPER,1,SAND_CLEAN
F03,1493.6,1493.8,715.4,2949.98,-1483.7,UPPER,1,SAND_CLEAN
F03,1493.8,1494.0,715.4,2949.98,-1483.9,UPPER,1,SAND_CLEAN
F03,1494.0,1494.2,715.4,2949.98,-1484.1,UPPER,1,SAND_CLEAN
F03,1494.2,1494.4,715.4,2949.98,-1484.3,UPPER,1,SAND_CLEAN
F03,1494.4,1494.6,715.4,2949.98,-1484.5,UPPER,1,SAND_CLEAN
F03,1494.6,1494.8,715.4,2949.98,-1484.7,UPPER,1,SAND_CLEAN
F03,1494.8,1495.0,715.4,2949.98,-1484.9,UPPER,1,SAND_CLEAN
F03,1495.0,1495.2,715.4,2949.98,-1485.1,UPPER,2,SAND_SHALY
F03,1495.2,1495.4,715.4,2949.98,-1485.3,UPPER,2,SAND_SHALY
F03,1495.4,1495.6,715.4,2949.98,-1485.5,UPPER,1,SAND_CLEAN
F03,1495.6,1495.8,715.4,2949.98,-1485.7,UPPER,1,SAND_CLEAN
F03,1495.8,1496.0,715.4,2949.98,-1485.9,UPPER,1,SAND_CLEAN
F03,1496.0,1496.2,715.4,2949.98,-1486.1,UPPER,5,CEMENTED
F03,1496.2,1496.4,715.4,2949.98,-1486.3,UPPER,1,SAND_CLEAN
F03,1496.4,1496.6,715.4,2949.98,-1486.5,UPPER,2,SAND_SHALY
F03,1496.6,1496.8,715.4,2949.98,-1486.7,UPPER,3,HETEROLITHIC
F03,1496.8,1497.0,715.4,2949.98,-1486.9,UPPER,3,HETEROLITHIC
F03,1497.0,1497.2,715.4,2949.98,-1487.1,UPPER,3,HETEROLITHIC
F03,1497.2,1497.4,715.4,2949.98,-1487.3,LOWER,1,SAND_CLEAN
F03,1497.4,1497.6,715.4,2949.98,-1487.5,LOWER,2,SAND_SHALY
F03,1497.6,1497.8,715.4,2949.98,-1487.7,LOWER,4,SHALE
F03,1497.8,1498.0,715.4,2949.98,-1487.9,LOWER,4,SHALE
F03,1498.0,1498.2,715.4,2949.98,-1488.1,LOWER,4,SHALE
F03,1498.2,1498.4,715.4,2949.98,-1488.3,LOWER,3,HETEROLITHIC
F03,1498.4,1498.6,715.4,2949.98,-1488.5,LOWER,4,SHALE
F03,1498.6,1498.8,715.4,2949.98,-1488.7,LOWER,4,SHALE
F03,1498.8,1499.0,715.4,2949.98,-1488.9,LOWER,4,SHALE
F03,1499.0,1499.2,715.4,2949.98,-1489.1,LOWER,4,SHALE
F03,1499.2,1499.4,715.4,2949.98,-1489.3,LOWER,4,SHALE
F03,1499.4,1499.6,715.4,2949.98,-1489.5,LOWER,4,SHALE
F03,1499.6,1499.8,715.4,2949.98,-1489.7,LOWER,3,HETEROLITHIC
F03,1499.8,1500.0,715.4,2949.98,-1489.9,LOWER,3,HETEROLITHIC
F03,1500.0,1500.2,715.4,2949.98,-1490.1,LOWER,2,SAND_SHALY
F03,1500.2,1500.4,715.4,2949.98,-1490.3,LOWER,1,SAND_CLEAN
F03,1500.4,1500.6,715.4,2949.98,-1490.5,LOWER,1,SAND_CLEAN
F03,1500.6,1500.8,715.4,2949.98,-1490.7,LOWER,3,HETEROLITHIC
F03,1500.8,1501.0,715.4,2949.98,-1490.9,LOWER,3,HETEROLITHIC
F03,1501.0,1501.2,715.4,2949.98,-1491.1,LOWER,3,HETEROLITHIC
F03,1501.2,1501.4,715.4,2949.98,-1491.3,LOWER,2,SAND_SHALY
F03,1501.4,1501.6,715.4,2949.98,-1491.5,LOWER,3,HETEROLITHIC
F03,1501.6,1501.8,715.4,2949.98,-1491.7,LOWER,2,SAND_SHALY
F04,1497.8,1498.0,3327.44,3571.29,-1487.9,UPPER,4,SHALE
F04,1498.0,1498.2,3327.44,3571.29,-1488.1,UPPER,4,SHALE
F04,1498.2,1498.4,3327.44,3571.29,-1488.3,UPPER,4,SHALE
F04,1498.4,1498.6,3327.44,3571.29,-1488.5,UPPER,4,SHALE
F04,1498.6,1498.8,3327.44,3571.29,-1488.7,UPPER,4,SHALE
F04,1498.8,1499.0,3327.44,3571.29,-1488.9,UPPER,4,SHALE
F04,1499.0,1499.2,3327.44,3571.29,-1489.1,UPPER,4,SHALE
F04,1499.2,1499.4,3327.44,3571.29,-1489.3,UPPER,3,HETEROLITHIC
F04,1499.4,1499.6,3327.44,3571.29,-1489.5,UPPER,2,SAND_SHALY
F04,1499.6,1499.8,3327.44,3571.29,-1489.7,UPPER,5,CEMENTED
F04,1499.8,1500.0,3327.44,3571.29,-1489.9,UPPER,5,CEMENTED
F04,1500.0,1500.2,3327.44,3571.29,-1490.1,UPPER,5,CEMENTED
F04,1500.2,1500.4,3327.44,3571.29,-1490.3,UPPER,5,CEMENTED
F04,1500.4,1500.6,3327.44,3571.29,-1490.5,UPPER,5,CEMENTED
F04,1500.6,1500.8,3327.44,3571.29,-1490.7,UPPER,5,CEMENTED
F04,1500.8,1501.0,3327.44,3571.29,-1490.9,UPPER,5,CEMENTED
F04,1501.0,1501.2,3327.44,3571.29,-1491.1,UPPER,1,SAND_CLEAN
F04,1501.2,1501.4,3327.44,3571.29,-1491.3,UPPER,1,SAND_CLEAN
F04,1501.4,1501.6,3327.44,3571.29,-1491.5,UPPER,1,SAND_CLEAN
F04,1501.6,1501.8,3327.44,3571.29,-1491.7,UPPER,1,SAND_CLEAN
F04,1501.8,1502.0,3327.44,3571.29,-1491.9,UPPER,1,SAND_CLEAN
F04,1502.0,1502.2,3327.44,3571.29,-1492.1,UPPER,1,SAND_CLEAN
F04,1502.2,1502.4,3327.44,3571.29,-1492.3,UPPER,1,SAND_CLEAN
F04,1502.4,1502.6,3327.44,3571.29,-1492.5,UPPER,1,SAND_CLEAN
F04,1502.6,1502.8,3327.44,3571.29,-1492.7,UPPER,5,CEMENTED
F04,1502.8,1503.0,3327.44,3571.29,-1492.9,UPPER,5,CEMENTED
F04,1503.0,1503.2,3327.44,3571.29,-1493.1,UPPER,1,SAND_CLEAN
F04,1503.2,1503.4,3327.44,3571.29,-1493.3,UPPER,1,SAND_CLEAN
F04,1503.4,1503.6,3327.44,3571.29,-1493.5,UPPER,1,SAND_CLEAN
F04,1503.6,1503.8,3327.44,3571.29,-1493.7,UPPER,1,SAND_CLEAN
F04,1503.8,1504.0,3327.44,3571.29,-1493.9,UPPER,2,SAND_SHALY
F04,1504.0,1504.2,3327.44,3571.29,-1494.1,UPPER,2,SAND_SHALY
F04,1504.2,1504.4,3327.44,3571.29,-1494.3,UPPER,5,CEMENTED
F04,1504.4,1504.6,3327.44,3571.29,-1494.5,UPPER,3,HETEROLITHIC
F04,1504.6,1504.8,3327.44,3571.29,-1494.7,UPPER,3,HETEROLITHIC
F04,1504.8,1505.0,3327.44,3571.29,-1494.9,UPPER,4,SHALE
F04,1505.0,1505.2,3327.44,3571.29,-1495.1,UPPER,4,SHALE
F04,1505.2,1505.4,3327.44,3571.29,-1495.3,UPPER,4,SHALE
F04,1505.4,1505.6,3327.44,3571.29,-1495.5,UPPER,4,SHALE
F04,1505.6,1505.8,3327.44,3571.29,-1495.7,UPPER,4,SHALE
F04,1505.8,1506.0,3327.44,3571.29,-1495.9,UPPER,4,SHALE
F04,1506.0,1506.2,3327.44,3571.29,-1496.1,UPPER,4,SHALE
F04,1506.2,1506.4,3327.44,3571.29,-1496.3,UPPER,4,SHALE
F04,1506.4,1506.6,3327.44,3571.29,-1496.5,UPPER,4,SHALE
F04,1506.6,1506.8,3327.44,3571.29,-1496.7,UPPER,4,SHALE
F04,1506.8,1507.0,3327.44,3571.29,-1496.9,UPPER,4,SHALE
F04,1507.0,1507.2,3327.44,3571.29,-1497.1,UPPER,3,HETEROLITHIC
F04,1507.2,1507.4,3327.44,3571.29,-1497.3,UPPER,3,HETEROLITHIC
F04,1507.4,1507.6,3327.44,3571.29,-1497.5,UPPER,3,HETEROLITHIC
F04,1507.6,1507.8,3327.44,3571.29,-1497.7,UPPER,3,HETEROLITHIC
F04,1507.8,1508.0,3327.44,3571.29,-1497.9,UPPER,3,HETEROLITHIC
F04,1508.0,1508.2,3327.44,3571.29,-1498.1,UPPER,3,HETEROLITHIC
F04,1508.2,1508.4,3327.44,3571.29,-1498.3,UPPER,3,HETEROLITHIC
F04,1508.4,1508.6,3327.44,3571.29,-1498.5,UPPER,3,HETEROLITHIC
F04,1508.6,1508.8,3327.44,3571.29,-1498.7,UPPER,3,HETEROLITHIC
F04,1508.8,1509.0,3327.44,3571.29,-1498.9,UPPER,3,HETEROLITHIC
F04,1509.0,1509.2,3327.44,3571.29,-1499.1,LOWER,2,SAND_SHALY
F04,1509.2,1509.4,3327.44,3571.29,-1499.3,LOWER,2,SAND_SHALY
F04,1509.4,1509.6,3327.44,3571.29,-1499.5,LOWER,2,SAND_SHALY
F04,1509.6,1509.8,3327.44,3571.29,-1499.7,LOWER,3,HETEROLITHIC
F04,1509.8,1510.0,3327.44,3571.29,-1499.9,LOWER,4,SHALE
F04,1510.0,1510.2,3327.44,3571.29,-1500.1,LOWER,4,SHALE
F04,1510.2,1510.4,3327.44,3571.29,-1500.3,LOWER,4,SHALE
F04,1510.4,1510.6,3327.44,3571.29,-1500.5,LOWER,4,SHALE
F04,1510.6,1510.8,3327.44,3571.29,-1500.7,LOWER,3,HETEROLITHIC
F04,1510.8,1511.0,3327.44,3571.29,-1500.9,LOWER,3,HETEROLITHIC
F04,1511.0,1511.2,3327.44,3571.29,-1501.1,LOWER,4,SHALE
F04,1511.2,1511.4,3327.44,3571.29,-1501.3,LOWER,4,SHALE
F04,1511.4,1511.6,3327.44,3571.29,-1501.5,LOWER,4,SHALE
F04,1511.6,1511.8,3327.44,3571.29,-1501.7,LOWER,4,SHALE
F04,1511.8,1512.0,3327.44,3571.29,-1501.9,LOWER,4,SHALE
F04,1512.0,1512.2,3327.44,3571.29,-1502.1,LOWER,4,SHALE
F04,1512.2,1512.4,3327.44,3571.29,-1502.3,LOWER,4,SHALE
F04,1512.4,1512.6,3327.44,3571.29,-1502.5,LOWER,4,SHALE
F04,1512.6,1512.8,3327.44,3571.29,-1502.7,LOWER,4,SHALE
F04,1512.8,1513.0,3327.44,3571.29,-1502.9,LOWER,4,SHALE
F04,1513.0,1513.2,3327.44,3571.29,-1503.1,LOWER,3,HETEROLITHIC
F04,1513.2,1513.4,3327.44,3571.29,-1503.3,LOWER,1,SAND_CLEAN
F04,1513.4,1513.6,3327.44,3571.29,-1503.5,LOWER,1,SAND_CLEAN
F05,1504.6,1504.8,3030.01,3741.88,-1489.54,UPPER,4,SHALE
F05,1504.8,1505.0,3029.95,3741.84,-1489.73,UPPER,4,SHALE
F05,1505.0,1505.2,3029.9,3741.8,-1489.92,UPPER,4,SHALE
F05,1505.2,1505.4,3029.85,3741.76,-1490.11,UPPER,4,SHALE
F05,1505.4,1505.6,3029.8,3741.72,-1490.3,UPPER,4,SHALE
F05,1505.6,1505.8,3029.75,3741.69,-1490.49,UPPER,4,SHALE
F05,1505.8,1506.0,3029.7,3741.65,-1490.68,UPPER,4,SHALE
F05,1506.0,1506.2,3029.64,3741.61,-1490.87,UPPER,4,SHALE
F05,1506.2,1506.4,3029.59,3741.57,-1491.05,UPPER,3,HETEROLITHIC
F05,1506.4,1506.6,3029.54,3741.53,-1491.24,UPPER,3,HETEROLITHIC
F05,1506.6,1506.8,3029.49,3741.49,-1491.43,UPPER,3,HETEROLITHIC
F05,1506.8,1507.0,3029.44,3741.46,-1491.62,UPPER,2,SAND_SHALY
F05,1507.0,1507.2,3029.39,3741.42,-1491.81,UPPER,2,SAND_SHALY
F05,1507.2,1507.4,3029.33,3741.38,-1492.0,UPPER,1,SAND_CLEAN
F05,1507.4,1507.6,3029.28,3741.34,-1492.19,UPPER,1,SAND_CLEAN
F05,1507.6,1507.8,3029.23,3741.3,-1492.38,UPPER,1,SAND_CLEAN
F05,1507.8,1508.0,3029.18,3741.27,-1492.57,UPPER,1,SAND_CLEAN
F05,1508.0,1508.2,3029.13,3741.23,-1492.76,UPPER,1,SAND_CLEAN
F05,1508.2,1508.4,3029.08,3741.19,-1492.95,UPPER,2,SAND_SHALY
F05,1508.4,1508.6,3029.02,3741.15,-1493.14,UPPER,2,SAND_SHALY
F05,1508.6,1508.8,3028.97,3741.11,-1493.33,UPPER,2,SAND_SHALY
F05,1508.8,1509.0,3028.92,3741.07,-1493.52,UPPER,2,SAND_SHALY
F05,1509.0,1509.2,3028.87,3741.04,-1493.71,UPPER,2,SAND_SHALY
F05,1509.2,1509.4,3028.82,3741.0,-1493.9,UPPER,3,HETEROLITHIC
F05,1509.4,1509.6,3028.77,3740.96,-1494.09,UPPER,3,HETEROLITHIC
