X,Y,Z,FACIES,POROSITY,PERM_MD,AI_SEISMIC
25.0,125.0,28.5,1,0.2567,654.036,8.886
25.0,125.0,29.5,0,0.0639,0.033,8.828
25.0,175.0,0.5,0,0.0574,0.015,9.947
25.0,175.0,1.5,0,0.0655,0.037,9.82
25.0,175.0,2.5,0,0.0884,0.051,9.595
25.0,175.0,3.5,0,0.104,0.192,9.332
25.0,175.0,4.5,1,0.226,105.544,9.1
25.0,175.0,5.5,1,0.2821,1129.787,8.969
25.0,175.0,6.5,1,0.2596,371.894,8.978
25.0,175.0,7.5,1,0.2233,207.747,9.127
25.0,175.0,8.5,0,0.0608,0.043,9.371
25.0,175.0,9.5,0,0.0422,0.016,9.645
25.0,175.0,10.5,0,0.0523,0.045,9.883
25.0,175.0,11.5,0,0.0349,0.01,10.044
25.0,175.0,12.5,0,0.0697,0.04,10.119
25.0,175.0,13.5,0,0.0923,0.086,10.118
25.0,175.0,14.5,2,0.1921,9.83,10.066
25.0,175.0,15.5,0,0.0385,0.015,9.99
25.0,175.0,16.5,0,0.0616,0.018,9.912
25.0,175.0,17.5,0,0.0768,0.013,9.855
25.0,175.0,18.5,2,0.159,1.683,9.834
25.0,175.0,19.5,3,0.2121,212.261,9.852
25.0,175.0,20.5,0,0.0456,0.014,9.892
25.0,175.0,21.5,0,0.013,0.007,9.917
25.0,175.0,22.5,0,0.0701,0.023,9.889
25.0,175.0,23.5,0,0.0385,0.011,9.783
25.0,175.0,24.5,0,0.0652,0.063,9.6
25.0,175.0,25.5,1,0.2236,132.676,9.372
25.0,175.0,26.5,1,0.2336,122.197,9.145
25.0,175.0,27.5,1,0.2681,712.342,8.957
25.0,175.0,28.5,1,0.2638,1075.357,8.831
25.0,175.0,29.5,0,0.0649,0.033,8.77
25.0,225.0,0.5,0,0.0418,0.008,10.121
25.0,225.0,1.5,0,0.068,0.033,10.017
25.0,225.0,2.5,0,0.1087,0.121,9.831
25.0,225.0,3.5,0,0.0945,0.036,9.606
25.0,225.0,4.5,0,0.0394,0.018,9.4
25.0,225.0,5.5,1,0.2952,2208.354,9.271
25.0,225.0,6.5,1,0.2585,1394.969,9.259
25.0,225.0,7.5,1,0.2032,110.084,9.37
25.0,225.0,8.5,0,0.0565,0.049,9.573
25.0,225.0,9.5,0,0.047,0.023,9.815
25.0,225.0,10.5,0,0.0531,0.029,10.037
25.0,225.0,11.5,0,0.0242,0.012,10.198
25.0,225.0,12.5,0,0.0667,0.052,10.283
25.0,225.0,13.5,0,0.0874,0.119,10.296
25.0,225.0,14.5,0,0.0762,0.034,10.253
25.0,225.0,15.5,0,0.0348,0.004,10.175
25.0,225.0,16.5,0,0.0543,0.024,10.088
25.0,225.0,17.5,0,0.0527,0.023,10.015
25.0,225.0,18.5,2,0.1655,3.407,9.977
25.0,225.0,19.5,2,0.1916,16.803,9.981
25.0,225.0,20.5,0,0.0416,0.008,10.016
25.0,225.0,21.5,0,0.0196,0.003,10.049
25.0,225.0,22.5,0,0.0842,0.048,10.045
25.0,225.0,23.5,0,0.0633,0.029,9.976
25.0,225.0,24.5,0,0.0573,0.027,9.838
25.0,225.0,25.5,0,0.0435,0.027,9.653
25.0,225.0,26.5,0,0.0598,0.009,9.455
25.0,225.0,27.5,1,0.2671,432.549,9.282
25.0,225.0,28.5,1,0.2556,255.772,9.159
25.0,225.0,29.5,0,0.0605,0.037,9.097
25.0,275.0,0.5,0,0.0381,0.005,10.299
25.0,275.0,1.5,0,0.0542,0.035,10.222
25.0,275.0,2.5,0,0.09,0.108,10.08
25.0,275.0,3.5,0,0.0872,0.077,9.903
25.0,275.0,4.5,0,0.0718,0.052,9.732
25.0,275.0,5.5,0,0.1005,0.179,9.612
25.0,275.0,6.5,2,0.1928,7.73,9.581
25.0,275.0,7.5,1,0.2253,130.318,9.649
25.0,275.0,8.5,0,0.0615,0.072,9.799
25.0,275.0,9.5,0,0.0124,0.005,9.99
25.0,275.0,10.5,0,0.0547,0.009,10.172
25.0,275.0,11.5,0,0.0318,0.007,10.309
25.0,275.0,12.5,0,0.0739,0.03,10.381
25.0,275.0,13.5,0,0.0698,0.041,10.388
25.0,275.0,14.5,0,0.0948,0.099,10.34
25.0,275.0,15.5,0,0.0383,0.022,10.256
25.0,275.0,16.5,0,0.0506,0.023,10.159
25.0,275.0,17.5,0,0.0596,0.021,10.076
25.0,275.0,18.5,2,0.156,4.176,10.029
25.0,275.0,19.5,2,0.1697,3.477,10.032
25.0,275.0,20.5,0,0.0489,0.015,10.075
25.0,275.0,21.5,0,0.0215,0.008,10.135
25.0,275.0,22.5,0,0.0784,0.213,10.176
25.0,275.0,23.5,0,0.0617,0.044,10.17
25.0,275.0,24.5,0,0.0612,0.028,10.107
25.0,275.0,25.5,0,0.0381,0.006,9.995
25.0,275.0,26.5,0,0.0547,0.019,9.861
25.0,275.0,27.5,2,0.1872,8.634,9.733
25.0,275.0,28.5,2,0.1202,1.788,9.636
25.0,275.0,29.5,0,0.0776,0.037,9.584
25.0,325.0,0.5,0,0.0196,0.007,10.412
25.0,325.0,1.5,0,0.0636,0.061,10.35
25.0,325.0,2.5,0,0.0933,0.052,10.237
25.0,325.0,3.5,0,0.0612,0.018,10.092
25.0,325.0,4.5,0,0.0632,0.049,9.946
25.0,325.0,5.5,0,0.0836,0.034,9.837
25.0,325.0,6.5,2,0.2002,73.076,9.797
25.0,325.0,7.5,2,0.1402,1.587,9.839
25.0,325.0,8.5,0,0.0548,0.012,9.951
25.0,325.0,9.5,0,0.0228,0.004,10.1
25.0,325.0,10.5,0,0.0504,0.011,10.244
25.0,325.0,11.5,0,0.0179,0.003,10.35
25.0,325.0,12.5,0,0.0677,0.054,10.397
25.0,325.0,13.5,0,0.0762,0.056,10.385
25.0,325.0,14.5,0,0.0892,0.098,10.322
25.0,325.0,15.5,0,0.0498,0.026,10.226
25.0,325.0,16.5,0,0.0675,0.021,10.119
25.0,325.0,17.5,0,0.0762,0.052,10.029
25.0,325.0,18.5,2,0.1418,2.042,9.978
25.0,325.0,19.5,2,0.1612,3.708,9.982
25.0,325.0,20.5,0,0.0577,0.016,10.035
25.0,325.0,21.5,0,0.0332,0.014,10.115
25.0,325.0,22.5,0,0.0736,0.053,10.192
25.0,325.0,23.5,0,0.0676,0.056,10.239
25.0,325.0,24.5,0,0.0413,0.011,10.242
25.0,325.0,25.5,0,0.0584,0.014,10.205
25.0,325.0,26.5,0,0.0409,0.01,10.142
25.0,325.0,27.5,2,0.2203,47.208,10.076
25.0,325.0,28.5,2,0.1112,0.41,10.023
25.0,325.0,29.5,0,0.0567,0.011,9.994
25.0,375.0,0.5,0,0.0488,0.012,10.452
25.0,375.0,1.5,0,0.059,0.02,10.4
25.0,375.0,2.5,0,0.0723,0.044,10.304
25.0,375.0,3.5,0,0.0691,0.055,10.18
25.0,375.0,4.5,0,0.0712,0.021,10.054
25.0,375.0,5.5,0,0.0782,0.042,9.958
25.0,375.0,6.5,2,0.196,9.924,9.92
25.0,375.0,7.5,2,0.1404,4.21,9.952
25.0,375.0,8.5,0,0.0533,0.032,10.045
25.0,375.0,9.5,0,0.0295,0.005,10.167
25.0,375.0,10.5,0,0.0439,0.015,10.281
25.0,375.0,11.5,0,0.0286,0.009,10.355
25.0,375.0,12.5,0,0.0561,0.023,10.372
25.0,375.0,13.5,0,0.0687,0.024,10.332
25.0,375.0,14.5,0,0.0838,0.069,10.246
25.0,375.0,15.5,0,0.0746,0.028,10.132
25.0,375.0,16.5,0,0.0717,0.024,10.013
25.0,375.0,17.5,0,0.0838,0.06,9.915
25.0,375.0,18.5,2,0.1398,3.121,9.859
25.0,375.0,19.5,2,0.171,2.328,9.859
25.0,375.0,20.5,0,0.0674,0.055,9.914
25.0,375.0,21.5,0,0.0433,0.025,10.007
25.0,375.0,22.5,0,0.0938,0.105,10.114
25.0,375.0,23.5,0,0.0496,0.006,10.21
25.0,375.0,24.5,0,0.0531,0.016,10.282
25.0,375.0,25.5,0,0.0664,0.055,10.327
25.0,375.0,26.5,0,0.053,0.024,10.349
25.0,375.0,27.5,0,0.0872,0.073,10.359
25.0,375.0,28.5,0,0.018,0.005,10.362
25.0,375.0,29.5,0,0.067,0.009,10.363
25.0,425.0,0.5,0,0.0583,0.027,10.414
25.0,425.0,1.5,0,0.0581,0.004,10.367
25.0,425.0,2.5,0,0.0643,0.082,10.279
25.0,425.0,3.5,0,0.0919,0.114,10.166
25.0,425.0,4.5,0,0.0856,0.145,10.052
25.0,425.0,5.5,0,0.0812,0.086,9.968
25.0,425.0,6.5,0,0.0927,0.068,9.94
25.0,425.0,7.5,2,0.1481,3.736,9.979
25.0,425.0,8.5,0,0.0427,0.035,10.071
25.0,425.0,9.5,0,0.0191,0.003,10.186
25.0,425.0,10.5,0,0.0524,0.108,10.284
25.0,425.0,11.5,0,0.0129,0.006,10.335
25.0,425.0,12.5,0,0.0417,0.009,10.324
25.0,425.0,13.5,0,0.0575,0.035,10.253
25.0,425.0,14.5,0,0.1098,0.173,10.139
25.0,425.0,15.5,2,0.1922,6.846,10.003
25.0,425.0,16.5,0,0.0579,0.021,9.87
25.0,425.0,17.5,0,0.067,0.042,9.762
25.0,425.0,18.5,3,0.1751,8.22,9.698
25.0,425.0,19.5,3,0.1794,8.407,9.69
25.0,425.0,20.5,0,0.0659,0.033,9.74
25.0,425.0,21.5,0,0.0773,0.065,9.836
25.0,425.0,22.5,2,0.2104,36.872,9.961
25.0,425.0,23.5,0,0.0323,0.005,10.096
25.0,425.0,24.5,0,0.0732,0.112,10.225
25.0,425.0,25.5,0,0.083,0.072,10.338
25.0,425.0,26.5,0,0.0443,0.014,10.432
25.0,425.0,27.5,0,0.0817,0.032,10.505
25.0,425.0,28.5,0,0.011,0.005,10.554
25.0,425.0,29.5,0,0.0537,0.009,10.58
25.0,475.0,0.5,0,0.0829,0.073,10.331
25.0,475.0,1.5,0,0.033,0.016,10.276
25.0,475.0,2.5,0,0.0747,0.048,10.174
25.0,475.0,3.5,0,0.0795,0.023,10.044
25.0,475.0,4.5,0,0.0727,0.075,9.917
25.0,475.0,5.5,0,0.0922,0.041,9.829
25.0,475.0,6.5,1,0.2953,3077.447,9.81
25.0,475.0,7.5,2,0.1411,1.854,9.867
25.0,475.0,8.5,0,0.0454,0.028,9.984
25.0,475.0,9.5,0,0.0275,0.013,10.121
25.0,475.0,10.5,0,0.0452,0.012,10.233
25.0,475.0,11.5,0,0.01,0.004,10.286
25.0,475.0,12.5,0,0.0425,0.005,10.265
25.0,475.0,13.5,0,0.0849,0.051,10.178
25.0,475.0,14.5,0,0.0849,0.033,10.045
25.0,475.0,15.5,2,0.1778,6.674,9.893
25.0,475.0,16.5,0,0.0584,0.031,9.746
25.0,475.0,17.5,0,0.0808,0.088,9.627
25.0,475.0,18.5,3,0.2112,96.832,9.553
25.0,475.0,19.5,3,0.1748,8.569,9.537
25.0,475.0,20.5,0,0.0733,0.037,9.58
25.0,475.0,21.5,0,0.1091,0.197,9.677
25.0,475.0,22.5,2,0.1958,10.423,9.812
25.0,475.0,23.5,0,0.0425,0.029,9.97
25.0,475.0,24.5,0,0.089,0.031,10.134
25.0,475.0,25.5,0,0.0845,0.143,10.289
25.0,475.0,26.5,0,0.0419,0.01,10.424
25.0,475.0,27.5,0,0.0875,0.078,10.531
25.0,475.0,28.5,0,0.0237,0.004,10.606
25.0,475.0,29.5,0,0.0299,0.013,10.644
25.0,525.0,0.5,0,0.0892,0.078,10.286
25.0,525.0,1.5,0,0.0285,0.005,10.216
25.0,525.0,2.5,0,0.076,0.016,10.087
25.0,525.0,3.5,0,0.0677,0.07,9.925
25.0,525.0,4.5,0,0.0831,0.077,9.772
25.0,525.0,5.5,1,0.2925,2904.852,9.671
25.0,525.0,6.5,1,0.2839,653.264,9.654
25.0,525.0,7.5,2,0.1308,2.579,9.73
25.0,525.0,8.5,0,0.0493,0.013,9.873
25.0,525.0,9.5,0,0.0518,0.026,10.036
25.0,525.0,10.5,0,0.0405,0.023,10.167
25.0,525.0,11.5,0,0.0104,0.006,10.23
25.0,525.0,12.5,0,0.0691,0.044,10.212
25.0,525.0,13.5,0,0.0634,0.036,10.121
25.0,525.0,14.5,0,0.0864,0.1,9.981
25.0,525.0,15.5,2,0.1918,20.224,9.822
25.0,525.0,16.5,0,0.079,0.044,9.671
25.0,525.0,17.5,0,0.0667,0.012,9.549
25.0,525.0,18.5,3,0.2026,8.393,9.472
25.0,525.0,19.5,3,0.2097,30.452,9.452
25.0,525.0,20.5,0,0.0745,0.034,9.492
25.0,525.0,21.5,0,0.1043,0.074,9.589
25.0,525.0,22.5,2,0.1917,8.284,9.731
25.0,525.0,23.5,0,0.0598,0.041,9.902
25.0,525.0,24.5,0,0.0958,0.121,10.086
25.0,525.0,25.5,0,0.0723,0.077,10.265
25.0,525.0,26.5,0,0.0504,0.022,10.423
25.0,525.0,27.5,0,0.0706,0.043,10.55
25.0,525.0,28.5,0,0.0254,0.006,10.639
25.0,525.0,29.5,0,0.043,0.044,10.684
25.0,575.0,0.5,0,0.0923,0.117,10.313
25.0,575.0,1.5,0,0.0133,0.003,10.233
25.0,575.0,2.5,0,0.062,0.025,10.087
25.0,575.0,3.5,0,0.0755,0.044,9.907
25.0,575.0,4.5,0,0.085,0.033,9.735
25.0,575.0,5.5,1,0.2926,1254.734,9.62
25.0,575.0,6.5,1,0.288,2852.552,9.596
25.0,575.0,7.5,2,0.1469,1.942,9.67
25.0,575.0,8.5,0,0.0285,0.005,9.815
25.0,575.0,9.5,0,0.0607,0.061,9.98
25.0,575.0,10.5,0,0.0499,0.071,10.113
25.0,575.0,11.5,0,0.0353,0.01,10.176
25.0,575.0,12.5,0,0.0536,0.017,10.156
25.0,575.0,13.5,0,0.0904,0.275,10.064
25.0,575.0,14.5,0,0.078,0.055,9.928
25.0,575.0,15.5,2,0.2028,16.81,9.777
25.0,575.0,16.5,0,0.0994,0.057,9.636
25.0,575.0,17.5,0,0.0784,0.125,9.526
25.0,575.0,18.5,3,0.1977,83.755,9.458
25.0,575.0,19.5,3,0.1623,12.337,9.441
25.0,575.0,20.5,0,0.0783,0.067,9.478
25.0,575.0,21.5,0,0.0988,0.036,9.569
25.0,575.0,22.5,2,0.2093,38.98,9.708
25.0,575.0,23.5,0,0.0629,0.027,9.881
25.0,575.0,24.5,0,0.0926,0.048,10.074
25.0,575.0,25.5,0,0.0823,0.05,10.266
25.0,575.0,26.5,0,0.0492,0.021,10.441
25.0,575.0,27.5,0,0.0466,0.023,10.583
25.0,575.0,28.5,0,0.0222,0.003,10.683
25.0,575.0,29.5,0,0.0236,0.004,10.734
25.0,625.0,0.5,0,0.0718,0.094,10.354
25.0,625.0,1.5,0,0.0338,0.005,10.278
25.0,625.0,2.5,0,0.0629,0.026,10.139
25.0,625.0,3.5,0,0.0755,0.11,9.964
25.0,625.0,4.5,0,0.0914,0.082,9.792
25.0,625.0,5.5,1,0.295,2824.352,9.67
25.0,625.0,6.5,1,0.2822,741.865,9.631
25.0,625.0,7.5,2,0.1571,2.021,9.684
25.0,625.0,8.5,0,0.0457,0.01,9.806
25.0,625.0,9.5,0,0.07,0.012,9.953
25.0,625.0,10.5,0,0.0626,0.041,10.073
25.0,625.0,11.5,0,0.0462,0.008,10.13
25.0,625.0,12.5,0,0.0508,0.015,10.111
25.0,625.0,13.5,0,0.0814,0.036,10.027
25.0,625.0,14.5,0,0.11,0.292,9.904
25.0,625.0,15.5,2,0.2167,13.394,9.77
25.0,625.0,16.5,0,0.1051,0.156,9.651
25.0,625.0,17.5,0,0.1034,0.168,9.559
25.0,625.0,18.5,0,0.061,0.014,9.503
25.0,625.0,19.5,2,0.1593,2.201,9.488
25.0,625.0,20.5,0,0.0803,0.081,9.52
25.0,625.0,21.5,0,0.1053,0.104,9.6
25.0,625.0,22.5,2,0.217,31.365,9.728
25.0,625.0,23.5,0,0.0649,0.016,9.896
25.0,625.0,24.5,0,0.0893,0.049,10.088
25.0,625.0,25.5,0,0.0688,0.034,10.283
25.0,625.0,26.5,0,0.0557,0.032,10.463
25.0,625.0,27.5,0,0.0476,0.008,10.61
25.0,625.0,28.5,0,0.0352,0.017,10.713
25.0,625.0,29.5,0,0.01,0.006,10.766
25.0,675.0,0.5,0,0.0805,0.016,10.347
25.0,675.0,1.5,0,0.0435,0.006,10.285
25.0,675.0,2.5,0,0.0777,0.034,10.169
25.0,675.0,3.5,0,0.067,0.069,10.018
25.0,675.0,4.5,0,0.0926,0.07,9.865
25.0,675.0,5.5,0,0.1087,0.103,9.747
25.0,675.0,6.5,1,0.2766,767.18,9.695
25.0,675.0,7.5,2,0.1479,2.596,9.723
25.0,675.0,8.5,0,0.0463,0.026,9.815
25.0,675.0,9.5,0,0.0666,0.015,9.936
25.0,675.0,10.5,0,0.0684,0.039,10.039
25.0,675.0,11.5,0,0.0588,0.038,10.089
25.0,675.0,12.5,0,0.0281,0.011,10.07
25.0,675.0,13.5,0,0.0957,0.053,9.989
25.0,675.0,14.5,0,0.1031,0.065,9.869
25.0,675.0,15.5,2,0.2351,44.977,9.738
25.0,675.0,16.5,0,0.1004,0.059,9.621
25.0,675.0,17.5,0,0.0841,0.091,9.532
25.0,675.0,18.5,0,0.0673,0.038,9.481
25.0,675.0,19.5,2,0.1919,10.388,9.474
25.0,675.0,20.5,0,0.0876,0.135,9.515
25.0,675.0,21.5,0,0.0939,0.044,9.607
25.0,675.0,22.5,2,0.2304,74.595,9.748
25.0,675.0,23.5,0,0.0812,0.051,9.926
25.0,675.0,24.5,0,0.0745,0.04,10.124
25.0,675.0,25.5,0,0.0493,0.02,10.321
25.0,675.0,26.5,0,0.0388,0.012,10.498
25.0,675.0,27.5,0,0.0549,0.024,10.639
25.0,675.0,28.5,0,0.031,0.009,10.737
25.0,675.0,29.5,0,0.028,0.002,10.786
25.0,725.0,0.5,0,0.0624,0.041,10.333
25.0,725.0,1.5,0,0.0506,0.009,10.28
25.0,725.0,2.5,0,0.0672,0.058,10.179
25.0,725.0,3.5,0,0.0716,0.048,10.045
25.0,725.0,4.5,0,0.0877,0.049,9.905
25.0,725.0,5.5,0,0.1093,0.258,9.79
25.0,725.0,6.5,2,0.1614,3.725,9.73
25.0,725.0,7.5,2,0.1845,11.607,9.739
25.0,725.0,8.5,2,0.1496,2.769,9.808
25.0,725.0,9.5,0,0.0656,0.045,9.908
25.0,725.0,10.5,0,0.0799,0.07,9.994
25.0,725.0,11.5,0,0.0583,0.023,10.029
25.0,725.0,12.5,0,0.0218,0.005,9.992
25.0,725.0,13.5,0,0.1008,0.096,9.885
25.0,725.0,14.5,0,0.0934,0.13,9.73
25.0,725.0,15.5,2,0.2483,428.597,9.56
25.0,725.0,16.5,0,0.0937,0.208,9.408
25.0,725.0,17.5,0,0.0826,0.033,9.301
25.0,725.0,18.5,1,0.236,79.735,9.257
25.0,725.0,19.5,1,0.2655,945.245,9.284
25.0,725.0,20.5,0,0.0997,0.12,9.38
25.0,725.0,21.5,0,0.1041,0.173,9.534
25.0,725.0,22.5,2,0.2352,113.87,9.729
25.0,725.0,23.5,0,0.0569,0.024,9.947
25.0,725.0,24.5,0,0.0699,0.083,10.166
25.0,725.0,25.5,0,0.0535,0.048,10.368
25.0,725.0,26.5,0,0.031,0.009,10.538
25.0,725.0,27.5,0,0.0365,0.04,10.668
25.0,725.0,28.5,0,0.0492,0.013,10.755
25.0,725.0,29.5,0,0.0281,0.014,10.799
25.0,775.0,0.5,0,0.058,0.02,10.335
25.0,775.0,1.5,0,0.0539,0.031,10.284
25.0,775.0,2.5,0,0.0687,0.031,10.188
25.0,775.0,3.5,0,0.0651,0.029,10.061
25.0,775.0,4.5,0,0.0956,0.157,9.926
25.0,775.0,5.5,0,0.1057,0.123,9.813
25.0,775.0,6.5,2,0.1778,9.923,9.749
25.0,775.0,7.5,2,0.1882,5.919,9.749
25.0,775.0,8.5,2,0.17,7.135,9.807
25.0,775.0,9.5,0,0.0598,0.034,9.892
25.0,775.0,10.5,0,0.065,0.045,9.963
25.0,775.0,11.5,0,0.0761,0.027,9.979
25.0,775.0,12.5,0,0.0295,0.01,9.916
25.0,775.0,13.5,0,0.0842,0.14,9.771
25.0,775.0,14.5,0,0.0813,0.061,9.569
25.0,775.0,15.5,2,0.2407,47.042,9.348
25.0,775.0,16.5,1,0.26,1034.718,9.156
25.0,775.0,17.5,1,0.2466,321.389,9.033
25.0,775.0,18.5,1,0.2614,259.763,9.008
25.0,775.0,19.5,1,0.269,307.536,9.087
25.0,775.0,20.5,0,0.0805,0.088,9.255
25.0,775.0,21.5,0,0.0924,0.044,9.484
25.0,775.0,22.5,2,0.205,16.096,9.74
25.0,775.0,23.5,0,0.0675,0.014,9.994
25.0,775.0,24.5,0,0.0772,0.025,10.222
25.0,775.0,25.5,0,0.0346,0.008,10.415
25.0,775.0,26.5,0,0.0444,0.03,10.566
25.0,775.0,27.5,0,0.0506,0.007,10.676
25.0,775.0,28.5,0,0.0385,0.021,10.747
25.0,775.0,29.5,0,0.0313,0.036,10.783
25.0,825.0,0.5,0,0.0481,0.016,10.342
25.0,825.0,1.5,0,0.0662,0.018,10.288
25.0,825.0,2.5,0,0.0723,0.038,10.186
25.0,825.0,3.5,0,0.0735,0.015,10.051
25.0,825.0,4.5,0,0.0822,0.057,9.908
25.0,825.0,5.5,0,0.0976,0.16,9.786
25.0,825.0,6.5,2,0.164,3.237,9.715
25.0,825.0,7.5,2,0.1983,40.73,9.711
25.0,825.0,8.5,2,0.1422,2.528,9.767
25.0,825.0,9.5,0,0.0523,0.02,9.854
25.0,825.0,10.5,0,0.0616,0.018,9.93
25.0,825.0,11.5,0,0.0754,0.057,9.952
25.0,825.0,12.5,0,0.0466,0.032,9.892
25.0,825.0,13.5,0,0.0794,0.032,9.746
25.0,825.0,14.5,0,0.0791,0.139,9.536
25.0,825.0,15.5,2,0.206,22.284,9.302
25.0,825.0,16.5,0,0.0416,0.021,9.099
25.0,825.0,17.5,1,0.2262,289.124,8.974
25.0,825.0,18.5,1,0.279,1262.838,8.963
25.0,825.0,19.5,1,0.2367,163.812,9.073
25.0,825.0,20.5,0,0.0812,0.08,9.281
25.0,825.0,21.5,0,0.0665,0.028,9.549
25.0,825.0,22.5,0,0.1122,0.136,9.831
25.0,825.0,23.5,0,0.0611,0.027,10.092
25.0,825.0,24.5,0,0.0623,0.047,10.31
25.0,825.0,25.5,0,0.0415,0.013,10.48
25.0,825.0,26.5,0,0.053,0.023,10.603
25.0,825.0,27.5,0,0.0465,0.022,10.688
25.0,825.0,28.5,0,0.0456,0.009,10.74
25.0,825.0,29.5,0,0.0221,0.006,10.765
25.0,875.0,0.5,0,0.0518,0.015,10.363
25.0,875.0,1.5,0,0.0535,0.053,10.303
25.0,875.0,2.5,0,0.0615,0.017,10.188
25.0,875.0,3.5,0,0.0781,0.05,10.035
25.0,875.0,4.5,0,0.083,0.063,9.87
25.0,875.0,5.5,0,0.0809,0.082,9.728
25.0,875.0,6.5,2,0.2097,28.688,9.641
