WELL,X,Y,Z,FACIES,POROSITY,PERM_MD,AI_SEISMIC
R03,775.0,3875.0,12.5,0,0.0405,0.015,10.193
R03,775.0,3875.0,13.5,0,0.0318,0.015,10.282
R03,775.0,3875.0,14.5,0,0.0573,0.014,10.257
R03,775.0,3875.0,15.5,0,0.0757,0.062,10.135
R03,775.0,3875.0,16.5,0,0.0559,0.029,9.947
R03,775.0,3875.0,17.5,0,0.0564,0.03,9.73
R03,775.0,3875.0,18.5,3,0.1792,7.765,9.527
R03,775.0,3875.0,19.5,3,0.2552,219.182,9.373
R03,775.0,3875.0,20.5,0,0.1154,0.176,9.294
R03,775.0,3875.0,21.5,0,0.0979,0.202,9.29
R03,775.0,3875.0,22.5,3,0.2643,335.651,9.346
R03,775.0,3875.0,23.5,0,0.0566,0.06,9.433
R03,775.0,3875.0,24.5,0,0.0567,0.01,9.521
R03,775.0,3875.0,25.5,0,0.0587,0.04,9.594
R03,775.0,3875.0,26.5,2,0.1509,1.104,9.644
R03,775.0,3875.0,27.5,0,0.0603,0.008,9.676
R03,775.0,3875.0,28.5,2,0.1599,1.766,9.695
R03,775.0,3875.0,29.5,2,0.1256,0.765,9.704
R04,1475.0,4275.0,0.5,0,0.0481,0.022,10.329
R04,1475.0,4275.0,1.5,0,0.0347,0.007,10.285
R04,1475.0,4275.0,2.5,0,0.0756,0.034,10.209
R04,1475.0,4275.0,3.5,0,0.0654,0.042,10.123
R04,1475.0,4275.0,4.5,2,0.1648,8.018,10.047
R04,1475.0,4275.0,5.5,0,0.0471,0.03,9.998
R04,1475.0,4275.0,6.5,0,0.0758,0.047,9.982
R04,1475.0,4275.0,7.5,2,0.1384,0.798,9.999
R04,1475.0,4275.0,8.5,0,0.0496,0.041,10.038
R04,1475.0,4275.0,9.5,0,0.0819,0.055,10.088
R04,1475.0,4275.0,10.5,0,0.1105,0.061,10.135
R04,1475.0,4275.0,11.5,0,0.098,0.108,10.164
R04,1475.0,4275.0,12.5,0,0.101,0.094,10.155
R04,1475.0,4275.0,13.5,0,0.0533,0.031,10.09
R04,1475.0,4275.0,14.5,0,0.0573,0.017,9.954
R04,1475.0,4275.0,15.5,0,0.0498,0.018,9.746
R04,1475.0,4275.0,16.5,0,0.0897,0.035,9.484
R04,1475.0,4275.0,17.5,0,0.0686,0.088,9.204
R04,1475.0,4275.0,18.5,1,0.261,392.805,8.949
R04,1475.0,4275.0,19.5,1,0.2905,1132.457,8.745
R04,1475.0,4275.0,20.5,1,0.2377,185.078,8.598
R04,1475.0,4275.0,21.5,0,0.0616,0.062,8.49
R04,1475.0,4275.0,22.5,1,0.2827,883.216,8.395
R04,1475.0,4275.0,23.5,1,0.2433,97.585,8.302
R04,1475.0,4275.0,24.5,1,0.2529,759.762,8.219
R04,1475.0,4275.0,25.5,1,0.3018,2124.003,8.167
R04,1475.0,4275.0,26.5,1,0.2592,412.483,8.163
R04,1475.0,4275.0,27.5,0,0.1069,0.258,8.204
R04,1475.0,4275.0,28.5,1,0.286,748.318,8.263
R04,1475.0,4275.0,29.5,0,0.0677,0.029,8.306
R05,1775.0,1475.0,0.5,0,0.0575,0.066,10.315
R05,1775.0,1475.0,1.5,0,0.045,0.018,10.241
R05,1775.0,1475.0,2.5,0,0.0835,0.027,10.098
R05,1775.0,1475.0,3.5,0,0.0392,0.007,9.894
R05,1775.0,1475.0,4.5,2,0.1138,1.039,9.645
R05,1775.0,1475.0,5.5,0,0.0629,0.015,9.371
R05,1775.0,1475.0,6.5,1,0.2471,347.084,9.099
R05,1775.0,1475.0,7.5,1,0.2493,371.303,8.857
R05,1775.0,1475.0,8.5,1,0.2357,297.778,8.673
R05,1775.0,1475.0,9.5,1,0.2393,245.676,8.568
R05,1775.0,1475.0,10.5,1,0.1964,64.122,8.554
R05,1775.0,1475.0,11.5,1,0.212,86.195,8.63
R05,1775.0,1475.0,12.5,1,0.2243,191.502,8.775
R05,1775.0,1475.0,13.5,1,0.2218,107.979,8.953
R05,1775.0,1475.0,14.5,0,0.061,0.021,9.115
R05,1775.0,1475.0,15.5,0,0.0522,0.009,9.21
R05,1775.0,1475.0,16.5,0,0.0395,0.019,9.206
R05,1775.0,1475.0,17.5,0,0.0651,0.013,9.096
R05,1775.0,1475.0,18.5,0,0.0626,0.024,8.9
R05,1775.0,1475.0,19.5,1,0.2355,358.795,8.662
R05,1775.0,1475.0,20.5,1,0.1898,54.696,8.431
R05,1775.0,1475.0,21.5,1,0.2397,772.555,8.258
R05,1775.0,1475.0,22.5,1,0.2468,264.724,8.178
R05,1775.0,1475.0,23.5,1,0.2957,1029.337,8.213
R05,1775.0,1475.0,24.5,1,0.2194,83.758,8.363
R05,1775.0,1475.0,25.5,0,0.0784,0.034,8.605
R05,1775.0,1475.0,26.5,2,0.1942,14.994,8.9
R05,1775.0,1475.0,27.5,0,0.0606,0.019,9.194
R05,1775.0,1475.0,28.5,0,0.0417,0.01,9.43
R05,1775.0,1475.0,29.5,0,0.0125,0.007,9.562
R06,2375.0,2525.0,0.5,0,0.0683,0.087,10.4
R06,2375.0,2525.0,1.5,0,0.0522,0.007,10.332
R06,2375.0,2525.0,2.5,0,0.0296,0.004,10.2
R06,2375.0,2525.0,3.5,0,0.0432,0.01,10.012
R06,2375.0,2525.0,4.5,0,0.0583,0.032,9.791
R06,2375.0,2525.0,5.5,0,0.0809,0.024,9.567
R06,2375.0,2525.0,6.5,2,0.201,26.497,9.372
R06,2375.0,2525.0,7.5,2,0.1678,5.767,9.222
R06,2375.0,2525.0,8.5,2,0.1552,1.276,9.115
R06,2375.0,2525.0,9.5,0,0.0469,0.009,9.029
R06,2375.0,2525.0,10.5,0,0.056,0.018,8.936
R06,2375.0,2525.0,11.5,1,0.246,276.744,8.822
R06,2375.0,2525.0,12.5,1,0.2455,228.732,8.686
R06,2375.0,2525.0,13.5,1,0.2281,145.245,8.545
R06,2375.0,2525.0,14.5,1,0.215,47.666,8.428
R06,2375.0,2525.0,15.5,1,0.187,14.909,8.364
R06,2375.0,2525.0,16.5,1,0.2041,129.935,8.378
R06,2375.0,2525.0,17.5,1,0.2356,96.65,8.486
R06,2375.0,2525.0,18.5,1,0.2317,172.666,8.688
R06,2375.0,2525.0,19.5,1,0.2362,146.03,8.967
R06,2375.0,2525.0,20.5,0,0.0716,0.017,9.292
R06,2375.0,2525.0,21.5,0,0.0641,0.033,9.623
R06,2375.0,2525.0,22.5,0,0.0814,0.029,9.928
R06,2375.0,2525.0,23.5,0,0.0717,0.034,10.182
R06,2375.0,2525.0,24.5,0,0.0663,0.01,10.376
R06,2375.0,2525.0,25.5,0,0.0607,0.029,10.512
R06,2375.0,2525.0,26.5,0,0.0385,0.022,10.598
R06,2375.0,2525.0,27.5,0,0.0416,0.022,10.644
R06,2375.0,2525.0,28.5,0,0.0354,0.01,10.665
R06,2375.0,2525.0,29.5,0,0.0707,0.087,10.671
R07,2475.0,4025.0,0.5,0,0.0735,0.052,9.95
R07,2475.0,4025.0,1.5,0,0.0567,0.027,9.904
R07,2475.0,4025.0,2.5,0,0.0882,0.076,9.825
R07,2475.0,4025.0,3.5,3,0.1819,9.483,9.735
R07,2475.0,4025.0,4.5,3,0.1696,5.407,9.649
R07,2475.0,4025.0,5.5,0,0.0311,0.005,9.569
R07,2475.0,4025.0,6.5,0,0.0507,0.013,9.486
R07,2475.0,4025.0,7.5,2,0.1234,0.682,9.388
R07,2475.0,4025.0,8.5,2,0.123,2.119,9.273
R07,2475.0,4025.0,9.5,2,0.1314,0.921,9.148
R07,2475.0,4025.0,10.5,1,0.2081,111.759,9.034
R07,2475.0,4025.0,11.5,1,0.2174,63.185,8.953
R07,2475.0,4025.0,12.5,1,0.2469,158.098,8.918
R07,2475.0,4025.0,13.5,1,0.248,407.496,8.931
R07,2475.0,4025.0,14.5,0,0.0552,0.039,8.978
R07,2475.0,4025.0,15.5,0,0.0869,0.025,9.045
R07,2475.0,4025.0,16.5,0,0.0894,0.096,9.123
R07,2475.0,4025.0,17.5,0,0.0835,0.056,9.218
R07,2475.0,4025.0,18.5,0,0.0762,0.071,9.339
R07,2475.0,4025.0,19.5,2,0.196,5.383,9.49
R07,2475.0,4025.0,20.5,0,0.0802,0.037,9.663
R07,2475.0,4025.0,21.5,0,0.0561,0.009,9.831
R07,2475.0,4025.0,22.5,0,0.0649,0.037,9.966
R07,2475.0,4025.0,23.5,0,0.0605,0.04,10.045
R07,2475.0,4025.0,24.5,0,0.0683,0.021,10.061
R07,2475.0,4025.0,25.5,0,0.0424,0.01,10.024
R07,2475.0,4025.0,26.5,0,0.0654,0.023,9.954
R07,2475.0,4025.0,27.5,0,0.0443,0.009,9.875
R07,2475.0,4025.0,28.5,2,0.1767,9.026,9.81
R07,2475.0,4025.0,29.5,0,0.0669,0.021,9.774
R08,2525.0,4825.0,0.5,0,0.0521,0.018,9.919
R08,2525.0,4825.0,1.5,0,0.0806,0.025,9.83
R08,2525.0,4825.0,2.5,0,0.0442,0.017,9.672
R08,2525.0,4825.0,3.5,3,0.202,3.674,9.484
R08,2525.0,4825.0,4.5,3,0.1874,18.849,9.3
R08,2525.0,4825.0,5.5,0,0.0402,0.012,9.148
R08,2525.0,4825.0,6.5,2,0.1192,0.948,9.037
R08,2525.0,4825.0,7.5,2,0.1445,1.859,8.966
R08,2525.0,4825.0,8.5,0,0.0776,0.105,8.929
R08,2525.0,4825.0,9.5,0,0.0401,0.002,8.922
R08,2525.0,4825.0,10.5,1,0.2033,36.105,8.95
R08,2525.0,4825.0,11.5,1,0.2656,425.341,9.025
R08,2525.0,4825.0,12.5,0,0.0484,0.024,9.156
R08,2525.0,4825.0,13.5,1,0.2354,292.794,9.343
R08,2525.0,4825.0,14.5,0,0.0481,0.026,9.574
R08,2525.0,4825.0,15.5,0,0.0655,0.022,9.823
R08,2525.0,4825.0,16.5,0,0.0627,0.019,10.063
R08,2525.0,4825.0,17.5,0,0.0645,0.029,10.271
R08,2525.0,4825.0,18.5,0,0.0586,0.059,10.432
R08,2525.0,4825.0,19.5,0,0.0413,0.01,10.543
R08,2525.0,4825.0,20.5,0,0.03,0.011,10.61
R08,2525.0,4825.0,21.5,0,0.0654,0.074,10.642
R08,2525.0,4825.0,22.5,0,0.0625,0.014,10.652
R08,2525.0,4825.0,23.5,0,0.0573,0.027,10.648
R08,2525.0,4825.0,24.5,0,0.0455,0.015,10.638
R08,2525.0,4825.0,25.5,0,0.0498,0.009,10.623
R08,2525.0,4825.0,26.5,0,0.0435,0.011,10.604
R08,2525.0,4825.0,27.5,0,0.0456,0.019,10.584
R08,2525.0,4825.0,28.5,0,0.0395,0.018,10.567
R08,2525.0,4825.0,29.5,0,0.0788,0.051,10.556
R09,2875.0,2775.0,0.5,0,0.0482,0.013,10.102
R09,2875.0,2775.0,1.5,0,0.0643,0.084,9.979
R09,2875.0,2775.0,2.5,0,0.0783,0.051,9.752
R09,2875.0,2775.0,3.5,0,0.0704,0.038,9.458
R09,2875.0,2775.0,4.5,0,0.0664,0.036,9.15
R09,2875.0,2775.0,5.5,1,0.2685,976.071,8.888
R09,2875.0,2775.0,6.5,1,0.2785,698.089,8.723
R09,2875.0,2775.0,7.5,1,0.2781,940.163,8.677
R09,2875.0,2775.0,8.5,1,0.2861,3477.709,8.738
R09,2875.0,2775.0,9.5,0,0.061,0.102,8.861
R09,2875.0,2775.0,10.5,0,0.0554,0.018,8.99
R09,2875.0,2775.0,11.5,2,0.1255,0.638,9.076
R09,2875.0,2775.0,12.5,2,0.131,0.956,9.1
R09,2875.0,2775.0,13.5,0,0.0804,0.087,9.076
R09,2875.0,2775.0,14.5,0,0.0585,0.013,9.042
R09,2875.0,2775.0,15.5,1,0.2238,129.28,9.045
R09,2875.0,2775.0,16.5,1,0.2517,494.569,9.119
R09,2875.0,2775.0,17.5,1,0.2641,511.081,9.277
R09,2875.0,2775.0,18.5,0,0.1052,0.129,9.498
R09,2875.0,2775.0,19.5,0,0.0581,0.047,9.74
R09,2875.0,2775.0,20.5,0,0.0427,0.015,9.95
R09,2875.0,2775.0,21.5,0,0.0579,0.042,10.09
R09,2875.0,2775.0,22.5,0,0.0416,0.005,10.142
R09,2875.0,2775.0,23.5,0,0.0348,0.017,10.118
R09,2875.0,2775.0,24.5,0,0.0602,0.04,10.047
R09,2875.0,2775.0,25.5,2,0.1596,1.374,9.967
R09,2875.0,2775.0,26.5,2,0.1831,7.816,9.906
R09,2875.0,2775.0,27.5,0,0.0912,0.073,9.875
R09,2875.0,2775.0,28.5,0,0.0992,0.112,9.869
R09,2875.0,2775.0,29.5,0,0.0828,0.055,9.871
R10,2875.0,3775.0,0.5,0,0.0585,0.015,10.564
R10,2875.0,3775.0,1.5,0,0.0626,0.044,10.523
R10,2875.0,3775.0,2.5,0,0.0645,0.03,10.435
R10,2875.0,3775.0,3.5,0,0.0374,0.011,10.302
R10,2875.0,3775.0,4.5,0,0.023,0.016,10.129
R10,2875.0,3775.0,5.5,0,0.0418,0.014,9.935
R10,2875.0,3775.0,6.5,3,0.1928,4.865,9.748
R10,2875.0,3775.0,7.5,2,0.1956,26.293,9.591
R10,2875.0,3775.0,8.5,2,0.1292,3.843,9.478
R10,2875.0,3775.0,9.5,0,0.0681,0.058,9.406
R10,2875.0,3775.0,10.5,0,0.0663,0.019,9.364
R10,2875.0,3775.0,11.5,2,0.1936,8.158,9.338
R10,2875.0,3775.0,12.5,2,0.1597,6.225,9.317
R10,2875.0,3775.0,13.5,2,0.1414,0.677,9.288
R10,2875.0,3775.0,14.5,2,0.1466,2.571,9.236
R10,2875.0,3775.0,15.5,0,0.0612,0.031,9.145
R10,2875.0,3775.0,16.5,0,0.064,0.035,9.003
R10,2875.0,3775.0,17.5,0,0.064,0.016,8.815
R10,2875.0,3775.0,18.5,2,0.1515,3.567,8.6
R10,2875.0,3775.0,19.5,1,0.242,470.328,8.397
R10,2875.0,3775.0,20.5,1,0.2741,1768.832,8.254
R10,2875.0,3775.0,21.5,1,0.2764,657.848,8.215
R10,2875.0,3775.0,22.5,1,0.2753,2238.439,8.308
R10,2875.0,3775.0,23.5,1,0.2433,253.359,8.534
R10,2875.0,3775.0,24.5,1,0.2398,559.177,8.865
R10,2875.0,3775.0,25.5,0,0.0642,0.016,9.246
R10,2875.0,3775.0,26.5,0,0.0314,0.012,9.617
R10,2875.0,3775.0,27.5,0,0.029,0.039,9.925
R10,2875.0,3775.0,28.5,0,0.0846,0.061,10.14
R10,2875.0,3775.0,29.5,0,0.0674,0.075,10.249
R11,3375.0,4375.0,0.5,0,0.0323,0.011,10.263
R11,3375.0,4375.0,1.5,0,0.0279,0.011,10.155
R11,3375.0,4375.0,2.5,0,0.062,0.023,9.958
R11,3375.0,4375.0,3.5,1,0.2642,117.995,9.703
R11,3375.0,4375.0,4.5,1,0.2387,171.338,9.433
R11,3375.0,4375.0,5.5,1,0.2404,388.296,9.194
R11,3375.0,4375.0,6.5,1,0.2056,76.913,9.025
R11,3375.0,4375.0,7.5,1,0.1924,31.723,8.947
R11,3375.0,4375.0,8.5,2,0.1392,0.953,8.957
R11,3375.0,4375.0,9.5,2,0.1723,6.512,9.032
R11,3375.0,4375.0,10.5,0,0.0386,0.02,9.134
R11,3375.0,4375.0,11.5,0,0.0288,0.009,9.229
R11,3375.0,4375.0,12.5,0,0.0266,0.004,9.292
R11,3375.0,4375.0,13.5,0,0.0702,0.049,9.319
R11,3375.0,4375.0,14.5,0,0.0531,0.022,9.326
R11,3375.0,4375.0,15.5,0,0.0623,0.045,9.338
R11,3375.0,4375.0,16.5,1,0.21,64.798,9.385
R11,3375.0,4375.0,17.5,1,0.2274,60.878,9.479
R11,3375.0,4375.0,18.5,0,0.0652,0.023,9.612
R11,3375.0,4375.0,19.5,0,0.0563,0.025,9.756
R11,3375.0,4375.0,20.5,0,0.0402,0.016,9.875
R11,3375.0,4375.0,21.5,0,0.0519,0.014,9.94
R11,3375.0,4375.0,22.5,0,0.0703,0.084,9.946
R11,3375.0,4375.0,23.5,0,0.0606,0.024,9.905
R11,3375.0,4375.0,24.5,0,0.0712,0.012,9.844
R11,3375.0,4375.0,25.5,0,0.0348,0.01,9.79
R11,3375.0,4375.0,26.5,0,0.0391,0.011,9.757
R11,3375.0,4375.0,27.5,0,0.0309,0.007,9.747
R11,3375.0,4375.0,28.5,2,0.106,0.473,9.751
R11,3375.0,4375.0,29.5,2,0.0972,0.41,9.757
R12,3525.0,1325.0,0.5,0,0.0699,0.057,10.41
R12,3525.0,1325.0,1.5,0,0.0788,0.061,10.384
R12,3525.0,1325.0,2.5,0,0.0786,0.041,10.322
R12,3525.0,1325.0,3.5,0,0.084,0.034,10.212
R12,3525.0,1325.0,4.5,0,0.0529,0.013,10.036
R12,3525.0,1325.0,5.5,0,0.0756,0.039,9.786
R12,3525.0,1325.0,6.5,0,0.0583,0.022,9.469
R12,3525.0,1325.0,7.5,1,0.2006,14.086,9.109
R12,3525.0,1325.0,8.5,1,0.1854,37.242,8.749
R12,3525.0,1325.0,9.5,1,0.2434,214.85,8.435
R12,3525.0,1325.0,10.5,1,0.2932,3389.63,8.209
R12,3525.0,1325.0,11.5,1,0.2181,126.73,8.094
R12,3525.0,1325.0,12.5,1,0.2295,177.266,8.09
R12,3525.0,1325.0,13.5,1,0.2345,193.093,8.173
R12,3525.0,1325.0,14.5,1,0.2311,148.644,8.309
R12,3525.0,1325.0,15.5,0,0.0642,0.035,8.459
R12,3525.0,1325.0,16.5,0,0.0596,0.024,8.602
R12,3525.0,1325.0,17.5,0,0.0591,0.017,8.733
R12,3525.0,1325.0,18.5,2,0.1567,2.364,8.867
R12,3525.0,1325.0,19.5,2,0.1268,0.554,9.022
R12,3525.0,1325.0,20.5,0,0.041,0.015,9.21
R12,3525.0,1325.0,21.5,1,0.1982,48.415,9.42
R12,3525.0,1325.0,22.5,0,0.0766,0.039,9.629
R12,3525.0,1325.0,23.5,0,0.0638,0.056,9.801
R12,3525.0,1325.0,24.5,0,0.0621,0.02,9.913
R12,3525.0,1325.0,25.5,0,0.0527,0.036,9.955
R12,3525.0,1325.0,26.5,0,0.0557,0.011,9.938
R12,3525.0,1325.0,27.5,0,0.0394,0.006,9.887
R12,3525.0,1325.0,28.5,2,0.1166,0.838,9.831
R12,3525.0,1325.0,29.5,2,0.1929,11.137,9.795
R13,3925.0,3875.0,0.5,0,0.0534,0.016,10.249
R13,3925.0,3875.0,1.5,0,0.0654,0.015,10.144
R13,3925.0,3875.0,2.5,0,0.0513,0.014,9.95
R13,3925.0,3875.0,3.5,0,0.0527,0.021,9.697
R13,3925.0,3875.0,4.5,1,0.2683,709.781,9.433
R13,3925.0,3875.0,5.5,1,0.2468,149.023,9.213
R13,3925.0,3875.0,6.5,1,0.2778,870.651,9.076
R13,3925.0,3875.0,7.5,1,0.2134,195.163,9.039
R13,3925.0,3875.0,8.5,1,0.2048,96.812,9.078
R13,3925.0,3875.0,9.5,0,0.0435,0.01,9.147
R13,3925.0,3875.0,10.5,0,0.0621,0.015,9.193
R13,3925.0,3875.0,11.5,0,0.0602,0.029,9.188
R13,3925.0,3875.0,12.5,1,0.227,220.461,9.139
R13,3925.0,3875.0,13.5,1,0.2208,156.316,9.082
R13,3925.0,3875.0,14.5,1,0.2603,519.055,9.068
R13,3925.0,3875.0,15.5,1,0.2149,223.132,9.131
R13,3925.0,3875.0,16.5,1,0.1926,21.345,9.276
R13,3925.0,3875.0,17.5,0,0.0467,0.009,9.477
R13,3925.0,3875.0,18.5,0,0.055,0.011,9.692
R13,3925.0,3875.0,19.5,0,0.0157,0.006,9.877
R13,3925.0,3875.0,20.5,0,0.0624,0.018,10.006
R13,3925.0,3875.0,21.5,2,0.1808,3.243,10.067
R13,3925.0,3875.0,22.5,0,0.0533,0.008,10.065
R13,3925.0,3875.0,23.5,0,0.0458,0.014,10.013
R13,3925.0,3875.0,24.5,0,0.0437,0.023,9.929
R13,3925.0,3875.0,25.5,3,0.1811,5.952,9.834
R13,3925.0,3875.0,26.5,3,0.181,13.229,9.745
R13,3925.0,3875.0,27.5,0,0.0723,0.031,9.675
R13,3925.0,3875.0,28.5,2,0.1525,5.144,9.629
R13,3925.0,3875.0,29.5,2,0.14,3.353,9.607
R14,3975.0,1575.0,0.5,0,0.0787,0.047,10.436
R14,3975.0,1575.0,1.5,0,0.0625,0.018,10.411
R14,3975.0,1575.0,2.5,0,0.0264,0.006,10.354
R14,3975.0,1575.0,3.5,0,0.0698,0.026,10.257
R14,3975.0,1575.0,4.5,0,0.0995,0.072,10.112
R14,3975.0,1575.0,5.5,0,0.0702,0.025,9.915
R14,3975.0,1575.0,6.5,0,0.0725,0.007,9.674
R14,3975.0,1575.0,7.5,1,0.2423,476.04,9.411
R14,3975.0,1575.0,8.5,1,0.2054,130.909,9.158
R14,3975.0,1575.0,9.5,1,0.2202,300.909,8.956
R14,3975.0,1575.0,10.5,1,0.1957,21.737,8.84
R14,3975.0,1575.0,11.5,1,0.1917,138.652,8.832
R14,3975.0,1575.0,12.5,1,0.2423,177.383,8.934
R14,3975.0,1575.0,13.5,0,0.0649,0.052,9.131
R14,3975.0,1575.0,14.5,2,0.145,3.948,9.391
R14,3975.0,1575.0,15.5,2,0.1377,1.09,9.676
R14,3975.0,1575.0,16.5,0,0.0468,0.018,9.949
R14,3975.0,1575.0,17.5,0,0.0493,0.047,10.184
R14,3975.0,1575.0,18.5,0,0.0494,0.019,10.364
R14,3975.0,1575.0,19.5,0,0.0634,0.025,10.485
R14,3975.0,1575.0,20.5,0,0.0198,0.006,10.557
R14,3975.0,1575.0,21.5,0,0.0519,0.026,10.591
R14,3975.0,1575.0,22.5,0,0.0665,0.029,10.606
R14,3975.0,1575.0,23.5,0,0.0716,0.013,10.613
R14,3975.0,1575.0,24.5,0,0.0394,0.028,10.624
R14,3975.0,1575.0,25.5,0,0.0747,0.019,10.639
R14,3975.0,1575.0,26.5,0,0.0484,0.041,10.659
R14,3975.0,1575.0,27.5,0,0.0289,0.006,10.679
R14,3975.0,1575.0,28.5,0,0.0347,0.013,10.695
R14,3975.0,1575.0,29.5,0,0.0702,0.053,10.703
R15,4075.0,1225.0,0.5,0,0.0514,0.042,10.184
R15,4075.0,1225.0,1.5,0,0.0561,0.007,10.062
R15,4075.0,1225.0,2.5,0,0.0365,0.005,9.84
R15,4075.0,1225.0,3.5,0,0.0742,0.059,9.561
R15,4075.0,1225.0,4.5,0,0.1198,0.126,9.282
R15,4075.0,1225.0,5.5,1,0.2715,1576.866,9.069
R15,4075.0,1225.0,6.5,1,0.2179,69.962,8.969
R15,4075.0,1225.0,7.5,1,0.1997,16.736,9.005
R15,4075.0,1225.0,8.5,1,0.2332,526.581,9.161
R15,4075.0,1225.0,9.5,0,0.0542,0.014,9.397
R15,4075.0,1225.0,10.5,0,0.0596,0.021,9.656
R15,4075.0,1225.0,11.5,0,0.052,0.015,9.89
R15,4075.0,1225.0,12.5,0,0.0634,0.034,10.072
R15,4075.0,1225.0,13.5,0,0.0965,0.051,10.198
R15,4075.0,1225.0,14.5,0,0.0819,0.034,10.28
R15,4075.0,1225.0,15.5,0,0.1046,0.112,10.334
R15,4075.0,1225.0,16.5,0,0.0829,0.042,10.376
R15,4075.0,1225.0,17.5,0,0.0737,0.037,10.414
