WELL,MD,INCLINATION,AZIMUTH
WELL-02,930.0,7.82,327.45
WELL-02,960.0,10.08,327.36
WELL-02,990.0,12.18,327.2
WELL-02,1020.0,14.39,327.16
WELL-02,1050.0,16.58,327.56
WELL-02,1080.0,18.73,327.51
WELL-02,1110.0,20.89,327.96
WELL-02,1140.0,23.07,327.94
WELL-02,1170.0,25.22,327.89
WELL-02,1200.0,27.34,328.01
WELL-02,1230.0,29.52,328.03
WELL-02,1260.0,31.69,327.87
WELL-02,1290.0,33.92,327.94
WELL-02,1320.0,36.09,327.94
WELL-02,1350.0,38.26,327.38
WELL-02,1380.0,40.37,327.5
WELL-02,1410.0,42.58,327.87
WELL-02,1440.0,44.14,327.92
WELL-02,1470.0,44.12,328.34
WELL-02,1500.0,44.16,328.63
WELL-02,1530.0,44.14,328.78
WELL-02,1560.0,44.15,328.93
WELL-02,1590.0,44.06,328.59
WELL-02,1620.0,44.05,328.49
WELL-02,1650.0,44.11,328.57
WELL-02,1680.0,44.13,328.57
WELL-02,1710.0,44.18,328.58
WELL-02,1740.0,44.2,328.87
WELL-02,1770.0,44.2,328.39
WELL-02,1800.0,44.19,328.48
WELL-02,1830.0,44.21,327.81
WELL-02,1860.0,44.18,328.39
WELL-02,1890.0,44.12,327.44
WELL-02,1920.0,44.04,327.56
WELL-02,1950.0,44.05,328.01
WELL-02,1980.0,44.08,328.13
WELL-02,2010.0,44.18,328.32
WELL-02,2040.0,44.17,328.68
WELL-02,2070.0,44.14,328.46
WELL-02,2100.0,44.15,328.66
WELL-02,2130.0,44.15,328.74
WELL-02,2160.0,44.16,328.56
WELL-02,2190.0,44.05,328.66
WELL-02,2220.0,44.04,328.6
WELL-02,2250.0,44.03,328.71
WELL-02,2280.0,44.05,328.89
WELL-02,2310.0,44.09,328.73
WELL-02,2340.0,44.05,328.68
WELL-02,2370.0,44.03,328.72
WELL-02,2400.0,44.15,328.94
WELL-02,2430.0,44.11,328.8
WELL-02,2460.0,44.16,328.35
WELL-02,2490.0,44.21,328.26
WELL-02,2520.0,44.16,328.35
WELL-02,2550.0,44.12,328.1
WELL-02,2580.0,44.12,327.9
WELL-02,2610.0,44.04,327.6
WELL-02,2640.0,44.06,327.72
WELL-02,2670.0,44.12,327.98
WELL-02,2700.0,44.13,328.05
WELL-02,2730.0,44.12,328.0
WELL-02,2760.0,44.12,327.71
WELL-02,2790.0,44.1,327.86
WELL-02,2820.0,44.14,327.6
WELL-02,2850.0,44.2,327.33
WELL-02,2880.0,44.2,327.34
WELL-02,2910.0,44.24,327.56
WELL-02,2940.0,44.2,327.01
WELL-02,2970.0,44.17,326.95
WELL-02,3000.0,44.18,327.32
WELL-02,3030.0,44.23,327.38
WELL-02,3060.0,44.2,327.69
WELL-02,3090.0,44.18,327.21
WELL-02,3120.0,44.22,327.25
WELL-02,3150.0,44.2,327.03
WELL-02,3180.0,44.32,326.73
WELL-02,3210.0,44.31,326.56
WELL-02,3240.0,44.22,326.13
WELL-02,3270.0,44.26,325.75
WELL-02,3300.0,44.28,325.22
WELL-02,3330.0,44.3,325.4
WELL-02,3360.0,44.25,325.15
WELL-02,3390.0,44.26,325.5
WELL-02,3420.0,44.24,325.62
WELL-02,3450.0,44.27,325.4
WELL-02,3480.0,44.29,326.11
WELL-02,3510.0,44.28,326.17
WELL-02,3540.0,44.22,326.14
WELL-02,3570.0,44.24,325.72
WELL-02,3600.0,44.32,325.67
WELL-02,3630.0,44.27,326.31
WELL-03,0.0,0.05,78.79
WELL-03,30.0,0.03,78.93
WELL-03,60.0,0.07,78.76
WELL-03,90.0,0.07,78.7
WELL-03,120.0,0.11,78.22
WELL-03,150.0,0.2,78.84
WELL-03,180.0,0.18,79.07
WELL-03,210.0,0.11,79.24
WELL-03,240.0,0.02,79.71
WELL-03,270.0,0.02,79.98
WELL-03,300.0,0.02,79.76
WELL-03,330.0,0.04,79.81
WELL-03,360.0,0.05,79.58
WELL-03,390.0,0.06,79.93
WELL-03,420.0,0.01,80.34
WELL-03,450.0,0.0,80.73
WELL-03,480.0,0.01,80.9
WELL-03,510.0,0.09,81.31
WELL-03,540.0,0.04,80.79
WELL-03,570.0,0.1,81.16
WELL-03,600.0,0.01,80.98
WELL-03,630.0,0.04,80.53
WELL-03,660.0,0.01,80.28
WELL-03,690.0,0.0,80.11
WELL-03,720.0,0.03,80.41
WELL-03,750.0,0.13,80.61
WELL-03,780.0,0.15,80.75
WELL-03,810.0,0.15,81.12
WELL-03,840.0,0.13,81.24
WELL-03,870.0,0.14,81.58
WELL-03,900.0,0.1,81.37
WELL-03,930.0,0.1,81.21
WELL-03,960.0,0.14,81.67
WELL-03,990.0,0.1,82.08
WELL-03,1020.0,0.05,81.79
WELL-03,1050.0,0.01,81.46
WELL-03,1080.0,0.03,81.9
WELL-03,1110.0,0.02,82.36
WELL-03,1140.0,0.04,82.05
WELL-03,1170.0,0.03,82.09
WELL-03,1200.0,0.15,82.45
WELL-03,1230.0,0.15,82.43
WELL-03,1260.0,1.88,82.91
WELL-03,1290.0,4.53,83.34
WELL-03,1320.0,7.09,83.02
WELL-03,1350.0,9.73,82.45
WELL-03,1380.0,12.2,82.18
WELL-03,1410.0,14.81,82.28
WELL-03,1440.0,17.38,81.96
WELL-03,1470.0,19.89,82.27
WELL-03,1500.0,22.39,82.11
WELL-03,1530.0,24.95,81.95
WELL-03,1560.0,27.58,81.82
WELL-03,1590.0,30.09,82.11
WELL-03,1620.0,32.72,82.38
WELL-03,1650.0,35.23,82.07
WELL-03,1680.0,37.82,81.97
WELL-03,1710.0,40.49,81.92
WELL-03,1740.0,40.75,82.01
WELL-03,1770.0,40.76,81.83
WELL-03,1800.0,40.75,82.4
WELL-03,1830.0,40.74,81.98
WELL-03,1860.0,40.75,81.86
WELL-03,1890.0,40.78,81.86
WELL-03,1920.0,40.77,81.57
WELL-03,1950.0,40.74,82.36
WELL-03,1980.0,40.77,82.44
WELL-03,2010.0,40.78,82.79
WELL-03,2040.0,40.73,82.87
WELL-03,2070.0,40.68,82.56
WELL-03,2100.0,40.6,82.55
WELL-03,2130.0,40.62,82.43
WELL-03,2160.0,40.62,82.45
WELL-03,2190.0,40.6,82.57
WELL-03,2220.0,40.66,82.38
WELL-03,2250.0,40.73,82.29
WELL-03,2280.0,40.7,82.5
WELL-03,2310.0,40.8,82.83
WELL-03,2340.0,40.79,82.97
WELL-03,2370.0,40.89,83.27
WELL-03,2400.0,40.94,83.54
WELL-03,2430.0,41.01,83.28
WELL-03,2460.0,41.05,83.4
WELL-03,2490.0,40.99,83.26
WELL-03,2520.0,40.93,83.15
WELL-03,2550.0,40.91,83.31
WELL-03,2580.0,40.96,83.27
WELL-03,2610.0,41.02,83.27
WELL-03,2640.0,41.09,83.36
WELL-03,2670.0,41.0,83.44
WELL-03,2700.0,41.07,83.32
WELL-03,2730.0,41.18,82.95
WELL-03,2760.0,41.2,82.83
WELL-03,2790.0,41.18,82.73
WELL-03,2820.0,41.2,82.95
WELL-03,2850.0,41.19,83.13
WELL-03,2880.0,41.09,83.28
WELL-03,2910.0,41.12,83.36
WELL-03,2940.0,41.13,83.57
WELL-03,2970.0,41.11,83.81
WELL-03,3000.0,41.13,83.75
WELL-03,3030.0,41.0,84.09
WELL-03,3060.0,40.92,83.88
WELL-03,3090.0,40.96,83.4
WELL-03,3120.0,40.85,83.28
WELL-04,0.0,0.07,249.29
WELL-04,30.0,0.05,248.83
WELL-04,60.0,0.07,248.92
WELL-04,90.0,0.08,248.92
WELL-04,120.0,0.11,249.01
WELL-04,150.0,0.09,248.85
WELL-04,180.0,0.05,249.37
WELL-04,210.0,0.04,249.69
WELL-04,240.0,0.0,249.49
WELL-04,270.0,0.05,249.69
WELL-04,300.0,0.12,250.15
WELL-04,330.0,0.07,250.02
WELL-04,360.0,0.08,249.99
WELL-04,390.0,0.19,250.16
WELL-04,420.0,0.21,249.58
WELL-04,450.0,0.22,249.68
WELL-04,480.0,0.21,249.53
WELL-04,510.0,0.24,249.12
WELL-04,540.0,0.23,249.3
WELL-04,570.0,0.23,249.16
WELL-04,600.0,0.19,248.66
WELL-04,630.0,0.23,248.87
WELL-04,660.0,0.31,249.26
WELL-04,690.0,0.31,249.46
WELL-04,720.0,0.33,249.87
WELL-04,750.0,0.4,249.54
WELL-04,780.0,0.36,249.48
WELL-04,810.0,0.34,249.75
WELL-04,840.0,0.27,249.39
WELL-04,870.0,0.29,249.44
WELL-04,900.0,0.27,249.7
WELL-04,930.0,0.32,249.82
WELL-04,960.0,0.24,249.52
WELL-04,990.0,0.24,250.04
WELL-04,1020.0,0.17,249.96
WELL-04,1050.0,0.08,250.34
WELL-04,1080.0,0.09,250.91
WELL-04,1110.0,0.01,250.74
WELL-04,1140.0,0.04,250.84
WELL-04,1170.0,0.04,251.12
WELL-04,1200.0,0.01,251.25
WELL-04,1230.0,0.04,251.18
WELL-04,1260.0,0.03,251.61
WELL-04,1290.0,0.02,251.57
WELL-04,1320.0,0.0,251.27
WELL-04,1350.0,0.03,251.44
WELL-04,1380.0,0.03,251.08
WELL-04,1410.0,0.08,251.32
WELL-04,1440.0,0.08,251.42
WELL-04,1470.0,0.09,251.41
WELL-04,1500.0,0.04,251.32
WELL-04,1530.0,0.0,251.69
WELL-04,1560.0,0.06,251.87
WELL-04,1590.0,0.03,251.72
WELL-04,1620.0,0.0,251.65
WELL-04,1650.0,0.0,251.34
WELL-04,1680.0,0.08,251.54
WELL-04,1710.0,0.05,252.48
WELL-04,1740.0,0.12,252.72
WELL-04,1770.0,0.02,252.41
WELL-04,1800.0,0.0,252.4
WELL-04,1830.0,0.02,252.4
WELL-04,1860.0,0.02,252.97
WELL-04,1890.0,0.11,253.38
WELL-04,1920.0,0.04,253.6
WELL-04,1950.0,0.05,253.16
WELL-04,1980.0,0.11,253.42
WELL-04,2010.0,0.21,253.44
WELL-04,2040.0,0.27,253.75
WELL-04,2070.0,0.34,253.51
WELL-04,2100.0,0.4,253.44
WELL-04,2130.0,0.35,252.98
WELL-04,2160.0,0.45,253.06
WELL-04,2190.0,0.53,253.23
WELL-04,2220.0,0.65,253.23
WELL-04,2250.0,0.73,253.73
WELL-04,2280.0,0.67,253.62
WELL-04,2310.0,0.62,253.48
WELL-04,2340.0,0.62,253.33
WELL-04,2370.0,0.62,252.74
WELL-04,2400.0,0.65,253.34
WELL-04,2430.0,0.71,253.5
WELL-04,2460.0,0.71,253.43
WELL-04,2490.0,0.76,253.18
WELL-04,2520.0,0.79,253.19
WELL-04,2550.0,0.71,253.42
WELL-04,2580.0,0.72,253.16
WELL-04,2610.0,0.6,252.61
WELL-04,2640.0,0.58,252.72
WELL-04,2670.0,0.62,252.7
WELL-04,2700.0,0.61,252.85
WELL-04,2730.0,0.53,252.93
WELL-04,2760.0,0.55,252.9
WELL-04,2790.0,0.56,252.74
WELL-04,2820.0,0.57,252.63
WELL-04,2850.0,0.56,253.26
WELL-04,2880.0,0.57,253.12
WELL-05,0.0,0.04,294.01
WELL-05,30.0,0.03,293.73
WELL-05,60.0,0.03,293.66
WELL-05,90.0,0.02,293.92
WELL-05,120.0,0.04,293.99
WELL-05,150.0,0.03,294.54
WELL-05,180.0,0.05,294.47
WELL-05,210.0,0.04,294.14
WELL-05,240.0,0.05,294.23
WELL-05,270.0,0.1,293.72
WELL-05,300.0,0.16,293.88
WELL-05,330.0,0.13,293.23
WELL-05,360.0,0.18,293.48
WELL-05,390.0,0.14,293.61
WELL-05,420.0,0.14,293.56
WELL-05,450.0,0.13,293.57
WELL-05,480.0,0.14,293.68
WELL-05,510.0,0.17,294.05
WELL-05,540.0,0.13,293.97
WELL-05,570.0,0.12,293.89
WELL-05,600.0,0.13,293.56
WELL-05,630.0,0.05,293.54
WELL-05,660.0,0.1,293.3
WELL-05,690.0,0.13,293.53
WELL-05,720.0,0.13,294.16
WELL-05,750.0,0.22,293.97
WELL-05,780.0,0.29,293.88
WELL-05,810.0,0.36,293.94
WELL-05,840.0,0.32,294.11
WELL-05,870.0,0.31,293.72
WELL-05,900.0,0.31,293.78
WELL-05,930.0,0.35,294.25
WELL-05,960.0,0.43,293.86
WELL-05,990.0,0.45,293.79
WELL-05,1020.0,0.47,293.84
WELL-05,1050.0,0.49,293.41
WELL-05,1080.0,0.51,293.15
WELL-05,1110.0,0.54,293.67
WELL-05,1140.0,0.54,293.64
WELL-05,1170.0,0.58,293.38
WELL-05,1200.0,1.94,293.39
WELL-05,1230.0,3.97,293.55
WELL-05,1260.0,6.04,294.1
WELL-05,1290.0,8.16,294.78
WELL-05,1320.0,10.19,294.72
WELL-05,1350.0,12.31,294.24
WELL-05,1380.0,14.35,294.39
WELL-05,1410.0,16.39,294.9
WELL-05,1440.0,18.45,295.16
WELL-05,1470.0,20.51,295.06
WELL-05,1500.0,22.61,295.6
WELL-05,1530.0,24.78,295.39
WELL-05,1560.0,26.84,295.2
WELL-05,1590.0,28.97,295.21
WELL-05,1620.0,31.08,295.07
WELL-05,1650.0,33.15,294.53
WELL-05,1680.0,35.24,294.66
WELL-05,1710.0,37.33,295.17
WELL-05,1740.0,39.29,294.87
WELL-05,1770.0,41.39,294.85
WELL-05,1800.0,43.33,294.67
WELL-05,1830.0,43.28,294.13
WELL-05,1860.0,43.31,293.95
WELL-05,1890.0,43.24,294.43
WELL-05,1920.0,43.25,295.16
WELL-05,1950.0,43.17,294.98
WELL-05,1980.0,43.24,294.97
WELL-05,2010.0,43.19,294.98
WELL-05,2040.0,43.16,294.73
WELL-05,2070.0,43.14,294.71
WELL-05,2100.0,41.79,294.77
WELL-05,2130.0,39.81,294.88
WELL-05,2160.0,37.77,294.99
WELL-05,2190.0,35.75,294.86
WELL-05,2220.0,33.81,294.85
WELL-05,2250.0,31.8,294.99
WELL-05,2280.0,29.82,295.53
WELL-05,2310.0,27.88,296.34
WELL-05,2340.0,25.8,296.58
WELL-05,2370.0,23.78,296.51
WELL-05,2400.0,21.76,296.54
WELL-05,2430.0,19.79,296.64
WELL-05,2460.0,17.8,296.45
WELL-05,2490.0,15.75,296.69
WELL-05,2520.0,13.82,296.44
WELL-05,2550.0,11.88,296.06
WELL-05,2580.0,9.94,296.2
WELL-05,2610.0,7.98,296.26
WELL-05,2640.0,5.92,296.47
WELL-05,2670.0,5.59,295.84
WELL-05,2700.0,5.58,295.62
WELL-05,2730.0,5.61,295.3
WELL-05,2760.0,5.58,295.65
WELL-05,2790.0,5.47,295.86
WELL-05,2820.0,5.46,295.89
WELL-05,2850.0,5.53,296.47
WELL-05,2880.0,5.51,295.84
WELL-05,2910.0,5.53,296.2
WELL-05,2940.0,5.66,296.05
WELL-05,2970.0,5.65,296.34
WELL-05,3000.0,5.69,296.13
WELL-05,3030.0,5.63,296.43
WELL-05,3060.0,5.55,296.14
WELL-05,3090.0,5.54,295.65
WELL-06,0.0,0.03,99.9
WELL-06,30.0,0.02,99.59
WELL-06,60.0,0.04,99.56
WELL-06,90.0,0.12,99.88
WELL-06,120.0,0.12,99.97
WELL-06,150.0,0.01,100.05
WELL-06,180.0,0.02,99.65
WELL-06,210.0,0.01,99.56
WELL-06,240.0,0.1,100.21
WELL-06,270.0,0.14,100.3
WELL-06,300.0,0.23,99.63
WELL-06,330.0,0.25,99.27
WELL-06,360.0,0.29,99.21
WELL-06,390.0,0.31,98.89
WELL-06,420.0,0.27,98.47
WELL-06,450.0,0.22,97.86
WELL-06,480.0,0.24,97.84
WELL-06,510.0,0.23,97.8
WELL-06,540.0,0.16,98.17
WELL-06,570.0,0.18,97.74
WELL-06,600.0,0.22,97.7
WELL-06,630.0,0.22,97.3
WELL-06,660.0,0.18,97.32
WELL-06,690.0,0.21,97.14
WELL-06,720.0,0.25,96.94
WELL-06,750.0,0.29,97.31
WELL-06,780.0,0.26,97.32
WELL-06,810.0,0.28,97.4
WELL-06,840.0,0.28,97.81
WELL-06,870.0,0.38,98.29
WELL-06,900.0,0.34,98.41
WELL-06,930.0,0.27,98.18
WELL-06,960.0,0.27,98.18
WELL-06,990.0,0.28,98.6
WELL-06,1020.0,0.22,99.29
WELL-06,1050.0,0.18,99.39
WELL-06,1080.0,0.25,99.55
WELL-06,1110.0,0.31,99.63
WELL-06,1140.0,0.27,99.2
WELL-06,1170.0,0.29,99.32
WELL-06,1200.0,0.35,99.72
WELL-06,1230.0,0.43,99.83
WELL-06,1260.0,0.47,100.07
WELL-06,1290.0,0.52,99.97
WELL-06,1320.0,0.57,100.21
WELL-06,1350.0,0.51,99.97
WELL-06,1380.0,0.51,99.82
WELL-06,1410.0,0.5,99.57
WELL-06,1440.0,0.4,99.2
WELL-06,1470.0,0.41,99.4
WELL-06,1500.0,0.41,99.21
WELL-06,1530.0,0.47,99.24
WELL-06,1560.0,0.49,99.1
WELL-06,1590.0,0.5,98.65
WELL-06,1620.0,0.46,98.24
WELL-06,1650.0,0.34,98.12
WELL-06,1680.0,0.33,98.25
WELL-06,1710.0,0.31,98.4
WELL-06,1740.0,0.35,98.35
WELL-06,1770.0,0.32,98.17
WELL-06,1800.0,0.26,97.71
WELL-06,1830.0,0.24,97.64
WELL-06,1860.0,0.25,97.72
WELL-06,1890.0,0.22,97.5
WELL-06,1920.0,0.13,97.87
WELL-06,1950.0,0.17,97.84
WELL-06,1980.0,0.17,98.04
WELL-06,2010.0,0.17,98.17
WELL-06,2040.0,0.2,97.97
WELL-06,2070.0,0.13,97.96
WELL-06,2100.0,0.17,97.44
WELL-06,2130.0,0.16,97.88
WELL-06,2160.0,0.26,97.86
WELL-06,2190.0,0.31,98.2
WELL-06,2220.0,0.38,97.99
WELL-06,2250.0,0.47,97.83
WELL-06,2280.0,0.47,97.7
WELL-06,2310.0,0.51,98.42
WELL-06,2340.0,0.49,97.96
WELL-06,2370.0,0.56,98.04
WELL-06,2400.0,0.65,97.86
WELL-06,2430.0,0.67,97.61
WELL-06,2460.0,0.7,97.86
WELL-06,2490.0,0.73,97.87
WELL-06,2520.0,0.74,97.96
WELL-06,2550.0,0.7,98.11
WELL-06,2580.0,0.71,98.04
WELL-06,2610.0,0.66,97.99
WELL-06,2640.0,0.7,97.81
WELL-06,2670.0,0.67,97.16
WELL-06,2700.0,0.66,97.63
WELL-06,2730.0,0.68,97.82
WELL-06,2760.0,0.72,97.88
WELL-06,2790.0,0.67,97.43
WELL-06,2820.0,0.68,97.78
WELL-06,2850.0,0.6,98.03
WELL-06,2880.0,0.62,98.15
WELL-06,2910.0,0.64,98.1
WELL-07,0.0,0.05,166.37
WELL-07,30.0,0.03,166.53
WELL-07,60.0,0.06,166.45
WELL-07,90.0,0.09,165.82
WELL-07,120.0,0.05,165.82
WELL-07,150.0,0.08,165.86
WELL-07,180.0,0.09,166.1
WELL-07,210.0,0.05,165.88
WELL-07,240.0,0.07,165.69
WELL-07,270.0,0.12,165.92
WELL-07,300.0,0.08,165.89
WELL-07,330.0,0.04,165.86
WELL-07,360.0,0.0,166.35
WELL-07,390.0,0.02,165.74
WELL-07,420.0,0.04,165.86
WELL-07,450.0,0.05,166.01
WELL-07,480.0,0.03,166.33
WELL-07,510.0,0.14,165.92
WELL-07,540.0,0.18,166.17
WELL-07,570.0,0.24,165.86
WELL-07,600.0,0.24,165.47
WELL-07,630.0,0.16,165.52
WELL-07,660.0,0.21,165.72
WELL-07,690.0,0.24,165.58
WELL-07,720.0,0.27,165.47
WELL-07,750.0,0.19,164.89
WELL-07,780.0,0.15,164.72
WELL-07,810.0,0.11,164.72
WELL-07,840.0,0.14,164.51
WELL-07,870.0,0.11,164.24
WELL-07,900.0,0.03,163.8
WELL-07,930.0,0.0,163.87
WELL-07,960.0,0.03,163.32
WELL-07,990.0,0.03,162.61
WELL-07,1020.0,0.02,162.63
WELL-07,1050.0,0.01,162.76
WELL-07,1080.0,0.04,162.6
WELL-07,1110.0,0.01,162.47
WELL-07,1140.0,0.14,162.87
WELL-07,1170.0,0.08,162.97
WELL-07,1200.0,0.12,163.11
WELL-07,1230.0,0.13,163.09
WELL-07,1260.0,0.17,163.28
WELL-07,1290.0,0.25,163.26
WELL-07,1320.0,0.32,163.8
WELL-07,1350.0,0.36,163.26
WELL-07,1380.0,0.38,163.02
WELL-07,1410.0,0.3,162.33
WELL-07,1440.0,0.33,161.87
WELL-07,1470.0,0.31,161.39
WELL-07,1500.0,0.31,161.42
WELL-07,1530.0,0.29,161.39
WELL-07,1560.0,0.23,161.78
WELL-07,1590.0,0.21,161.71
WELL-07,1620.0,0.19,161.49
WELL-07,1650.0,0.23,161.3
WELL-07,1680.0,0.24,161.04
WELL-07,1710.0,0.26,161.07
WELL-07,1740.0,0.25,161.18
WELL-07,1770.0,0.24,161.33
WELL-07,1800.0,0.23,161.24
WELL-07,1830.0,0.26,161.38
WELL-07,1860.0,0.29,161.39
WELL-07,1890.0,0.24,161.69
WELL-07,1920.0,0.18,161.55
WELL-07,1950.0,0.18,161.5
WELL-07,1980.0,0.21,161.55
WELL-07,2010.0,0.17,161.57
WELL-07,2040.0,0.17,161.55
WELL-07,2070.0,0.15,161.68
WELL-07,2100.0,0.14,161.95
WELL-07,2130.0,0.14,161.48
WELL-07,2160.0,0.15,161.66
WELL-07,2190.0,0.18,161.32
WELL-07,2220.0,0.15,161.29
WELL-07,2250.0,0.07,161.67
WELL-07,2280.0,0.05,161.13
WELL-07,2310.0,0.08,161.2
WELL-07,2340.0,0.15,161.19
WELL-07,2370.0,0.15,161.62
WELL-07,2400.0,0.1,161.57
WELL-07,2430.0,0.04,161.35
WELL-07,2460.0,0.06,161.69
WELL-07,2490.0,0.08,162.37
WELL-07,2520.0,0.08,162.47
WELL-07,2550.0,0.08,162.36
WELL-07,2580.0,0.09,162.05
WELL-07,2610.0,0.03,161.68
WELL-07,2640.0,0.03,161.86
WELL-07,2670.0,0.06,162.58
WELL-07,2700.0,0.01,162.7
WELL-07,2730.0,0.04,163.51
WELL-07,2760.0,0.06,163.22
WELL-07,2790.0,0.12,163.19
WELL-07,2820.0,0.17,163.53
WELL-07,2850.0,0.2,163.86
WELL-07,2880.0,0.19,164.48
WELL-08,0.0,0.12,43.04
WELL-08,30.0,0.17,43.05
WELL-08,60.0,0.12,43.3
WELL-08,90.0,0.1,43.86
WELL-08,120.0,0.03,43.86
WELL-08,150.0,0.06,43.75
WELL-08,180.0,0.0,43.84
WELL-08,210.0,0.06,44.05
WELL-08,240.0,0.07,44.16
WELL-08,270.0,0.07,44.11
WELL-08,300.0,0.02,43.82
WELL-08,330.0,0.03,44.32
WELL-08,360.0,0.01,43.82
WELL-08,390.0,0.03,44.29
WELL-08,420.0,0.04,44.21
WELL-08,450.0,0.06,44.89
WELL-08,480.0,0.02,45.11
WELL-08,510.0,0.08,45.09
WELL-08,540.0,0.09,45.24
WELL-08,570.0,0.08,44.92
WELL-08,600.0,0.16,44.7
WELL-08,630.0,0.18,44.77
WELL-08,660.0,0.18,44.95
WELL-08,690.0,0.14,45.25
WELL-08,720.0,0.09,45.21
WELL-08,750.0,0.09,45.33
WELL-08,780.0,0.05,45.16
WELL-08,810.0,0.02,45.44
WELL-08,840.0,0.02,45.05
WELL-08,870.0,0.02,44.94
WELL-08,900.0,0.04,45.43
WELL-08,930.0,0.07,45.4
WELL-08,960.0,0.09,45.34
WELL-08,990.0,0.03,45.22
WELL-08,1020.0,0.0,45.26
