WELL,MD,X,Y,Z,GR,RHOB,NPHI,DT,RT,PHIE,SW,VSH,ZONE
WELL-01,1755.0,9915.15,9904.09,-1729.9,124.1,2.537,,,2.224,,,,OVERBURDEN
WELL-01,1755.5,9915.14,9904.08,-1730.4,122.8,2.55,,,2.099,,,,OVERBURDEN
WELL-01,1756.0,9915.14,9904.08,-1730.9,124.4,2.544,,,2.209,,,,OVERBURDEN
WELL-01,1756.5,9915.14,9904.07,-1731.4,116.9,2.548,,,2.199,,,,OVERBURDEN
WELL-01,1757.0,9915.14,9904.07,-1731.9,113.4,2.555,,,2.106,,,,OVERBURDEN
WELL-01,1757.5,9915.14,9904.06,-1732.4,113.7,2.563,,,2.266,,,,OVERBURDEN
WELL-01,1758.0,9915.13,9904.06,-1732.9,106.8,2.536,,,2.497,,,,OVERBURDEN
WELL-01,1758.5,9915.13,9904.05,-1733.4,107.3,2.548,,,2.4,,,,OVERBURDEN
WELL-01,1759.0,9915.13,9904.05,-1733.9,111.9,2.557,,,2.322,,,,OVERBURDEN
WELL-01,1759.5,9915.13,9904.05,-1734.4,117.1,2.56,,,2.168,,,,OVERBURDEN
WELL-01,1760.0,9915.13,9904.04,-1734.9,107.0,2.544,,,2.442,,,,OVERBURDEN
WELL-01,1760.5,9915.12,9904.04,-1735.4,99.4,2.53,,,2.267,,,,OVERBURDEN
WELL-01,1761.0,9915.12,9904.03,-1735.9,92.8,2.542,,,2.421,,,,OVERBURDEN
WELL-01,1761.5,9915.12,9904.03,-1736.4,103.4,2.523,,,2.299,,,,OVERBURDEN
WELL-01,1762.0,9915.12,9904.02,-1736.9,96.3,2.545,,,2.402,,,,OVERBURDEN
WELL-01,1762.5,9915.12,9904.02,-1737.4,103.7,2.535,,,2.499,,,,OVERBURDEN
WELL-01,1763.0,9915.11,9904.01,-1737.9,109.2,2.537,,,2.471,,,,OVERBURDEN
WELL-01,1763.5,9915.11,9904.01,-1738.4,106.2,2.543,,,2.352,,,,OVERBURDEN
WELL-01,1764.0,9915.11,9904.0,-1738.9,107.9,2.548,,,2.384,,,,OVERBURDEN
WELL-01,1764.5,9915.11,9904.0,-1739.4,111.2,2.537,,,2.351,,,,OVERBURDEN
WELL-01,1765.0,9915.11,9903.99,-1739.9,118.3,2.527,,,2.097,,,,OVERBURDEN
WELL-01,1765.5,9915.1,9903.99,-1740.4,120.3,2.536,,,2.252,,,,OVERBURDEN
WELL-01,1766.0,9915.1,9903.98,-1740.9,112.1,2.542,,,2.309,,,,OVERBURDEN
WELL-01,1766.5,9915.1,9903.98,-1741.4,105.7,2.558,,,2.223,,,,OVERBURDEN
WELL-01,1767.0,9915.1,9903.97,-1741.9,102.6,2.521,,,2.377,,,,OVERBURDEN
WELL-01,1767.5,9915.1,9903.97,-1742.4,104.6,2.551,,,2.546,,,,OVERBURDEN
WELL-01,1768.0,9915.09,9903.96,-1742.9,100.0,2.528,,,2.708,,,,OVERBURDEN
WELL-01,1768.5,9915.09,9903.96,-1743.4,98.8,2.53,,,2.479,,,,OVERBURDEN
WELL-01,1769.0,9915.09,9903.95,-1743.9,105.9,2.522,,,2.235,,,,OVERBURDEN
WELL-01,1769.5,9915.09,9903.95,-1744.4,113.6,2.545,,,2.229,,,,OVERBURDEN
WELL-01,1770.0,9915.09,9903.94,-1744.9,107.6,2.55,,,2.303,,,,OVERBURDEN
WELL-01,1770.5,9915.08,9903.94,-1745.4,108.3,2.542,,,2.252,,,,OVERBURDEN
WELL-01,1771.0,9915.08,9903.93,-1745.9,106.2,2.538,,,2.396,,,,OVERBURDEN
WELL-01,1771.5,9915.08,9903.93,-1746.4,107.2,2.555,,,2.375,,,,OVERBURDEN
WELL-01,1772.0,9915.08,9903.92,-1746.9,102.4,2.535,,,2.427,,,,OVERBURDEN
WELL-01,1772.5,9915.07,9903.92,-1747.4,115.9,2.554,,,2.398,,,,OVERBURDEN
WELL-01,1773.0,9915.07,9903.91,-1747.9,113.3,2.544,,,2.33,,,,OVERBURDEN
WELL-01,1773.5,9915.07,9903.91,-1748.4,104.7,2.541,,,2.442,,,,OVERBURDEN
WELL-01,1774.0,9915.07,9903.9,-1748.9,109.3,2.535,,,2.445,,,,OVERBURDEN
WELL-01,1774.5,9915.07,9903.9,-1749.4,118.2,2.544,,,2.159,,,,OVERBURDEN
WELL-01,1775.0,9915.06,9903.9,-1749.9,112.9,2.511,,,2.437,,,,OVERBURDEN
WELL-01,1775.5,9915.06,9903.89,-1750.4,113.6,2.525,,,2.367,,,,OVERBURDEN
WELL-01,1776.0,9915.06,9903.89,-1750.9,100.9,2.544,,,2.512,,,,OVERBURDEN
WELL-01,1776.5,9915.06,9903.88,-1751.4,104.5,2.523,,,2.399,,,,OVERBURDEN
WELL-01,1777.0,9915.06,9903.88,-1751.9,111.2,2.542,,,2.471,,,,OVERBURDEN
WELL-01,1777.5,9915.05,9903.87,-1752.4,115.5,2.538,,,2.327,,,,OVERBURDEN
WELL-01,1778.0,9915.05,9903.87,-1752.9,101.6,2.528,,,2.266,,,,OVERBURDEN
WELL-01,1778.5,9915.05,9903.86,-1753.4,108.9,2.529,,,2.373,,,,OVERBURDEN
WELL-01,1779.0,9915.05,9903.86,-1753.9,115.9,2.529,,,2.098,,,,OVERBURDEN
WELL-01,1779.5,9915.05,9903.85,-1754.4,111.9,2.552,,,2.316,,,,OVERBURDEN
WELL-01,1780.0,9915.04,9903.85,-1754.9,119.9,2.526,,,2.26,,,,OVERBURDEN
WELL-01,1780.5,9915.04,9903.84,-1755.4,100.5,2.527,,,2.304,,,,OVERBURDEN
WELL-01,1781.0,9915.04,9903.84,-1755.9,113.0,2.541,,,2.262,,,,OVERBURDEN
WELL-01,1781.5,9915.04,9903.83,-1756.4,114.0,2.567,,,2.142,,,,OVERBURDEN
WELL-01,1782.0,9915.04,9903.83,-1756.9,116.4,2.563,,,2.166,,,,OVERBURDEN
WELL-01,1782.5,9915.03,9903.82,-1757.4,107.5,2.528,,,2.392,,,,OVERBURDEN
WELL-01,1783.0,9915.03,9903.82,-1757.9,115.2,2.541,,,2.312,,,,OVERBURDEN
WELL-01,1783.5,9915.03,9903.81,-1758.4,108.5,2.545,,,2.393,,,,OVERBURDEN
WELL-01,1784.0,9915.03,9903.81,-1758.9,110.4,2.551,,,2.143,,,,OVERBURDEN
WELL-01,1784.5,9915.03,9903.8,-1759.4,116.3,2.56,,,2.306,,,,OVERBURDEN
WELL-01,1785.0,9915.02,9903.8,-1759.9,112.5,2.561,,,2.34,,,,OVERBURDEN
WELL-01,1785.5,9915.02,9903.79,-1760.4,96.1,2.555,,,2.272,,,,OVERBURDEN
WELL-01,1786.0,9915.02,9903.79,-1760.9,119.1,2.556,,,2.137,,,,OVERBURDEN
WELL-01,1786.5,9915.02,9903.78,-1761.4,107.7,2.543,,,2.219,,,,OVERBURDEN
WELL-01,1787.0,9915.02,9903.78,-1761.9,121.6,2.519,,,2.028,,,,OVERBURDEN
WELL-01,1787.5,9915.01,9903.77,-1762.4,118.0,2.551,,,2.058,,,,OVERBURDEN
WELL-01,1788.0,9915.01,9903.77,-1762.9,119.7,2.551,,,2.223,,,,OVERBURDEN
WELL-01,1788.5,9915.01,9903.76,-1763.4,108.1,2.556,,,2.168,,,,OVERBURDEN
WELL-01,1789.0,9915.01,9903.76,-1763.9,97.7,2.512,,,2.241,,,,OVERBURDEN
WELL-01,1789.5,9915.01,9903.75,-1764.4,106.8,2.524,,,2.269,,,,OVERBURDEN
WELL-01,1790.0,9915.0,9903.75,-1764.9,117.3,2.547,,,2.406,,,,OVERBURDEN
WELL-01,1790.5,9915.0,9903.74,-1765.4,106.7,2.55,,,2.358,,,,OVERBURDEN
WELL-01,1791.0,9915.0,9903.74,-1765.9,120.1,2.533,,,2.386,,,,OVERBURDEN
WELL-01,1791.5,9915.0,9903.73,-1766.4,110.5,2.555,,,2.376,,,,OVERBURDEN
WELL-01,1792.0,9914.99,9903.73,-1766.9,110.3,2.542,,,2.427,,,,OVERBURDEN
WELL-01,1792.5,9914.99,9903.72,-1767.4,105.3,2.554,,,2.684,,,,OVERBURDEN
WELL-01,1793.0,9914.99,9903.72,-1767.9,108.1,2.542,,,2.272,,,,OVERBURDEN
WELL-01,1793.5,9914.99,9903.71,-1768.4,114.3,2.551,,,2.231,,,,OVERBURDEN
WELL-01,1794.0,9914.99,9903.71,-1768.9,101.9,2.548,,,2.485,,,,OVERBURDEN
WELL-01,1794.5,9914.98,9903.7,-1769.4,111.6,2.531,,,2.281,,,,OVERBURDEN
WELL-01,1795.0,9914.98,9903.7,-1769.9,106.1,2.523,,,2.46,,,,OVERBURDEN
WELL-01,1795.5,9914.98,9903.69,-1770.4,115.5,2.555,,,2.265,,,,OVERBURDEN
WELL-01,1796.0,9914.98,9903.69,-1770.9,108.9,2.537,,,2.25,,,,OVERBURDEN
WELL-01,1796.5,9914.98,9903.68,-1771.4,101.6,2.558,,,2.286,,,,OVERBURDEN
WELL-01,1797.0,9914.97,9903.68,-1771.9,111.0,2.561,,,2.105,,,,OVERBURDEN
WELL-01,1797.5,9914.97,9903.67,-1772.4,118.4,2.549,,,2.172,,,,OVERBURDEN
WELL-01,1798.0,9914.97,9903.67,-1772.9,111.3,2.565,,,2.408,,,,OVERBURDEN
WELL-01,1798.5,9914.97,9903.66,-1773.4,110.2,2.549,,,2.568,,,,OVERBURDEN
WELL-01,1799.0,9914.97,9903.66,-1773.9,118.0,2.534,,,2.139,,,,OVERBURDEN
WELL-01,1799.5,9914.96,9903.65,-1774.4,116.9,2.54,,,2.22,,,,OVERBURDEN
WELL-01,1800.0,9914.96,9903.65,-1774.9,118.0,2.543,,,2.068,,,,OVERBURDEN
WELL-01,1800.5,9914.96,9903.64,-1775.4,121.9,2.546,,,2.206,,,,OVERBURDEN
WELL-01,1801.0,9914.96,9903.64,-1775.9,122.3,2.552,,,2.078,,,,OVERBURDEN
WELL-01,1801.5,9914.96,9903.63,-1776.4,133.6,2.513,,,2.272,,,,OVERBURDEN
WELL-01,1802.0,9914.95,9903.63,-1776.9,136.3,2.554,,,2.078,,,,OVERBURDEN
WELL-01,1802.5,9914.95,9903.62,-1777.4,120.6,2.561,,,2.305,,,,OVERBURDEN
WELL-01,1803.0,9914.95,9903.62,-1777.9,120.0,2.525,,,2.216,,,,OVERBURDEN
WELL-01,1803.5,9914.95,9903.62,-1778.4,118.7,2.566,,,2.608,,,,OVERBURDEN
WELL-01,1804.0,9914.95,9903.61,-1778.9,113.6,2.563,,,2.462,,,,OVERBURDEN
WELL-01,1804.5,9914.94,9903.61,-1779.4,109.8,2.542,,,2.269,,,,OVERBURDEN
WELL-01,1805.0,9914.94,9903.6,-1779.9,116.4,2.534,,,2.488,,,,OVERBURDEN
WELL-01,1805.5,9914.94,9903.6,-1780.4,114.1,2.537,,,2.139,,,,OVERBURDEN
WELL-01,1806.0,9914.94,9903.59,-1780.9,107.6,2.554,,,2.549,,,,OVERBURDEN
WELL-01,1806.5,9914.94,9903.59,-1781.4,114.5,2.529,,,2.212,,,,OVERBURDEN
WELL-01,1807.0,9914.93,9903.58,-1781.9,111.4,2.55,,,2.215,,,,OVERBURDEN
WELL-01,1807.5,9914.93,9903.58,-1782.4,123.0,2.53,,,2.615,,,,OVERBURDEN
WELL-01,1808.0,9914.93,9903.57,-1782.9,110.8,2.524,,,2.177,,,,OVERBURDEN
WELL-01,1808.5,9914.93,9903.57,-1783.4,116.8,2.535,,,2.421,,,,OVERBURDEN
WELL-01,1809.0,9914.93,9903.56,-1783.9,104.3,2.532,,,2.554,,,,OVERBURDEN
WELL-01,1809.5,9914.92,9903.56,-1784.4,108.5,2.533,,,2.583,,,,OVERBURDEN
WELL-01,1810.0,9914.92,9903.55,-1784.9,118.9,2.548,,,2.215,,,,OVERBURDEN
WELL-01,1810.5,9914.92,9903.55,-1785.4,111.2,2.545,,,2.328,,,,OVERBURDEN
WELL-01,1811.0,9914.92,9903.54,-1785.9,116.1,2.526,,,2.213,,,,OVERBURDEN
WELL-01,1811.5,9914.92,9903.54,-1786.4,104.8,2.54,,,2.462,,,,OVERBURDEN
WELL-01,1812.0,9914.91,9903.53,-1786.9,111.3,2.543,,,2.479,,,,OVERBURDEN
WELL-01,1812.5,9914.91,9903.53,-1787.4,120.8,2.551,,,2.239,,,,OVERBURDEN
WELL-01,1813.0,9914.91,9903.52,-1787.9,121.6,2.532,,,2.245,,,,OVERBURDEN
WELL-01,1813.5,9914.91,9903.52,-1788.4,127.6,2.525,,,2.244,,,,OVERBURDEN
WELL-01,1814.0,9914.91,9903.51,-1788.9,127.6,2.539,,,2.298,,,,OVERBURDEN
WELL-01,1814.5,9914.9,9903.51,-1789.4,115.6,2.536,,,2.218,,,,OVERBURDEN
WELL-01,1815.0,9914.9,9903.51,-1789.9,102.3,2.544,,,2.232,,,,OVERBURDEN
WELL-01,1815.5,9914.9,9903.5,-1790.4,94.2,2.539,,,2.366,,,,OVERBURDEN
WELL-01,1816.0,9914.9,9903.5,-1790.9,114.9,2.536,,,2.034,,,,OVERBURDEN
WELL-01,1816.5,9914.9,9903.49,-1791.4,115.9,2.543,,,2.279,,,,OVERBURDEN
WELL-01,1817.0,9914.89,9903.49,-1791.9,116.0,2.534,,,2.243,,,,OVERBURDEN
WELL-01,1817.5,9914.89,9903.48,-1792.4,106.4,2.508,,,2.442,,,,OVERBURDEN
WELL-01,1818.0,9914.89,9903.48,-1792.9,117.4,2.552,,,2.247,,,,OVERBURDEN
WELL-01,1818.5,9914.89,9903.47,-1793.4,119.7,2.536,,,2.163,,,,OVERBURDEN
WELL-01,1819.0,9914.89,9903.47,-1793.9,118.2,2.554,,,2.198,,,,OVERBURDEN
WELL-01,1819.5,9914.88,9903.46,-1794.4,115.4,2.545,,,2.275,,,,OVERBURDEN
WELL-01,1820.0,9914.88,9903.46,-1794.9,112.7,2.555,,,2.229,,,,OVERBURDEN
WELL-01,1820.5,9914.88,9903.45,-1795.4,110.7,2.534,,,2.263,,,,OVERBURDEN
WELL-01,1821.0,9914.88,9903.45,-1795.9,110.0,2.541,,,2.433,,,,OVERBURDEN
WELL-01,1821.5,9914.88,9903.44,-1796.4,104.2,2.527,,,2.329,,,,OVERBURDEN
WELL-01,1822.0,9914.87,9903.44,-1796.9,104.9,2.529,,,2.198,,,,OVERBURDEN
WELL-01,1822.5,9914.87,9903.43,-1797.4,112.5,2.512,,,2.324,,,,OVERBURDEN
WELL-01,1823.0,9914.87,9903.43,-1797.9,113.2,2.544,,,2.322,,,,OVERBURDEN
WELL-01,1823.5,9914.87,9903.42,-1798.4,113.1,2.552,,,2.394,,,,OVERBURDEN
WELL-01,1824.0,9914.87,9903.42,-1798.9,113.4,2.546,,,2.388,,,,OVERBURDEN
WELL-01,1824.5,9914.86,9903.41,-1799.4,118.4,2.512,,,2.147,,,,OVERBURDEN
WELL-01,1825.0,9914.86,9903.41,-1799.9,124.2,2.553,,,2.391,,,,OVERBURDEN
WELL-01,1825.5,9914.86,9903.4,-1800.4,126.3,2.551,,,2.085,,,,OVERBURDEN
WELL-01,1826.0,9914.86,9903.4,-1800.9,126.9,2.549,,,2.533,,,,OVERBURDEN
WELL-01,1826.5,9914.86,9903.4,-1801.4,112.2,2.551,,,2.421,,,,OVERBURDEN
WELL-01,1827.0,9914.85,9903.39,-1801.9,110.1,2.546,,,2.429,,,,OVERBURDEN
WELL-01,1827.5,9914.85,9903.39,-1802.4,115.2,2.549,,,2.336,,,,OVERBURDEN
WELL-01,1828.0,9914.85,9903.38,-1802.9,107.5,2.537,,,2.468,,,,OVERBURDEN
WELL-01,1828.5,9914.85,9903.38,-1803.4,115.3,2.552,,,2.239,,,,OVERBURDEN
WELL-01,1829.0,9914.85,9903.37,-1803.9,115.0,2.534,,,2.322,,,,OVERBURDEN
WELL-01,1829.5,9914.84,9903.37,-1804.4,120.7,2.557,,,2.284,,,,OVERBURDEN
WELL-01,1830.0,9914.84,9903.36,-1804.9,120.6,2.548,,,2.181,,,,OVERBURDEN
WELL-01,1830.5,9914.84,9903.36,-1805.4,114.9,2.536,,,2.227,,,,OVERBURDEN
WELL-01,1831.0,9914.84,9903.35,-1805.9,116.6,2.543,,,2.322,,,,OVERBURDEN
WELL-01,1831.5,9914.84,9903.35,-1806.4,117.3,2.551,,,2.208,,,,OVERBURDEN
WELL-01,1832.0,9914.83,9903.34,-1806.9,113.6,2.532,,,2.246,,,,OVERBURDEN
WELL-01,1832.5,9914.83,9903.34,-1807.4,113.1,2.566,,,2.443,,,,OVERBURDEN
WELL-01,1833.0,9914.83,9903.33,-1807.9,106.5,2.571,,,2.45,,,,OVERBURDEN
WELL-01,1833.5,9914.83,9903.33,-1808.4,107.3,2.537,,,2.303,,,,OVERBURDEN
WELL-01,1834.0,9914.83,9903.32,-1808.9,113.9,2.537,,,2.142,,,,OVERBURDEN
WELL-01,1834.5,9914.82,9903.32,-1809.4,111.0,2.539,,,2.433,,,,OVERBURDEN
WELL-01,1835.0,9914.82,9903.31,-1809.9,117.4,2.554,,,2.122,,,,OVERBURDEN
WELL-01,1835.5,9914.82,9903.31,-1810.4,114.6,2.558,,,2.115,,,,OVERBURDEN
WELL-01,1836.0,9914.82,9903.3,-1810.9,112.5,2.559,,,2.442,,,,OVERBURDEN
WELL-01,1836.5,9914.81,9903.3,-1811.4,107.9,2.554,,,2.383,,,,OVERBURDEN
WELL-01,1837.0,9914.81,9903.29,-1811.9,109.8,2.548,,,2.125,,,,OVERBURDEN
WELL-01,1837.5,9914.81,9903.29,-1812.4,114.3,2.547,,,2.429,,,,OVERBURDEN
WELL-01,1838.0,9914.81,9903.28,-1812.9,114.7,2.545,,,2.2,,,,OVERBURDEN
WELL-01,1838.5,9914.81,9903.28,-1813.4,103.8,2.528,,,2.377,,,,OVERBURDEN
WELL-01,1839.0,9914.8,9903.27,-1813.9,115.7,2.526,,,2.284,,,,OVERBURDEN
WELL-01,1839.5,9914.8,9903.27,-1814.4,124.2,2.543,,,2.385,,,,OVERBURDEN
WELL-01,1840.0,9914.8,9903.26,-1814.9,123.9,2.551,,,2.078,,,,OVERBURDEN
WELL-01,1840.5,9914.8,9903.26,-1815.4,106.3,2.553,,,2.397,,,,OVERBURDEN
WELL-01,1841.0,9914.8,9903.25,-1815.9,107.0,2.533,,,2.509,,,,OVERBURDEN
WELL-01,1841.5,9914.79,9903.25,-1816.4,110.7,2.549,,,2.275,,,,OVERBURDEN
WELL-01,1842.0,9914.79,9903.24,-1816.9,114.9,2.536,,,2.286,,,,OVERBURDEN
WELL-01,1842.5,9914.79,9903.24,-1817.4,102.5,2.552,,,2.38,,,,OVERBURDEN
WELL-01,1843.0,9914.79,9903.24,-1817.9,103.7,2.553,,,2.075,,,,OVERBURDEN
WELL-01,1843.5,9914.79,9903.23,-1818.4,110.1,2.54,,,2.226,,,,OVERBURDEN
WELL-01,1844.0,9914.78,9903.23,-1818.9,120.9,2.552,,,2.119,,,,OVERBURDEN
WELL-01,1844.5,9914.78,9903.22,-1819.4,121.4,2.555,,,2.317,,,,OVERBURDEN
WELL-01,1845.0,9914.78,9903.22,-1819.9,114.8,2.532,,,2.317,,,,OVERBURDEN
WELL-01,1845.5,9914.78,9903.21,-1820.4,111.4,2.581,,,2.477,,,,OVERBURDEN
WELL-01,1846.0,9914.78,9903.21,-1820.9,109.7,2.544,,,2.328,,,,OVERBURDEN
WELL-01,1846.5,9914.77,9903.2,-1821.4,106.2,2.538,,,2.374,,,,OVERBURDEN
WELL-01,1847.0,9914.77,9903.2,-1821.9,115.7,2.566,,,2.323,,,,OVERBURDEN
WELL-01,1847.5,9914.77,9903.19,-1822.4,104.3,2.567,,,2.187,,,,OVERBURDEN
WELL-01,1848.0,9914.77,9903.19,-1822.9,125.4,2.551,,,2.239,,,,OVERBURDEN
WELL-01,1848.5,9914.77,9903.18,-1823.4,109.1,2.543,,,2.081,,,,OVERBURDEN
WELL-01,1849.0,9914.76,9903.18,-1823.9,119.1,2.551,,,2.413,,,,OVERBURDEN
WELL-01,1849.5,9914.76,9903.17,-1824.4,113.1,2.519,,,2.256,,,,OVERBURDEN
WELL-01,1850.0,9914.76,9903.17,-1824.9,98.8,2.569,,,2.422,,,,OVERBURDEN
WELL-01,1850.5,9914.76,9903.16,-1825.4,121.0,2.524,,,2.266,,,,OVERBURDEN
WELL-01,1851.0,9914.76,9903.16,-1825.9,116.0,2.553,,,2.232,,,,OVERBURDEN
WELL-01,1851.5,9914.75,9903.15,-1826.4,108.4,2.552,,,2.367,,,,OVERBURDEN
WELL-01,1852.0,9914.75,9903.15,-1826.9,106.3,2.56,,,2.489,,,,OVERBURDEN
WELL-01,1852.5,9914.75,9903.14,-1827.4,107.5,2.54,,,2.404,,,,OVERBURDEN
WELL-01,1853.0,9914.75,9903.14,-1827.9,110.7,2.549,,,2.33,,,,OVERBURDEN
WELL-01,1853.5,9914.74,9903.13,-1828.4,102.3,2.538,,,2.364,,,,OVERBURDEN
WELL-01,1854.0,9914.74,9903.13,-1828.9,107.6,2.561,,,2.181,,,,OVERBURDEN
WELL-01,1854.5,9914.74,9903.12,-1829.4,101.8,2.546,,,2.493,,,,OVERBURDEN
WELL-01,1855.0,9914.74,9903.12,-1829.9,14.8,2.373,,,1.222,,,,CHALK
WELL-01,1855.5,9914.74,9903.11,-1830.4,8.7,2.345,,,0.922,,,,CHALK
WELL-01,1856.0,9914.73,9903.11,-1830.9,12.2,2.314,,,0.873,,,,CHALK
WELL-01,1856.5,9914.73,9903.1,-1831.4,9.9,2.348,,,1.1,,,,CHALK
WELL-01,1857.0,9914.73,9903.1,-1831.9,11.9,2.391,,,1.389,,,,CHALK
WELL-01,1857.5,9914.73,9903.09,-1832.4,12.1,2.275,,,0.753,,,,CHALK
WELL-01,1858.0,9914.73,9903.09,-1832.9,13.0,2.302,,,0.878,,,,CHALK
WELL-01,1858.5,9914.72,9903.08,-1833.4,9.6,2.244,,,0.704,,,,CHALK
WELL-01,1859.0,9914.72,9903.08,-1833.9,6.2,2.252,,,0.766,,,,CHALK
WELL-01,1859.5,9914.72,9903.07,-1834.4,21.7,2.212,,,0.676,,,,CHALK
WELL-01,1860.0,9914.72,9903.07,-1834.9,16.2,2.257,,,0.662,,,,CHALK
WELL-01,1860.5,9914.72,9903.06,-1835.4,7.7,2.239,,,0.612,,,,CHALK
WELL-01,1861.0,9914.71,9903.06,-1835.9,11.8,2.191,,,0.544,,,,CHALK
WELL-01,1861.5,9914.71,9903.05,-1836.4,13.0,2.209,,,0.602,,,,CHALK
WELL-01,1862.0,9914.71,9903.05,-1836.9,14.0,2.251,,,0.633,,,,CHALK
WELL-01,1862.5,9914.71,9903.04,-1837.4,8.5,2.326,,,0.752,,,,CHALK
WELL-01,1863.0,9914.7,9903.04,-1837.9,12.7,2.242,,,0.726,,,,CHALK
WELL-01,1863.5,9914.7,9903.03,-1838.4,9.6,2.318,,,0.901,,,,CHALK
WELL-01,1864.0,9914.7,9903.03,-1838.9,15.0,2.315,,,0.813,,,,CHALK
WELL-01,1864.5,9914.7,9903.02,-1839.4,12.8,2.378,,,1.113,,,,CHALK
WELL-01,1865.0,9914.7,9903.02,-1839.9,22.4,2.367,,,1.315,,,,CHALK
WELL-01,1865.5,9914.69,9903.01,-1840.4,10.8,2.384,,,1.37,,,,CHALK
WELL-01,1866.0,9914.69,9903.01,-1840.9,12.5,2.394,,,1.621,,,,CHALK
WELL-01,1866.5,9914.69,9903.0,-1841.4,15.9,2.31,,,0.789,,,,CHALK
WELL-01,1867.0,9914.69,9903.0,-1841.9,9.6,2.274,,,0.781,,,,CHALK
WELL-01,1867.5,9914.68,9902.99,-1842.4,14.2,2.325,,,0.845,,,,CHALK
WELL-01,1868.0,9914.68,9902.99,-1842.9,17.0,2.383,,,1.252,,,,CHALK
WELL-01,1868.5,9914.68,9902.98,-1843.4,12.6,2.377,,,1.473,,,,CHALK
