WELL,SURFACE,MD,X,Y,Z
WELL-13,TOP_SAND_B,3243.1,13669.29,15698.53,-2698.92
WELL-13,TOP_BASE_SHALE,3361.0,13740.77,15732.66,-2786.25
WELL-14,TOP_CHALK,2304.9,7600.83,4613.77,-2104.39
WELL-14,TOP_SEAL_SHALE,2850.5,7911.26,4439.05,-2517.64
WELL-14,TOP_SAND_A,3037.3,8017.8,4378.95,-2658.82
WELL-14,TOP_INTRA_SHALE,3126.3,8068.21,4349.65,-2726.06
WELL-14,TOP_SAND_B,3194.1,8106.77,4327.81,-2777.37
WELL-14,TOP_BASE_SHALE,3301.7,8168.06,4293.49,-2858.88
WELL-15,TOP_CHALK,2054.7,12733.24,4416.19,-2029.63
WELL-15,TOP_SEAL_SHALE,2489.9,12731.58,4413.38,-2464.81
WELL-15,TOP_SAND_A,2646.1,12730.93,4412.3,-2621.01
WELL-15,TOP_INTRA_SHALE,2719.6,12730.59,4411.74,-2694.51
WELL-15,TOP_SAND_B,2760.3,12730.41,4411.44,-2735.2
WELL-15,TOP_BASE_SHALE,2823.5,12730.13,4410.99,-2798.4
WELL-16,TOP_CHALK,2119.8,15369.26,7501.21,-1964.31
WELL-16,TOP_SEAL_SHALE,2665.9,15307.29,7263.79,-2452.18
WELL-16,TOP_SAND_A,2822.9,15290.13,7195.47,-2592.49
WELL-16,TOP_INTRA_SHALE,2897.7,15281.54,7162.98,-2659.32
WELL-16,TOP_SAND_B,2935.5,15277.1,7146.58,-2693.08
WELL-16,TOP_BASE_SHALE,3030.1,15265.91,7105.55,-2777.58
WELL-17,TOP_CHALK,2241.8,13829.89,13807.03,-1950.34
WELL-17,TOP_SEAL_SHALE,2728.3,14136.4,13900.19,-2316.47
WELL-17,TOP_SAND_A,2942.7,14271.53,13942.64,-2477.43
WELL-17,TOP_INTRA_SHALE,3008.4,14312.99,13955.38,-2526.78
WELL-17,TOP_SAND_B,3063.4,14347.71,13965.96,-2568.09
WELL-17,TOP_BASE_SHALE,3199.8,14433.73,13992.6,-2670.54
WELL-18,TOP_CHALK,2181.3,13077.5,4895.25,-2012.33
WELL-18,TOP_SEAL_SHALE,2679.7,12889.91,5049.81,-2447.43
WELL-18,TOP_SAND_A,2841.7,12829.92,5100.93,-2588.97
WELL-18,TOP_INTRA_SHALE,2921.6,12800.34,5125.98,-2658.83
WELL-18,TOP_SAND_B,2962.9,12785.04,5138.92,-2694.95
WELL-18,TOP_BASE_SHALE,3030.1,12760.15,5159.94,-2753.72
WELL-19,TOP_CHALK,1893.4,13002.26,9104.69,-1868.39
WELL-19,TOP_SEAL_SHALE,2296.5,13001.73,9105.24,-2271.49
WELL-19,TOP_SAND_A,2439.7,13001.32,9105.63,-2414.69
WELL-19,TOP_INTRA_SHALE,2502.2,13001.17,9105.77,-2477.19
WELL-19,TOP_SAND_B,2552.1,13001.09,9105.85,-2527.09
WELL-19,TOP_BASE_SHALE,2598.8,13001.04,9105.9,-2573.79
WELL-20,TOP_CHALK,2135.4,7513.9,8635.26,-1929.44
WELL-20,TOP_SEAL_SHALE,2647.0,7693.73,8915.03,-2318.19
WELL-20,TOP_SAND_A,2851.2,7765.16,9027.07,-2473.24
WELL-20,TOP_INTRA_SHALE,2922.3,7789.99,9066.13,-2527.21
WELL-20,TOP_SAND_B,2958.6,7802.85,9085.95,-2554.77
WELL-20,TOP_BASE_SHALE,3044.4,7833.24,9132.77,-2619.93
WELL-21,TOP_CHALK,2200.7,4185.06,5272.25,-2089.15
WELL-21,TOP_SEAL_SHALE,2611.3,4152.44,5287.84,-2498.16
WELL-21,TOP_SAND_A,2766.4,4140.15,5293.9,-2652.65
WELL-21,TOP_INTRA_SHALE,2820.6,4135.87,5295.95,-2706.64
WELL-21,TOP_SAND_B,2868.7,4132.07,5297.77,-2754.56
WELL-21,TOP_BASE_SHALE,2971.6,4123.89,5301.59,-2857.06
WELL-22,TOP_CHALK,1858.4,12245.93,10127.3,-1833.32
WELL-22,TOP_SEAL_SHALE,2236.1,12241.66,10124.83,-2210.98
WELL-22,TOP_SAND_A,2398.9,12239.56,10123.66,-2373.77
WELL-22,TOP_INTRA_SHALE,2458.0,12238.7,10123.18,-2432.86
WELL-22,TOP_SAND_B,2511.4,12237.92,10122.74,-2486.25
WELL-22,TOP_BASE_SHALE,2575.1,12236.99,10122.23,-2549.94
