HOLE_ID,X,Y,Z,LENGTH,TYPE
TS098,5241.6,2430.0,519.9,17.1,SONIC
TS099,5278.1,2428.8,519.9,20.2,SONIC
TS100,5320.4,2428.0,519.9,24.4,SONIC
TS101,5368.5,2417.0,519.8,25.9,SONIC
TS102,5416.5,2434.3,519.9,26.1,SONIC
TS103,5474.0,2417.4,519.8,20.9,SONIC
TS104,5518.9,2429.3,519.9,17.5,SONIC
TS105,5570.3,2431.0,519.9,11.4,SONIC
TS106,5628.3,2418.9,519.8,6.6,SONIC
TS107,5665.3,2420.4,519.8,5.7,SONIC
