HOLE_ID,FROM,TO,AU_GPT,CU_PPM,AS_PPM,CN_WAD_PPM,MOISTURE_PCT,CN_WAD_BDL
TS003,10.65,11.2,0.245,786.0,493.0,1.43,13.6,0
TS003,11.2,11.45,0.276,595.0,701.0,4.59,29.9,0
TS003,11.45,11.55,0.227,431.0,717.0,2.34,12.7,0
TS003,11.55,12.6,0.755,975.0,1313.0,4.46,28.7,0
TS003,12.6,13.65,0.436,583.0,538.0,2.4,26.3,0
TS003,13.65,14.7,0.301,498.0,577.0,1.04,30.5,0
TS003,14.7,15.9,0.004,22.0,8.0,0.5,18.4,1
TS003,15.9,17.1,0.008,23.0,14.0,0.5,15.0,1
TS004,0.0,0.7,,,232.0,0.5,14.5,1
TS004,0.7,1.85,0.128,1175.0,428.0,0.5,31.3,1
TS004,1.85,3.0,0.167,661.0,960.0,0.5,29.3,1
TS004,3.0,3.05,0.464,741.0,427.0,0.5,15.0,1
TS004,3.05,3.5,0.415,925.0,619.0,2.09,33.2,0
TS004,3.5,4.6,0.447,695.0,851.0,0.5,16.2,1
TS004,4.6,4.65,0.482,607.0,419.0,0.84,28.7,0
TS004,4.65,5.5,0.194,421.0,235.0,0.5,13.1,1
TS004,5.5,5.6,0.173,994.0,1716.0,0.61,30.0,0
TS004,5.6,5.65,0.271,924.0,785.0,0.5,12.2,1
TS004,5.65,6.05,0.54,2076.0,756.0,1.93,33.9,0
TS004,6.05,6.35,0.565,1857.0,250.0,0.5,11.0,1
TS004,6.35,6.4,0.515,1326.0,366.0,0.55,32.6,0
TS004,6.4,6.65,0.456,1076.0,183.0,0.5,12.3,1
TS004,6.65,6.85,0.449,1193.0,483.0,1.03,32.4,0
TS004,6.85,7.0,0.787,1659.0,190.0,0.5,15.7,1
TS004,7.0,7.1,0.578,1175.0,601.0,1.79,29.4,0
TS004,7.1,7.25,0.538,630.0,240.0,0.5,10.6,1
TS004,7.25,7.35,0.474,669.0,455.0,1.17,27.5,0
TS004,7.35,7.85,0.986,2006.0,552.0,0.53,9.0,0
TS004,7.85,8.75,0.192,712.0,1318.0,2.63,30.1,0
TS004,8.75,8.8,0.463,857.0,280.0,1.05,13.2,0
TS004,8.8,10.15,0.491,713.0,1440.0,2.19,37.6,0
TS004,10.15,10.2,0.418,742.0,617.0,0.59,14.6,0
TS004,10.2,10.25,0.532,1001.0,841.0,1.37,30.4,0
TS004,10.25,10.3,0.387,676.0,441.0,0.52,13.0,0
TS004,10.3,10.35,0.349,674.0,1085.0,1.2,32.4,0
TS004,10.35,10.4,0.364,1117.0,537.0,0.82,12.9,0
TS004,10.4,10.45,0.299,796.0,1162.0,3.31,32.2,0
TS004,10.45,10.5,0.375,1005.0,580.0,2.05,13.2,0
TS004,10.5,10.55,0.394,768.0,1052.0,9.04,32.5,0
TS004,10.55,11.05,0.324,745.0,798.0,2.72,9.6,0
TS004,11.05,12.05,0.339,470.0,785.0,0.72,29.0,0
TS004,12.05,13.05,0.662,690.0,792.0,2.8,28.7,0
TS004,13.05,14.05,0.361,528.0,280.0,2.06,26.3,0
TS004,14.05,15.05,0.231,468.0,503.0,3.81,35.7,0
TS004,15.05,15.15,0.418,551.0,242.0,1.63,12.6,0
TS004,15.15,16.05,0.283,467.0,1265.0,1.5,32.3,0
TS004,16.05,16.95,0.214,532.0,356.0,2.25,32.9,0
TS004,16.95,17.0,0.356,654.0,308.0,1.27,15.1,0
TS004,17.0,17.05,0.254,393.0,849.0,10.11,31.5,0
TS004,17.05,17.1,0.323,667.0,297.0,2.55,16.3,0
TS004,17.1,17.15,0.368,759.0,527.0,2.33,33.9,0
TS004,17.15,17.4,0.428,1087.0,162.0,0.5,16.3,1
TS004,17.4,17.45,0.283,900.0,343.0,3.07,29.7,0
TS004,17.45,17.5,0.386,829.0,149.0,1.65,13.8,0
TS004,17.5,17.55,0.404,763.0,327.0,5.69,33.1,0
TS004,17.55,18.9,0.009,43.0,18.0,0.5,16.7,1
TS005,0.0,0.96,0.178,475.0,188.0,0.5,30.0,1
TS005,0.96,1.92,0.336,1005.0,606.0,0.5,33.9,1
TS005,1.92,2.89,0.224,576.0,682.0,2.97,31.0,0
TS005,2.89,3.85,0.365,922.0,1642.0,0.53,34.5,0
TS005,3.85,4.1,0.171,723.0,1072.0,0.5,17.2,1
TS005,4.1,4.15,0.204,700.0,1700.0,0.5,33.9,1
TS005,4.15,4.25,0.168,466.0,689.0,0.5,15.1,1
TS005,4.25,4.6,0.206,774.0,1449.0,0.5,29.5,1
TS005,4.6,4.65,0.278,1153.0,488.0,0.5,13.9,1
TS005,4.65,5.48,0.433,1644.0,1161.0,2.91,31.8,0
TS005,5.48,6.3,0.266,749.0,759.0,17.47,30.2,0
TS005,6.3,6.35,0.342,591.0,502.0,1.72,15.2,0
TS005,6.35,7.65,0.682,1196.0,737.0,2.18,33.1,0
TS005,7.65,7.85,0.462,1018.0,567.0,0.6,14.6,0
TS005,7.85,7.95,0.311,695.0,1053.0,1.84,37.0,0
TS005,7.95,8.2,0.62,966.0,331.0,0.5,22.0,1
TS005,8.2,9.2,0.422,487.0,620.0,1.09,30.3,0
TS005,9.2,10.2,0.537,898.0,412.0,2.95,28.1,0
TS005,10.2,11.2,0.43,536.0,382.0,3.52,32.0,0
TS005,11.2,12.2,0.36,418.0,959.0,4.17,29.9,0
TS005,12.2,12.4,0.846,1120.0,326.0,2.16,11.4,0
TS005,12.4,13.37,0.512,720.0,927.0,3.67,33.6,0
TS005,13.37,14.33,0.737,801.0,1261.0,5.63,32.0,0
TS005,14.33,15.3,0.272,286.0,503.0,0.55,33.5,0
TS005,15.3,15.55,0.371,542.0,657.0,0.5,11.5,1
TS005,15.55,16.54,0.55,1049.0,2372.0,3.76,30.7,0
TS005,16.54,17.53,0.704,528.0,901.0,9.86,35.0,0
TS005,17.53,18.52,0.18,268.0,728.0,1.97,33.2,0
TS005,18.52,19.51,0.586,412.0,91.0,5.61,33.8,0
TS005,19.51,20.5,0.821,554.0,112.0,1.72,30.3,0
TS005,20.5,20.8,1.09,722.0,160.0,0.5,10.7,1
TS005,20.8,20.9,0.472,400.0,208.0,2.71,33.0,0
TS005,20.9,21.25,0.677,407.0,182.0,0.75,15.4,0
TS005,21.25,21.7,0.984,535.0,387.0,1.13,33.8,0
TS005,21.7,22.3,0.829,449.0,280.0,0.5,13.4,1
TS005,22.3,22.65,0.661,891.0,966.0,2.44,37.5,0
TS005,22.65,22.7,0.847,1111.0,170.0,1.03,13.4,0
TS005,22.7,23.75,0.299,383.0,1225.0,4.75,33.8,0
TS005,23.75,24.8,0.309,604.0,267.0,1.48,31.5,0
TS005,24.8,24.85,0.489,581.0,286.0,0.87,12.2,0
TS005,24.85,25.25,0.42,409.0,938.0,2.25,33.8,0
TS005,25.25,25.55,0.556,890.0,550.0,0.5,14.6,1
TS005,25.55,25.6,0.611,713.0,711.0,0.83,32.8,0
TS005,25.6,25.65,0.502,586.0,584.0,0.5,12.5,1
TS005,25.65,25.7,0.459,477.0,723.0,1.35,30.3,0
TS005,25.7,26.75,0.007,32.0,20.0,0.5,20.1,1
TS005,26.75,27.8,0.007,35.0,15.0,0.5,14.5,1
TS006,0.0,1.05,0.223,453.0,416.0,0.5,33.8,1
TS006,1.05,1.55,0.517,830.0,159.0,0.62,14.6,0
TS006,1.55,1.8,0.37,1653.0,192.0,1.17,31.7,0
TS006,1.8,1.9,0.505,1184.0,195.0,0.5,15.8,1
TS006,1.9,2.05,0.246,891.0,286.0,0.6,35.2,0
TS006,2.05,2.65,0.518,770.0,283.0,2.04,16.1,0
TS006,2.65,3.73,0.36,849.0,700.0,0.5,33.0,1
TS006,3.73,4.82,0.29,851.0,1458.0,2.35,35.6,0
TS006,4.82,5.9,0.261,403.0,653.0,4.28,33.2,0
TS006,5.9,6.0,0.246,610.0,393.0,0.56,15.2,0
TS006,6.0,6.2,0.276,757.0,911.0,0.9,33.7,0
TS006,6.2,6.25,0.388,790.0,266.0,0.5,17.7,1
TS006,6.25,6.3,0.635,847.0,664.0,1.07,37.7,0
TS006,6.3,6.65,0.428,824.0,371.0,0.5,14.8,1
TS006,6.65,7.85,0.364,1032.0,815.0,1.39,31.9,0
TS006,7.85,9.05,0.399,429.0,491.0,0.5,29.4,1
TS006,9.05,9.1,0.294,424.0,133.0,0.5,9.4,1
TS006,9.1,9.97,0.362,421.0,295.0,0.5,26.7,1
TS006,9.97,10.83,0.483,702.0,235.0,0.5,29.0,1
TS006,10.83,11.7,0.86,1101.0,221.0,1.24,34.1,0
TS006,11.7,12.25,0.618,634.0,172.0,0.59,17.5,0
TS006,12.25,12.3,0.382,644.0,371.0,0.78,34.3,0
TS006,12.3,12.45,0.797,865.0,198.0,0.57,12.1,0
TS006,12.45,13.32,0.996,1109.0,905.0,1.0,29.7,0
TS006,13.32,14.2,0.882,1316.0,316.0,2.6,34.4,0
TS006,14.2,14.3,0.917,1191.0,228.0,0.5,13.2,1
TS006,14.3,15.3,0.499,549.0,702.0,0.67,26.7,0
TS006,15.3,16.3,0.885,956.0,1294.0,0.5,31.8,0
TS006,16.3,16.4,0.448,534.0,319.0,0.5,12.7,1
TS006,16.4,16.5,0.509,592.0,1145.0,0.9,28.7,0
TS006,16.5,16.55,0.403,697.0,540.0,0.62,13.2,0
TS006,16.55,16.7,0.181,444.0,1621.0,1.02,33.5,0
TS006,16.7,16.75,0.299,594.0,521.0,0.51,15.1,0
TS006,16.75,17.0,0.337,466.0,529.0,2.26,29.1,0
TS006,17.0,17.1,0.222,379.0,347.0,2.6,12.9,0
TS006,17.1,17.15,0.335,546.0,1064.0,11.75,30.4,0
TS006,17.15,17.2,0.422,403.0,355.0,0.93,14.5,0
TS006,17.2,17.7,0.285,359.0,933.0,5.11,29.8,0
TS006,17.7,17.8,0.859,971.0,429.0,0.83,11.2,0
TS006,17.8,18.75,1.102,699.0,587.0,1.26,30.3,0
TS006,18.75,19.7,0.376,697.0,740.0,1.47,30.6,0
TS006,19.7,20.95,0.017,42.0,7.0,0.5,8.4,1
TS006,20.95,22.2,0.013,62.0,13.0,0.5,13.6,1
TS007,0.0,0.05,0.138,715.0,503.0,0.5,33.0,1
TS007,0.05,0.15,0.189,977.0,560.0,0.5,14.3,1
TS007,0.15,0.25,0.223,768.0,685.0,1.03,33.6,0
TS007,0.25,0.45,0.294,1354.0,328.0,0.5,12.8,1
TS007,0.45,0.6,0.266,1834.0,937.0,0.5,30.9,1
TS007,0.6,0.65,0.169,1251.0,413.0,0.5,12.6,1
TS007,0.65,0.8,0.355,968.0,516.0,0.5,30.5,1
TS007,0.8,1.2,0.497,1127.0,181.0,0.5,11.4,1
TS007,1.2,1.55,0.392,763.0,764.0,0.7,34.6,0
TS007,1.55,1.6,0.389,601.0,394.0,0.5,16.1,1
TS007,1.6,1.65,0.414,704.0,740.0,1.04,37.2,0
TS007,1.65,1.7,0.249,424.0,378.0,0.5,17.7,1
TS007,1.7,2.45,0.305,926.0,707.0,0.52,30.5,0
TS007,2.45,2.55,0.31,660.0,231.0,0.5,15.0,1
TS007,2.55,3.8,0.458,690.0,675.0,1.2,38.3,0
TS007,3.8,3.85,0.432,600.0,406.0,0.5,10.9,0
TS007,3.85,4.95,0.321,780.0,450.0,2.27,30.5,0
TS007,4.95,5.3,0.221,478.0,268.0,0.51,12.0,0
TS007,5.3,5.8,0.269,517.0,288.0,0.65,29.9,0
TS007,5.8,6.15,0.209,617.0,152.0,0.5,12.4,1
TS007,6.15,6.7,0.559,918.0,409.0,1.17,32.9,0
TS007,6.7,6.75,0.886,1200.0,104.0,0.5,10.3,1
TS007,6.75,7.83,0.296,436.0,437.0,1.39,25.1,0
TS007,7.83,8.92,0.27,496.0,563.0,3.17,29.0,0
TS007,8.92,10.0,1.037,1558.0,669.0,0.5,35.3,1
TS007,10.0,10.75,0.01,54.0,11.0,0.5,19.5,1
TS007,10.75,11.5,0.006,35.0,9.0,0.5,16.0,1
TS008,0.0,0.15,0.33,778.0,341.0,0.5,13.2,1
TS008,0.15,0.8,0.221,702.0,504.0,0.5,27.5,1
TS008,0.8,0.85,0.24,790.0,225.0,0.5,10.1,1
TS008,0.85,0.95,0.253,1152.0,288.0,0.71,28.4,0
TS008,0.95,1.7,0.19,875.0,185.0,0.5,14.9,1
TS008,1.7,2.8,0.226,641.0,601.0,0.64,26.3,0
TS008,2.8,3.9,0.262,281.0,741.0,2.59,36.1,0
TS008,3.9,5.0,0.186,540.0,289.0,0.5,33.4,1
TS008,5.0,5.05,0.135,375.0,157.0,0.5,11.3,1
TS008,5.05,6.22,0.102,321.0,551.0,0.61,32.5,0
TS008,6.22,7.4,0.55,823.0,340.0,0.88,30.5,0
TS008,7.4,8.5,0.014,43.0,17.0,0.5,20.1,1
TS008,8.5,9.6,0.015,32.0,15.0,0.5,20.9,1
TS009,0.0,0.7,,,341.0,0.5,15.7,1
TS009,0.7,0.8,0.166,518.0,264.0,0.5,33.8,1
TS009,0.8,0.85,0.392,832.0,128.0,0.5,19.7,1
TS009,0.85,1.0,0.448,829.0,302.0,0.61,42.8,0
TS009,1.0,1.55,0.253,771.0,91.0,0.74,19.7,0
TS009,1.55,2.25,0.406,804.0,347.0,1.14,33.9,0
TS009,2.25,2.35,0.365,793.0,115.0,0.5,15.1,1
TS009,2.35,2.4,0.318,880.0,249.0,2.48,31.6,0
TS009,2.4,2.45,0.282,735.0,140.0,0.87,15.1,0
TS009,2.45,2.6,0.327,846.0,345.0,3.08,30.9,0
TS009,2.6,2.8,0.633,1014.0,193.0,0.52,14.1,0
TS009,2.8,2.95,0.709,920.0,1377.0,0.5,31.0,0
TS009,2.95,3.15,0.679,1203.0,255.0,0.5,13.4,1
TS009,3.15,3.2,0.759,1133.0,481.0,0.5,32.6,1
TS009,3.2,3.25,0.638,898.0,252.0,0.5,12.8,1
TS009,3.25,3.7,0.26,616.0,637.0,0.5,33.9,1
TS009,3.7,3.75,0.298,705.0,192.0,0.5,17.0,1
TS009,3.75,3.8,0.266,469.0,698.0,0.76,34.7,0
TS009,3.8,3.85,0.203,509.0,229.0,0.5,17.1,1
TS009,3.85,4.2,0.359,609.0,1160.0,1.05,32.2,0
TS009,4.2,4.25,0.319,574.0,658.0,0.5,14.4,1
TS009,4.25,4.35,0.409,616.0,1373.0,0.5,35.2,1
TS009,4.35,4.85,0.48,823.0,292.0,0.5,17.7,1
TS009,4.85,5.7,0.23,466.0,391.0,0.5,32.3,1
TS009,5.7,5.9,0.36,385.0,1082.0,0.5,15.0,1
TS009,5.9,6.1,0.315,533.0,1172.0,0.88,35.4,0
TS009,6.1,6.15,0.585,846.0,374.0,0.5,12.6,1
TS009,6.15,6.65,0.412,724.0,758.0,1.18,32.1,0
TS009,6.65,6.7,0.368,371.0,200.0,0.82,16.9,0
TS009,6.7,6.8,0.399,525.0,484.0,1.49,32.3,0
TS009,6.8,7.05,0.367,722.0,267.0,0.66,13.2,0
TS009,7.05,7.1,0.39,714.0,455.0,3.02,30.3,0
TS009,7.1,8.3,0.008,30.0,31.0,0.5,12.8,1
TS010,0.0,0.65,0.418,728.0,901.0,1.16,34.9,0
TS010,0.65,1.0,0.266,780.0,300.0,0.5,12.0,1
TS010,1.0,1.75,0.323,537.0,433.0,0.5,27.4,1
TS010,1.75,2.5,0.314,509.0,497.0,0.5,28.8,1
TS010,2.5,2.75,0.415,700.0,328.0,0.5,6.7,1
TS010,2.75,3.63,0.45,689.0,288.0,0.5,28.1,1
TS010,3.63,4.52,0.262,561.0,334.0,0.5,37.9,1
TS010,4.52,5.4,0.157,452.0,588.0,0.95,30.9,0
TS010,5.4,5.45,0.304,672.0,143.0,0.5,14.1,1
TS010,5.45,5.55,0.356,439.0,517.0,0.68,30.8,0
TS010,5.55,6.05,0.474,976.0,210.0,0.5,15.7,1
TS010,6.05,6.1,0.271,650.0,552.0,1.69,34.4,0
TS010,6.1,6.15,0.448,696.0,180.0,0.5,17.0,1
TS010,6.15,6.7,0.72,726.0,988.0,1.39,35.3,0
TS010,6.7,6.9,0.211,414.0,256.0,0.5,21.2,1
TS010,6.9,7.0,0.264,297.0,353.0,1.87,36.7,0
TS010,7.0,7.95,0.198,396.0,230.0,1.62,16.8,0
TS010,7.95,8.2,0.311,800.0,1043.0,1.03,29.0,0
TS010,8.2,9.4,0.008,20.0,10.0,0.5,14.0,1
TS010,9.4,10.6,0.007,22.0,8.0,0.5,19.8,1
TS011,0.0,0.6,,,345.0,0.5,14.4,1
TS011,0.6,1.2,,,332.0,0.65,14.2,0
TS011,1.2,2.3,0.374,384.0,525.0,0.5,26.4,1
TS011,2.3,3.4,0.276,404.0,462.0,0.5,33.0,1
TS011,3.4,4.5,0.193,478.0,961.0,0.5,36.7,1
TS011,4.5,4.75,0.38,637.0,624.0,0.88,21.9,0
TS011,4.75,5.0,0.207,860.0,860.0,2.26,37.7,0
TS011,5.0,5.05,0.43,955.0,685.0,1.83,17.0,0
TS011,5.05,6.05,0.4,897.0,611.0,2.06,34.8,0
TS011,6.05,6.1,0.357,899.0,223.0,0.5,12.9,1
TS011,6.1,6.85,0.553,1320.0,511.0,1.16,31.3,0
TS011,6.85,7.35,0.239,583.0,251.0,0.5,12.9,1
TS011,7.35,7.6,0.257,456.0,733.0,2.18,28.5,0
TS011,7.6,8.2,0.57,918.0,294.0,1.14,15.9,0
TS011,8.2,8.7,0.411,829.0,276.0,0.5,28.2,1
TS011,8.7,8.8,0.701,872.0,130.0,0.5,13.5,1
TS011,8.8,9.25,0.394,823.0,502.0,0.51,30.8,0
TS011,9.25,9.3,0.27,475.0,205.0,0.5,11.5,1
TS011,9.3,10.5,0.534,585.0,489.0,0.5,31.9,1
TS011,10.5,11.35,0.016,55.0,18.0,0.5,23.0,1
TS011,11.35,12.2,0.005,23.0,20.0,0.5,18.5,1
TS012,0.0,0.55,,,212.0,0.5,13.9,1
TS012,0.55,1.1,,,133.0,0.5,18.7,1
TS012,1.1,2.08,0.209,533.0,337.0,2.69,31.5,0
TS012,2.08,3.07,0.265,379.0,700.0,0.5,29.8,1
TS012,3.07,4.05,0.717,779.0,291.0,0.79,30.9,0
TS012,4.05,4.7,0.126,211.0,326.0,1.02,12.5,0
TS012,4.7,4.85,0.123,307.0,1223.0,1.89,37.0,0
TS012,4.85,4.9,0.146,384.0,798.0,1.83,18.5,0
TS012,4.9,5.0,0.252,313.0,1196.0,4.03,33.7,0
TS012,5.0,5.15,0.126,265.0,368.0,1.9,18.8,0
TS012,5.15,6.35,0.592,786.0,722.0,1.07,35.3,0
TS012,6.35,6.4,0.282,540.0,198.0,0.5,12.1,1
TS012,6.4,7.15,0.309,992.0,591.0,0.98,34.8,0
TS012,7.15,7.2,0.31,494.0,336.0,0.5,13.3,1
TS012,7.2,7.45,0.336,568.0,512.0,3.96,31.5,0
TS012,7.45,7.95,0.402,604.0,314.0,0.5,13.8,1
TS012,7.95,8.0,0.55,593.0,527.0,2.05,32.6,0
TS012,8.0,8.05,0.567,627.0,214.0,0.9,16.9,0
TS012,8.05,9.2,0.617,1273.0,608.0,0.96,31.5,0
TS012,9.2,10.35,0.377,607.0,687.0,2.7,33.9,0
TS012,10.35,11.5,0.831,1262.0,617.0,7.33,35.5,0
TS012,11.5,11.9,0.695,1742.0,264.0,2.66,15.6,0
TS012,11.9,12.1,0.476,1442.0,624.0,3.65,34.3,0
TS012,12.1,12.15,0.337,1193.0,377.0,1.26,13.1,0
TS012,12.15,12.2,0.229,559.0,987.0,3.07,32.8,0
TS012,12.2,13.15,0.015,61.0,15.0,0.5,12.0,1
TS012,13.15,14.1,0.006,30.0,31.0,0.5,14.1,1
TS013,0.0,0.48,,,420.0,0.61,13.5,0
TS013,0.48,0.97,,,189.0,0.5,17.0,1
TS013,0.97,1.45,,,307.0,0.5,11.9,1
TS013,1.45,2.7,0.309,795.0,568.0,0.84,30.1,0
TS013,2.7,3.95,0.31,769.0,337.0,0.63,35.7,0
TS013,3.95,4.5,0.212,561.0,339.0,0.94,20.8,0
TS013,4.5,4.55,0.218,704.0,330.0,19.27,34.7,0
TS013,4.55,5.05,0.305,510.0,101.0,1.07,15.5,0
TS013,5.05,5.75,0.131,445.0,239.0,2.78,31.8,0
TS013,5.75,6.05,0.294,754.0,358.0,1.09,13.5,0
TS013,6.05,6.1,0.184,858.0,660.0,0.5,27.8,1
TS013,6.1,6.15,0.178,763.0,430.0,0.5,10.9,1
TS013,6.15,6.25,0.454,757.0,373.0,2.35,28.5,0
TS013,6.25,6.3,0.361,883.0,155.0,0.74,10.1,0
TS013,6.3,6.7,0.523,1086.0,736.0,3.1,30.0,0
TS013,6.7,6.8,0.466,1035.0,170.0,0.65,12.4,0
TS013,6.8,7.25,0.311,577.0,617.0,1.15,34.7,0
TS013,7.25,7.65,0.808,1006.0,253.0,0.5,17.4,1
TS013,7.65,7.95,0.814,844.0,492.0,1.47,33.7,0
TS013,7.95,8.0,0.427,963.0,210.0,0.66,18.8,0
TS013,8.0,8.05,0.707,1648.0,342.0,1.66,38.9,0
TS013,8.05,8.1,0.585,1773.0,243.0,0.64,19.1,0
TS013,8.1,8.15,0.556,841.0,565.0,0.68,35.0,0
TS013,8.15,8.2,0.375,722.0,238.0,0.5,18.2,1
TS013,8.2,8.7,0.4,956.0,519.0,0.95,36.2,0
TS013,8.7,8.75,0.352,1133.0,485.0,0.55,15.8,0
TS013,8.75,9.05,0.467,965.0,1017.0,1.39,31.7,0
TS013,9.05,9.1,0.54,1280.0,538.0,0.5,14.5,1
TS013,9.1,9.93,0.504,941.0,484.0,3.28,31.5,0
TS013,9.93,10.75,0.908,776.0,645.0,19.78,33.0,0
TS013,10.75,11.05,0.525,1041.0,347.0,1.19,15.8,0
TS013,11.05,11.35,0.498,1653.0,460.0,4.98,34.5,0
TS013,11.35,11.6,0.478,1451.0,530.0,4.52,14.9,0
TS013,11.6,11.65,0.435,1182.0,826.0,5.34,27.6,0
TS013,11.65,12.8,0.731,2026.0,320.0,1.85,9.2,0
TS013,12.8,13.15,0.608,621.0,810.0,1.33,28.9,0
TS013,13.15,13.35,0.262,329.0,308.0,0.5,12.6,1
TS013,13.35,13.55,0.258,410.0,597.0,0.5,26.5,1
TS013,13.55,14.35,0.232,433.0,414.0,0.82,11.8,0
TS013,14.35,15.3,0.282,359.0,435.0,5.7,31.7,0
TS013,15.3,15.35,0.504,430.0,389.0,0.5,11.6,1
TS013,15.35,15.4,0.691,480.0,502.0,1.77,29.5,0
TS013,15.4,16.3,0.248,360.0,510.0,0.5,13.7,1
TS013,16.3,16.45,0.349,436.0,673.0,0.7,28.9,0
TS013,16.45,16.55,0.316,591.0,207.0,0.5,14.2,1
TS013,16.55,16.6,0.377,467.0,560.0,1.53,31.5,0
TS013,16.6,16.65,0.261,464.0,303.0,0.5,14.4,1
TS013,16.65,18.0,0.008,53.0,18.0,0.5,18.2,1
TS014,0.0,0.48,,,314.0,0.65,13.7,0
TS014,0.48,0.95,,,205.0,0.5,15.9,1
TS014,0.95,1.2,0.244,682.0,190.0,0.5,14.4,1
TS014,1.2,2.25,0.333,676.0,228.0,0.5,28.4,1
TS014,2.25,3.3,0.44,552.0,468.0,0.5,26.1,1
TS014,3.3,4.35,0.222,272.0,735.0,0.5,30.3,1
TS014,4.35,5.6,0.138,491.0,343.0,0.54,11.9,0
TS014,5.6,5.65,0.285,850.0,379.0,6.72,30.4,0
TS014,5.65,5.7,0.487,1088.0,155.0,1.92,7.5,0
TS014,5.7,6.65,0.377,1082.0,528.0,4.78,36.8,0
TS014,6.65,6.9,0.627,1371.0,410.0,0.92,14.4,0
TS014,6.9,7.0,0.183,430.0,1066.0,5.86,29.0,0
TS014,7.0,7.05,0.27,641.0,329.0,2.96,8.8,0
