ID,X,Y,CU_PPM,ZN_PPM,AU_PPB,AS_PPM,AU_BDL,AS_BDL
71,7605.2,7704.4,55.0,,2.0,5.0,1,0
72,7653.4,7697.1,38.0,47.0,2.0,6.0,1,0
73,7698.2,7711.3,38.0,108.0,2.8,5.0,0,0
74,7799.9,7694.0,56.0,67.0,3.2,27.0,0,0
75,7845.1,7694.2,50.0,,3.1,8.0,0,0
76,7895.3,7699.2,62.0,77.0,6.5,6.0,0,0
77,7952.9,7700.5,76.0,137.0,6.5,6.0,0,0
78,8003.1,7698.4,50.0,111.0,3.4,5.0,0,1
79,3194.2,8498.5,34.0,45.0,2.0,5.0,1,0
80,3249.8,8508.3,33.0,84.0,2.0,5.0,1,0
81,3305.3,8499.2,46.0,75.0,2.7,5.0,0,0
82,3353.5,8500.5,44.0,,5.4,8.0,0,0
83,3398.8,8498.6,26.0,193.0,2.0,5.0,1,1
84,3442.9,8506.3,33.0,121.0,2.0,5.0,1,0
85,3500.5,8495.2,40.0,,2.0,18.0,1,0
86,3548.2,8497.6,39.0,105.0,2.4,10.0,0,0
87,3599.3,8498.0,31.0,117.0,2.9,14.0,0,0
88,3656.5,8493.2,21.0,,2.0,5.0,1,1
89,3704.2,8499.4,31.0,,2.0,5.0,1,0
90,3753.9,8497.9,30.0,,3.8,5.0,0,1
91,3796.0,8500.8,24.0,123.0,2.7,5.0,0,0
92,3858.5,8495.1,20.0,73.0,2.0,5.0,1,1
93,4008.3,8500.3,21.0,,6.4,5.0,0,1
94,4053.3,8501.0,45.0,107.0,3.1,5.0,0,1
95,4102.3,8498.1,37.0,145.0,2.0,5.0,1,1
96,4147.1,8505.1,54.0,202.0,8.0,9.0,0,0
97,4200.3,8502.4,31.0,93.0,2.0,6.0,1,0
98,4245.6,8503.9,28.0,110.0,2.0,6.0,1,0
99,4305.5,8500.8,26.0,,2.0,5.0,1,1
100,4343.7,8503.2,25.0,94.0,2.4,9.0,0,0
101,4393.5,8502.4,25.0,59.0,2.0,9.0,1,0
102,4453.5,8494.9,40.0,76.0,2.0,5.0,1,0
103,4497.2,8494.4,43.0,73.0,4.2,16.0,0,0
104,4546.5,8494.2,43.0,66.0,2.0,8.0,1,0
105,4593.2,8492.9,44.0,42.0,2.0,11.0,1,0
106,4652.6,8500.7,29.0,,2.0,5.0,1,1
107,4704.4,8498.6,47.0,107.0,4.8,5.0,0,0
108,4755.5,8494.8,54.0,,4.8,5.0,0,1
109,4799.6,8498.8,49.0,123.0,2.0,6.0,1,0
110,4845.2,8496.3,65.0,,5.7,7.0,0,0
111,4946.8,8501.4,42.0,159.0,5.9,5.0,0,1
112,5001.1,8499.0,67.0,161.0,6.2,10.0,0,0
113,5046.9,8498.5,62.0,80.0,7.1,9.0,0,0
114,5103.0,8500.6,69.0,66.0,2.0,12.0,1,0
115,5148.4,8498.7,89.0,87.0,9.1,9.0,0,0
116,5207.1,8498.4,62.0,61.0,5.1,7.0,0,0
117,5248.9,8502.6,132.0,,8.0,6.0,0,0
118,5298.2,8494.3,98.0,,20.9,16.0,0,0
119,5346.8,8498.3,119.0,114.0,5.7,11.0,0,0
120,5399.7,8499.0,107.0,52.0,8.1,8.0,0,0
121,5446.1,8500.3,76.0,151.0,5.3,6.0,0,0
122,5558.5,8495.7,73.0,44.0,2.0,10.0,1,0
123,5606.3,8505.6,94.0,46.0,11.7,12.0,0,0
124,5655.0,8503.9,91.0,47.0,9.6,5.0,0,1
125,5695.5,8497.4,73.0,52.0,3.2,5.0,0,1
126,5752.6,8496.4,77.0,63.0,2.0,5.0,1,1
127,5803.1,8495.8,78.0,47.0,8.4,5.0,0,1
128,5845.1,8500.4,90.0,54.0,5.4,5.0,0,1
129,5898.0,8501.5,80.0,128.0,5.6,7.0,0,0
130,5947.7,8493.7,50.0,50.0,5.3,5.0,0,1
131,6001.9,8495.1,31.0,43.0,3.4,5.0,0,1
132,6048.5,8504.9,73.0,72.0,2.8,7.0,0,0
133,6148.7,8500.2,54.0,,4.5,7.0,0,0
134,6203.6,8505.5,45.0,,2.2,6.0,0,0
135,6248.9,8497.8,46.0,58.0,15.5,11.0,0,0
136,6353.7,8493.0,28.0,30.0,2.0,5.0,1,0
137,6394.0,8491.2,58.0,44.0,5.5,10.0,0,0
138,6449.5,8503.1,29.0,44.0,2.0,6.0,1,0
139,6498.6,8495.3,45.0,46.0,4.0,8.0,0,0
140,6549.4,8500.0,46.0,67.0,2.8,7.0,0,0
141,6602.6,8500.1,27.0,47.0,2.0,8.0,1,0
142,6645.9,8500.7,23.0,76.0,2.0,8.0,1,0
143,6750.7,8500.2,17.0,30.0,2.0,5.0,1,0
144,6799.8,8489.7,15.0,77.0,2.0,6.0,1,0
145,6853.7,8496.3,23.0,31.0,2.0,6.0,1,0
146,6898.9,8491.6,13.0,29.0,2.0,5.0,1,1
147,6945.3,8493.1,26.0,98.0,4.0,15.0,0,0
148,6998.8,8502.0,18.0,104.0,2.0,5.0,1,1
149,7050.1,8500.5,35.0,112.0,7.9,7.0,0,0
150,7101.0,8503.1,40.0,58.0,2.0,5.0,1,1
151,7196.2,8502.1,31.0,65.0,3.4,5.0,0,1
152,7290.2,8497.9,60.0,,5.8,10.0,0,0
153,7395.3,8503.1,25.0,24.0,2.5,5.0,0,0
154,7499.2,8498.2,26.0,42.0,2.0,19.0,1,0
155,7554.0,8495.8,27.0,34.0,2.0,5.0,1,0
156,7605.2,8504.8,27.0,,2.0,17.0,0,0
157,7697.1,8496.8,29.0,61.0,2.0,5.0,1,0
158,7752.1,8501.2,43.0,49.0,5.2,5.0,0,0
159,7804.7,8498.8,45.0,52.0,2.0,14.0,1,0
160,7852.6,8495.0,45.0,42.0,2.0,6.0,1,0
161,7995.4,8498.7,67.0,117.0,3.3,24.0,0,0
162,8050.2,8504.3,96.0,,6.2,52.0,0,0
163,8103.6,8500.6,50.0,,6.7,18.0,0,0
164,8139.6,8508.2,105.0,102.0,29.4,63.0,0,0
165,8206.3,8502.3,54.0,,5.3,27.0,0,0
166,8253.3,8500.8,80.0,93.0,6.7,71.0,0,0
167,8348.0,8507.8,54.0,88.0,10.1,16.0,0,0
168,8395.1,8501.4,45.0,,3.3,29.0,0,0
169,8442.2,8502.2,40.0,169.0,7.4,13.0,0,0
170,8502.2,8495.1,25.0,,2.5,15.0,0,0
171,8557.0,8501.0,38.0,103.0,8.6,18.0,0,0
172,8606.3,8503.2,24.0,,2.0,12.0,1,0
173,8705.4,8493.0,75.0,102.0,5.3,72.0,0,0
174,8758.3,8504.1,54.0,134.0,7.1,11.0,0,0
175,8799.9,8498.4,32.0,127.0,2.0,6.0,1,0
176,8855.1,8492.6,58.0,128.0,2.0,27.0,1,0
177,8903.2,8491.9,56.0,212.0,3.8,33.0,0,0
178,3047.9,8701.7,27.0,,3.2,5.0,0,1
179,3101.1,8698.0,44.0,45.0,2.0,5.0,1,0
180,3150.8,8701.1,33.0,81.0,2.0,9.0,1,0
181,3205.5,8697.0,78.0,95.0,13.2,10.0,0,0
182,3250.6,8693.8,36.0,83.0,3.3,6.0,0,0
183,3303.4,8694.9,30.0,166.0,2.0,6.0,1,0
184,3349.2,8702.1,63.0,249.0,18.6,24.0,0,0
185,3399.7,8696.3,75.0,285.0,2.9,9.0,0,0
186,3446.1,8703.3,48.0,,4.2,5.0,0,1
187,3503.4,8696.5,35.0,,5.2,5.0,0,0
188,3558.0,8697.4,72.0,297.0,5.6,19.0,0,0
189,3599.5,8701.9,62.0,118.0,2.0,9.0,0,0
190,3651.5,8700.7,19.0,90.0,2.0,9.0,1,0
191,3696.1,8702.1,24.0,,2.0,5.0,1,1
192,3745.8,8696.5,26.0,68.0,2.1,5.0,0,1
193,3794.7,8697.4,29.0,126.0,2.0,5.0,1,1
194,3849.4,8699.9,19.0,,2.0,5.0,0,1
195,3897.8,8702.5,18.0,,2.0,5.0,1,0
196,3951.9,8701.0,20.0,152.0,2.0,5.0,1,1
197,3999.5,8690.4,18.0,107.0,2.0,5.0,1,1
198,4052.8,8696.2,40.0,114.0,2.0,7.0,1,0
199,4098.1,8699.9,24.0,72.0,2.0,9.0,1,0
200,4151.0,8698.8,25.0,96.0,2.0,9.0,1,0
201,4200.9,8698.7,41.0,112.0,2.0,9.0,1,0
202,4244.4,8697.2,47.0,196.0,2.0,5.0,1,0
203,4295.5,8692.4,30.0,,2.0,15.0,1,0
204,4349.4,8701.8,25.0,129.0,2.0,5.0,1,1
205,4447.9,8701.5,24.0,73.0,7.0,5.0,0,0
206,4493.5,8696.0,29.0,,2.0,5.0,1,1
207,4547.8,8694.0,37.0,165.0,2.0,12.0,1,0
208,4597.7,8692.1,21.0,109.0,2.0,11.0,1,0
209,4645.4,8702.8,20.0,66.0,2.0,5.0,1,1
210,4712.1,8698.3,53.0,75.0,12.9,8.0,0,0
211,4753.6,8695.4,34.0,,6.6,8.0,0,0
212,4798.8,8699.5,51.0,64.0,2.0,8.0,1,0
213,4848.0,8702.3,61.0,,2.5,8.0,0,0
214,4946.2,8698.0,58.0,96.0,3.7,9.0,0,0
215,4999.4,8697.5,65.0,,2.0,11.0,1,0
216,5050.1,8699.7,81.0,86.0,3.1,8.0,0,0
217,5100.8,8698.7,39.0,,2.0,8.0,1,0
218,5152.2,8706.0,72.0,125.0,4.4,25.0,0,0
219,5197.3,8703.1,74.0,112.0,6.0,7.0,0,0
220,5246.7,8699.8,75.0,90.0,2.0,12.0,0,0
221,5344.3,8693.3,167.0,136.0,15.7,25.0,0,0
222,5399.0,8707.5,91.0,79.0,2.4,5.0,0,0
223,5447.0,8695.8,85.0,,4.1,5.0,0,0
224,5501.9,8702.6,79.0,70.0,18.2,6.0,0,0
225,5542.2,8704.8,57.0,64.0,2.0,5.0,1,1
226,5596.1,8691.3,71.0,93.0,9.6,5.0,0,0
227,5649.7,8701.6,79.0,,5.1,10.0,0,0
228,5800.9,8703.4,134.0,85.0,6.3,6.0,0,0
229,5847.9,8697.2,96.0,,4.1,6.0,0,0
230,5897.0,8697.4,77.0,113.0,4.7,6.0,0,0
231,6052.4,8695.4,96.0,95.0,2.8,14.0,0,0
232,6100.0,8698.5,117.0,,2.9,10.0,0,0
233,6153.0,8699.5,79.0,,11.7,11.0,0,0
234,6198.5,8703.7,47.0,54.0,2.0,11.0,1,0
235,6247.1,8699.5,106.0,116.0,8.5,38.0,0,0
236,6304.8,8694.9,39.0,32.0,2.4,5.0,0,1
237,6347.2,8698.6,33.0,33.0,2.0,5.0,1,1
238,6409.9,8702.8,54.0,42.0,2.0,6.0,1,0
239,6455.3,8700.4,45.0,50.0,3.9,6.0,0,0
240,6497.9,8703.0,30.0,,3.1,5.0,0,1
241,6554.6,8698.2,27.0,,2.0,8.0,1,0
242,6651.2,8699.2,42.0,37.0,2.0,15.0,1,0
243,6693.3,8702.5,27.0,46.0,2.0,5.0,1,1
244,6799.2,8693.7,19.0,,2.0,11.0,1,0
245,6852.8,8701.0,17.0,36.0,2.9,5.0,0,1
246,6896.4,8705.1,16.0,21.0,2.0,9.0,1,0
247,6951.7,8699.2,58.0,67.0,4.5,25.0,0,0
248,7009.1,8706.4,19.0,,2.0,5.0,1,0
249,7053.6,8694.2,27.0,,2.0,6.0,1,0
250,7097.8,8698.6,28.0,26.0,2.0,5.0,1,1
251,7146.6,8700.2,23.0,25.0,2.0,9.0,1,0
252,7201.2,8701.7,40.0,22.0,5.4,5.0,0,1
253,7252.3,8694.6,25.0,22.0,10.4,8.0,0,0
254,7301.1,8696.8,31.0,68.0,2.0,5.0,1,0
255,7350.7,8706.7,36.0,67.0,5.6,5.0,0,1
256,7405.0,8698.7,26.0,64.0,2.0,8.0,1,0
257,7450.0,8705.4,46.0,65.0,9.1,11.0,0,0
258,7507.3,8702.1,57.0,45.0,7.1,17.0,0,0
259,7554.2,8701.3,39.0,37.0,5.9,7.0,0,0
260,7602.7,8698.8,25.0,70.0,2.0,5.0,1,1
261,7652.7,8699.9,43.0,81.0,2.6,5.0,0,1
262,7698.1,8694.7,26.0,,2.0,5.0,1,0
263,7748.2,8700.0,34.0,45.0,2.0,5.0,1,1
264,7800.5,8705.4,18.0,41.0,2.0,6.0,1,0
265,7848.6,8700.3,44.0,51.0,3.5,5.0,0,0
266,7897.1,8705.0,36.0,86.0,6.1,22.0,0,0
267,7958.3,8704.5,32.0,65.0,2.0,15.0,1,0
268,7999.7,8698.6,27.0,75.0,2.0,24.0,1,0
269,8047.8,8697.3,47.0,64.0,5.8,44.0,0,0
270,8101.8,8695.9,32.0,86.0,2.0,52.0,1,0
271,8150.3,8698.6,47.0,73.0,8.5,36.0,0,0
272,8204.8,8698.9,81.0,,14.0,100.0,0,0
273,8251.6,8702.7,60.0,84.0,4.5,37.0,0,0
274,8347.0,8700.5,40.0,254.0,3.6,16.0,0,0
275,8396.7,8705.1,59.0,120.0,2.2,14.0,0,0
276,8445.9,8699.7,94.0,161.0,19.4,17.0,0,0
277,8501.5,8694.9,65.0,164.0,3.6,21.0,0,0
278,8546.2,8696.5,35.0,94.0,2.0,18.0,1,0
279,8608.1,8702.1,83.0,149.0,3.7,26.0,0,0
280,8644.9,8700.2,55.0,84.0,2.9,8.0,0,0
281,8704.2,8692.0,21.0,83.0,2.0,5.0,1,0
282,8756.3,8695.9,32.0,68.0,2.6,5.0,0,0
283,8801.0,8696.0,37.0,87.0,2.0,5.0,1,1
284,8848.6,8695.1,64.0,81.0,12.1,5.0,0,0
285,8892.2,8698.2,51.0,,2.0,11.0,1,0
286,8952.1,8699.0,44.0,52.0,2.8,5.0,0,1
287,3007.1,8900.9,27.0,44.0,2.8,5.0,0,1
288,3052.0,8904.5,25.0,67.0,2.0,5.0,1,1
289,3150.0,8896.2,34.0,,2.0,9.0,1,0
290,3202.0,8897.7,26.0,55.0,2.0,24.0,1,0
291,3246.8,8903.0,59.0,97.0,8.6,24.0,0,0
292,3297.0,8903.7,61.0,80.0,2.9,20.0,0,0
293,3348.2,8903.4,82.0,144.0,4.9,19.0,0,0
294,3400.4,8893.7,36.0,86.0,6.7,9.0,0,0
295,3446.0,8901.8,59.0,,2.0,13.0,0,0
296,3499.3,8904.0,35.0,132.0,2.0,6.0,1,0
297,3558.1,8900.1,38.0,,9.7,9.0,0,0
298,3593.2,8901.4,38.0,78.0,2.0,6.0,1,0
299,3654.0,8902.1,39.0,94.0,2.0,22.0,1,0
300,3702.1,8901.1,46.0,,2.4,13.0,0,0
301,3747.0,8900.9,41.0,153.0,6.2,10.0,0,0
302,3798.8,8900.3,48.0,134.0,4.3,33.0,0,0
303,3848.9,8901.7,52.0,176.0,2.0,17.0,1,0
304,3895.2,8903.3,66.0,,4.7,9.0,0,0
305,3958.1,8893.0,37.0,,4.8,6.0,0,0
306,3995.4,8903.9,46.0,290.0,2.0,10.0,1,0
307,4046.9,8899.7,32.0,140.0,2.0,5.0,1,1
308,4099.7,8900.2,18.0,160.0,2.0,5.0,1,1
309,4136.6,8894.6,34.0,116.0,3.9,15.0,0,0
310,4199.8,8907.8,38.0,219.0,2.0,8.0,1,0
311,4254.2,8905.1,23.0,73.0,2.0,5.0,1,1
312,4292.5,8899.4,17.0,36.0,2.0,7.0,1,0
313,4348.9,8907.0,37.0,93.0,2.0,9.0,1,0
314,4401.2,8901.2,34.0,75.0,2.3,6.0,0,0
315,4450.2,8901.6,31.0,48.0,2.0,13.0,1,0
316,4494.2,8900.8,49.0,118.0,2.0,16.0,1,0
317,4547.5,8901.2,69.0,130.0,3.8,5.0,0,1
318,4605.1,8898.8,41.0,51.0,6.0,5.0,0,1
319,4644.2,8902.6,89.0,140.0,4.7,20.0,0,0
320,4695.1,8892.4,22.0,87.0,2.0,5.0,1,1
321,4755.6,8907.6,52.0,119.0,2.5,6.0,0,0
322,4795.9,8899.4,62.0,106.0,2.0,10.0,1,0
323,4859.7,8894.4,34.0,86.0,2.0,28.0,1,0
324,4896.5,8901.3,49.0,75.0,6.6,15.0,0,0
325,5004.4,8903.2,20.0,45.0,2.0,7.0,1,0
326,5048.4,8899.4,55.0,,2.0,25.0,1,0
327,5103.8,8902.1,52.0,,2.0,9.0,1,0
328,5155.2,8907.8,52.0,,2.0,12.0,1,0
329,5200.1,8907.8,58.0,53.0,3.1,13.0,0,0
330,5253.2,8898.4,31.0,50.0,3.1,5.0,0,1
331,5302.2,8897.2,60.0,75.0,2.4,5.0,0,1
332,5352.4,8902.2,61.0,103.0,9.2,9.0,0,0
333,5400.5,8906.7,73.0,74.0,9.9,5.0,0,1
334,5445.9,8903.0,53.0,68.0,2.6,5.0,0,0
335,5499.0,8902.2,91.0,118.0,16.1,5.0,0,0
336,5553.0,8906.6,68.0,49.0,3.1,17.0,0,0
337,5601.3,8905.0,65.0,39.0,5.9,8.0,0,0
338,5654.1,8905.0,71.0,80.0,2.1,10.0,0,0
339,5703.3,8896.4,61.0,61.0,4.4,14.0,0,0
340,5757.1,8902.4,42.0,43.0,2.0,8.0,1,0
341,5804.7,8899.1,115.0,73.0,5.0,7.0,0,0
342,5898.8,8901.6,119.0,,13.3,26.0,0,0
343,5953.7,8902.9,127.0,,7.8,21.0,0,0
344,6004.9,8894.1,108.0,189.0,5.5,6.0,0,0
345,6046.2,8900.0,60.0,75.0,11.2,5.0,0,1
346,6103.9,8904.9,68.0,,2.0,5.0,1,1
347,6152.0,8908.7,94.0,122.0,6.4,14.0,0,0
348,6196.2,8903.2,52.0,56.0,5.3,5.0,0,0
349,6248.8,8894.6,89.0,,22.5,13.0,0,0
350,6298.8,8897.1,69.0,,2.2,13.0,0,0
351,6342.5,8898.1,58.0,44.0,4.7,12.0,0,0
352,6400.1,8898.8,56.0,74.0,2.0,5.0,1,1
353,6456.1,8895.5,88.0,,5.7,16.0,0,0
354,6505.1,8900.3,63.0,61.0,2.0,5.0,1,1
355,6545.0,8898.4,39.0,,2.0,8.0,1,0
356,6643.9,8900.6,45.0,29.0,3.0,5.0,0,1
357,6701.3,8905.2,31.0,22.0,2.0,5.0,1,1
358,6751.1,8896.8,19.0,,2.0,5.0,1,1
359,6803.0,8905.4,15.0,,2.0,5.0,1,1
360,6850.0,8895.8,28.0,45.0,2.0,14.0,1,0
361,6901.6,8901.0,23.0,,2.1,7.0,0,0
362,6952.4,8897.1,40.0,,2.0,5.0,1,0
363,6999.1,8906.5,45.0,,3.2,12.0,0,0
364,7052.5,8895.1,28.0,94.0,2.0,5.0,1,0
365,7100.5,8892.7,12.0,32.0,2.0,5.0,1,1
366,7148.4,8898.0,21.0,56.0,2.0,5.0,1,1
367,7247.4,8893.3,33.0,109.0,2.4,12.0,0,0
368,7303.0,8912.0,43.0,95.0,2.3,13.0,0,0
369,7350.8,8903.5,31.0,82.0,4.3,6.0,0,0
370,7451.9,8900.4,28.0,53.0,2.0,6.0,1,0
371,7498.4,8903.6,36.0,,2.1,5.0,0,1
372,7549.8,8892.7,47.0,,2.0,5.0,1,0
373,7600.0,8889.9,32.0,58.0,4.4,5.0,0,0
374,7646.6,8896.8,32.0,,2.3,6.0,0,0
375,7697.0,8893.4,36.0,63.0,3.8,7.0,0,0
376,7752.7,8905.4,60.0,,2.1,34.0,0,0
377,7803.1,8903.0,92.0,,3.5,33.0,0,0
378,7857.4,8895.0,32.0,61.0,2.0,5.0,1,1
379,7903.0,8894.8,37.0,40.0,2.0,8.0,1,0
380,7948.3,8898.9,39.0,24.0,3.0,22.0,0,0
381,8002.8,8898.3,40.0,,2.6,13.0,0,0
382,8056.1,8898.6,50.0,,10.2,18.0,0,0
383,8100.5,8898.9,39.0,91.0,2.0,23.0,1,0
384,8146.9,8897.9,29.0,51.0,2.0,5.0,0,0
385,8198.1,8903.1,27.0,,2.0,15.0,1,0
386,8251.6,8896.5,27.0,49.0,4.7,26.0,0,0
387,8301.8,8898.8,39.0,,2.6,20.0,0,0
388,8349.2,8903.1,44.0,45.0,2.0,8.0,1,0
389,8399.2,8903.8,44.0,,2.0,6.0,0,0
390,8501.7,8897.2,35.0,125.0,2.4,18.0,0,0
391,8552.3,8895.1,41.0,101.0,2.0,28.0,1,0
392,8600.2,8898.5,62.0,182.0,4.4,15.0,0,0
393,8646.1,8902.8,37.0,,3.7,9.0,0,0
394,8701.3,8895.8,28.0,112.0,2.0,7.0,1,0
395,8745.7,8904.3,29.0,80.0,3.2,5.0,0,0
396,8797.6,8896.9,43.0,,2.0,5.0,1,0
397,8852.1,8908.2,52.0,88.0,4.2,9.0,0,0
398,3004.7,9099.9,50.0,57.0,2.0,5.0,1,0
399,3048.6,9101.3,38.0,26.0,2.0,6.0,1,0
400,3101.4,9100.4,36.0,,2.0,5.0,1,1
401,3146.5,9097.3,27.0,,2.0,5.0,1,1
402,3194.6,9096.3,55.0,,2.5,19.0,0,0
403,3246.5,9097.1,34.0,97.0,2.0,10.0,1,0
404,3445.5,9106.0,67.0,143.0,7.7,32.0,0,0
405,3501.5,9104.5,60.0,82.0,10.6,10.0,0,0
406,3595.6,9096.4,89.0,165.0,3.2,10.0,0,0
407,3691.9,9100.7,68.0,203.0,5.1,19.0,0,0
408,3743.2,9099.1,59.0,169.0,2.9,7.0,0,0
409,3795.5,9102.0,41.0,,2.0,7.0,1,0
410,3900.3,9113.2,37.0,,2.0,5.0,1,1
411,3951.4,9100.3,86.0,283.0,9.1,15.0,0,0
412,3997.1,9092.7,55.0,113.0,4.7,27.0,0,0
413,4049.5,9101.5,54.0,,7.0,6.0,0,0
414,4102.9,9094.6,73.0,,14.2,22.0,0,0
415,4155.5,9100.7,55.0,206.0,2.0,28.0,0,0
416,4249.4,9103.7,33.0,,2.1,16.0,0,0
417,4294.6,9097.9,25.0,99.0,2.3,6.0,0,0
418,4352.3,9101.7,19.0,55.0,2.0,5.0,1,1
419,4400.4,9102.0,31.0,,2.0,9.0,1,0
420,4456.6,9099.4,36.0,105.0,2.0,14.0,1,0
421,4500.0,9102.6,26.0,57.0,2.0,6.0,1,0
422,4553.0,9097.9,38.0,,3.5,5.0,0,0
423,4600.1,9103.0,39.0,53.0,5.6,5.0,0,0
424,4646.9,9104.9,64.0,,8.6,9.0,0,0
425,4697.4,9098.7,62.0,,2.2,9.0,0,0
426,4754.4,9105.4,136.0,97.0,10.2,29.0,0,0
427,4802.2,9095.4,56.0,63.0,2.0,20.0,1,0
428,4846.3,9096.1,66.0,46.0,3.5,16.0,0,0
429,4900.6,9102.5,30.0,46.0,2.0,7.0,1,0
430,4947.2,9102.9,50.0,57.0,2.0,5.0,1,0
431,5001.7,9100.1,38.0,61.0,2.7,5.0,0,1
432,5049.3,9091.4,40.0,51.0,3.1,6.0,0,0
433,5098.1,9102.4,22.0,53.0,2.0,9.0,1,0
434,5202.9,9096.5,30.0,59.0,2.0,8.0,1,0
435,5249.0,9095.4,70.0,69.0,6.1,15.0,0,0
436,5301.2,9101.9,67.0,67.0,7.4,10.0,0,0
437,5354.5,9097.5,64.0,81.0,12.1,16.0,0,0
438,5406.8,9091.3,51.0,52.0,12.8,10.0,0,0
439,5451.7,9100.4,53.0,97.0,2.0,28.0,0,0
440,5494.9,9103.2,42.0,62.0,2.0,8.0,1,0
441,5545.1,9101.3,58.0,103.0,2.2,5.0,0,1
442,5601.6,9103.2,41.0,,2.0,5.0,1,1
443,5652.7,9091.9,47.0,,2.8,10.0,0,0
444,5696.0,9100.8,48.0,,4.4,7.0,0,0
