ID,X,Y,V,U,T
85,111.0,191.0,2.7,,1
86,110.0,208.0,17.9,,1
87,109.0,230.0,174.2,,2
88,109.0,249.0,12.9,,2
89,109.0,268.0,187.8,,2
90,111.0,291.0,268.8,,2
91,130.0,9.0,572.5,,2
92,131.0,31.0,29.1,,2
93,130.0,48.0,75.2,,2
94,128.0,70.0,399.9,,2
95,129.0,90.0,243.1,,2
96,131.0,109.0,0.0,,2
97,129.0,128.0,244.7,,2
98,131.0,148.0,185.2,,2
99,131.0,169.0,26.0,,1
100,129.0,191.0,0.0,,1
101,128.0,209.0,100.3,,1
102,130.0,231.0,530.3,,2
103,131.0,248.0,107.4,,2
104,128.0,269.0,159.3,,2
105,131.0,288.0,70.7,,2
106,148.0,8.0,260.2,,2
107,149.0,29.0,326.0,,2
108,150.0,49.0,332.7,,2
109,151.0,69.0,531.3,,2
110,150.0,89.0,547.2,,2
111,150.0,109.0,482.7,,2
112,150.0,129.0,84.1,,2
113,150.0,151.0,4.7,,2
114,149.0,169.0,180.6,,2
115,151.0,190.0,0.0,,1
116,148.0,208.0,342.4,,2
117,150.0,228.0,602.3,,2
118,149.0,251.0,209.1,,2
119,149.0,271.0,79.4,,2
120,148.0,291.0,104.1,,2
121,168.0,8.0,446.0,,2
122,171.0,29.0,189.9,,2
123,169.0,49.0,280.4,,2
124,168.0,69.0,0.0,,1
125,168.0,91.0,499.3,,2
126,171.0,109.0,457.3,,2
127,168.0,131.0,341.2,,2
128,171.0,150.0,0.0,,2
129,171.0,171.0,208.3,,2
130,169.0,191.0,99.7,,1
131,170.0,210.0,636.6,,2
132,170.0,230.0,173.1,,2
133,169.0,249.0,17.0,,2
134,168.0,271.0,283.1,,2
135,168.0,290.0,30.9,,1
136,190.0,11.0,348.5,,2
137,191.0,28.0,222.4,,2
138,191.0,48.0,59.1,,2
139,190.0,69.0,0.0,,1
140,190.0,89.0,326.0,,2
141,188.0,111.0,325.1,,2
142,191.0,129.0,114.7,,2
143,189.0,149.0,481.6,,2
144,190.0,169.0,324.1,,2
145,190.0,189.0,10.9,,1
146,188.0,210.0,332.9,,2
147,191.0,231.0,184.4,,2
148,190.0,248.0,146.6,,2
149,189.0,270.0,92.0,,1
150,189.0,290.0,2.5,,1
151,211.0,11.0,358.1,,2
152,209.0,30.0,473.3,,2
153,211.0,49.0,308.8,,2
154,210.0,70.0,406.8,,2
155,209.0,90.0,812.1,,2
156,210.0,111.0,339.7,,2
157,211.0,130.0,223.9,,2
158,208.0,151.0,673.5,,2
159,209.0,168.0,141.0,,2
160,208.0,191.0,61.8,,1
161,210.0,211.0,258.3,,2
162,211.0,228.0,590.3,,2
163,211.0,250.0,166.9,,2
164,208.0,268.0,125.2,,2
165,208.0,289.0,29.3,,1
166,231.0,10.0,617.6,,2
167,231.0,28.0,425.9,,2
168,230.0,50.0,295.7,,2
169,230.0,71.0,224.9,,2
170,229.0,91.0,31.7,,1
171,229.0,110.0,377.4,,2
172,230.0,131.0,333.3,,2
173,228.0,148.0,351.0,,2
174,229.0,169.0,0.0,,1
175,231.0,191.0,137.6,,2
176,231.0,208.0,451.2,,2
177,229.0,228.0,639.5,,2
178,231.0,249.0,119.9,,2
179,231.0,268.0,27.2,,1
180,230.0,291.0,2.1,,1
181,249.0,9.0,167.7,,2
182,250.0,30.0,147.8,,2
183,249.0,48.0,442.7,,2
184,251.0,69.0,487.7,,2
185,251.0,91.0,0.0,,1
186,248.0,109.0,28.2,,1
187,249.0,130.0,0.0,,1
188,248.0,150.0,18.3,,1
189,250.0,169.0,266.3,,2
190,250.0,190.0,502.3,,2
191,251.0,208.0,0.0,,2
192,251.0,229.0,240.9,,2
193,249.0,251.0,234.4,,2
194,248.0,270.0,22.4,,1
195,250.0,291.0,45.6,,1
196,40.0,71.0,76.2,1.1,2
197,21.0,69.0,284.3,7.8,2
198,28.0,80.0,606.8,105.3,2
199,29.0,59.0,772.7,1512.7,2
200,41.0,81.0,269.5,9.8,2
201,18.0,80.0,1036.7,860.4,2
202,39.0,60.0,238.6,12.7,2
203,18.0,60.0,519.4,177.1,2
204,41.0,90.0,414.9,23.4,2
205,21.0,90.0,601.4,173.1,2
206,31.0,101.0,579.2,296.5,2
207,41.0,100.0,601.4,300.6,2
208,21.0,100.0,594.6,229.7,2
209,60.0,8.0,550.1,258.3,2
210,40.0,11.0,99.4,2.2,2
211,51.0,18.0,233.6,14.2,2
212,59.0,20.0,14.4,0.1,2
213,41.0,21.0,115.9,3.1,2
214,59.0,90.0,506.2,126.9,2
215,51.0,101.0,502.4,73.8,2
216,50.0,81.0,608.0,210.7,2
217,59.0,101.0,363.9,30.4,2
218,60.0,81.0,385.6,50.3,2
219,60.0,151.0,1521.1,3691.8,2
220,38.0,148.0,340.9,50.0,2
221,50.0,160.0,879.1,474.2,2
222,50.0,138.0,413.4,83.0,2
223,61.0,158.0,868.9,983.8,2
224,39.0,160.0,657.4,217.8,2
225,61.0,139.0,477.0,71.5,2
226,38.0,140.0,268.5,26.2,2
227,61.0,170.0,806.4,301.1,2
228,39.0,170.0,914.4,1548.5,2
229,49.0,179.0,811.5,234.9,2
230,58.0,179.0,1113.6,2154.7,2
231,39.0,181.0,1008.0,3637.4,2
232,60.0,191.0,1528.1,1930.9,2
233,40.0,190.0,970.9,1391.1,2
234,51.0,198.0,1109.0,1660.8,2
235,60.0,198.0,1203.9,1813.7,2
236,40.0,200.0,641.3,249.1,2
237,58.0,208.0,720.6,1160.1,2
238,38.0,209.0,665.3,547.8,2
239,50.0,221.0,543.3,1066.6,2
240,61.0,220.0,101.1,59.5,1
241,39.0,221.0,615.9,420.9,2
242,59.0,268.0,543.1,1714.2,2
243,41.0,271.0,868.8,828.7,2
244,49.0,278.0,583.0,1788.8,2
245,51.0,260.0,670.7,3738.9,2
246,59.0,281.0,148.8,675.0,1
247,39.0,279.0,798.0,1182.1,2
248,59.0,258.0,194.9,983.3,1
249,38.0,260.0,635.2,766.6,2
250,78.0,28.0,781.6,565.4,2
251,60.0,29.0,238.6,12.7,2
252,70.0,41.0,472.0,84.9,2
253,70.0,21.0,58.1,0.3,2
254,78.0,41.0,600.3,124.6,2
255,61.0,41.0,64.9,0.8,2
256,78.0,20.0,505.9,70.0,2
257,80.0,131.0,801.6,421.1,2
258,58.0,128.0,158.8,4.3,2
259,71.0,140.0,606.3,175.1,2
260,70.0,121.0,30.7,0.0,2
261,79.0,138.0,730.1,1694.5,2
262,80.0,119.0,421.2,35.1,2
263,61.0,121.0,104.8,1.8,2
264,79.0,149.0,44.1,0.0,2
265,71.0,160.0,801.1,2535.0,2
266,78.0,159.0,742.0,3371.5,2
267,80.0,168.0,689.1,634.6,2
268,69.0,181.0,424.6,762.6,2
269,79.0,181.0,184.3,241.7,2
270,80.0,188.0,245.2,431.1,2
271,70.0,198.0,630.0,1992.1,2
272,81.0,200.0,0.0,0.0,1
273,100.0,48.0,48.7,0.0,2
274,80.0,49.0,757.4,473.8,2
275,90.0,58.0,739.8,280.2,2
276,88.0,39.0,520.7,76.8,2
277,100.0,60.0,0.0,0.0,2
278,80.0,59.0,0.0,0.0,2
279,101.0,38.0,730.5,464.0,2
280,101.0,68.0,383.1,97.8,2
281,79.0,70.0,508.8,103.9,2
282,90.0,79.0,573.3,138.3,2
283,100.0,78.0,372.4,70.9,2
284,81.0,81.0,585.8,197.2,2
285,100.0,91.0,397.2,38.9,2
286,80.0,89.0,614.5,192.3,2
287,91.0,99.0,734.9,159.6,2
288,101.0,100.0,599.3,539.3,2
289,81.0,98.0,181.2,1.3,2
290,98.0,111.0,744.8,1987.0,2
291,81.0,108.0,1022.3,643.0,2
292,90.0,120.0,899.3,1290.3,2
293,100.0,118.0,363.7,20.5,2
294,98.0,130.0,513.2,263.9,2
295,90.0,140.0,648.8,2147.5,2
296,90.0,138.0,645.4,1927.1,2
297,121.0,131.0,13.0,0.2,2
298,111.0,140.0,190.3,48.8,2
299,108.0,121.0,893.0,3070.9,2
300,120.0,141.0,104.7,14.6,2
301,119.0,118.0,150.4,16.9,2
302,158.0,228.0,558.4,551.6,2
303,140.0,229.0,558.0,513.9,2
304,150.0,241.0,318.5,129.2,2
305,151.0,218.0,394.3,239.2,2
306,161.0,241.0,141.9,8.6,2
307,141.0,240.0,112.5,4.6,2
308,160.0,218.0,580.4,1118.7,2
309,139.0,220.0,535.9,445.7,2
310,178.0,211.0,398.2,561.8,2
311,159.0,209.0,517.3,148.8,2
312,169.0,221.0,427.2,197.2,2
313,170.0,198.0,367.6,1429.8,2
314,180.0,218.0,374.7,77.5,2
315,178.0,201.0,144.8,81.3,2
316,158.0,198.0,169.8,154.5,2
317,219.0,88.0,235.1,136.9,2
318,198.0,90.0,611.7,735.8,2
319,211.0,100.0,746.4,710.6,2
320,208.0,80.0,436.6,495.8,2
321,221.0,99.0,540.9,586.8,2
322,199.0,98.0,801.0,1419.0,2
323,220.0,81.0,272.1,177.3,2
324,198.0,78.0,204.1,86.0,2
325,220.0,150.0,543.9,675.0,2
326,200.0,150.0,606.2,381.1,2
327,208.0,159.0,356.0,280.4,2
328,210.0,140.0,440.9,330.3,2
329,221.0,160.0,301.8,365.6,2
330,198.0,161.0,369.4,154.5,2
331,219.0,139.0,166.8,24.5,2
332,200.0,139.0,230.9,42.2,2
333,239.0,8.0,240.3,80.2,2
334,218.0,8.0,737.1,1373.4,2
335,229.0,19.0,518.6,147.7,2
336,239.0,18.0,390.7,186.7,2
337,218.0,18.0,797.4,1429.7,2
338,238.0,229.0,602.6,1510.9,2
339,218.0,228.0,430.8,265.2,2
340,231.0,239.0,354.1,478.0,2
341,230.0,221.0,602.4,538.9,2
342,240.0,239.0,172.6,51.9,2
343,221.0,241.0,324.8,290.9,2
344,239.0,220.0,420.1,398.3,2
345,218.0,218.0,763.5,1236.7,2
346,35.0,71.0,687.8,486.8,2
347,24.0,71.0,735.8,463.9,2
348,34.0,88.0,86.9,0.1,2
349,23.0,91.0,817.0,708.8,2
350,54.0,10.0,637.9,349.4,2
351,46.0,11.0,512.3,392.0,2
352,55.0,89.0,423.4,21.2,2
353,45.0,89.0,569.6,62.8,2
354,53.0,150.0,858.0,873.0,2
355,46.0,148.0,234.0,7.5,2
356,55.0,168.0,876.0,288.1,2
357,43.0,170.0,1082.8,1174.9,2
358,55.0,191.0,1392.6,1004.7,2
359,44.0,191.0,646.6,76.8,2
360,55.0,211.0,889.5,938.8,2
361,46.0,211.0,509.2,429.7,2
362,54.0,269.0,613.1,2922.4,2
363,43.0,271.0,767.8,198.1,2
364,73.0,29.0,649.4,231.7,2
365,64.0,31.0,235.4,10.8,2
366,75.0,129.0,782.8,639.3,2
367,64.0,129.0,227.3,8.6,2
368,73.0,149.0,722.9,696.1,2
369,64.0,151.0,974.5,664.1,2
370,75.0,171.0,512.2,144.8,2
371,63.0,168.0,1215.8,1446.1,2
372,73.0,188.0,687.1,2351.5,2
373,64.0,191.0,1259.9,1257.6,2
374,93.0,48.0,687.5,373.2,2
375,86.0,48.0,471.9,31.8,2
376,93.0,70.0,512.1,196.1,2
377,84.0,69.0,963.9,1210.0,2
378,93.0,90.0,874.0,1031.3,2
379,86.0,89.0,582.4,117.0,2
380,96.0,111.0,553.2,360.5,2
381,85.0,108.0,937.3,1495.5,2
382,93.0,131.0,883.6,1336.8,2
383,86.0,131.0,879.9,965.3,2
384,114.0,131.0,268.4,104.4,2
385,106.0,130.0,651.5,1957.7,2
386,155.0,229.0,386.4,88.2,2
387,145.0,230.0,333.2,63.5,2
388,174.0,208.0,339.2,335.0,2
389,166.0,211.0,600.3,647.6,2
390,215.0,89.0,595.2,1457.0,2
391,205.0,89.0,809.6,955.8,2
392,215.0,148.0,293.3,67.7,2
393,204.0,151.0,697.3,444.5,2
394,236.0,9.0,515.9,1593.8,2
395,223.0,9.0,613.2,277.6,2
396,236.0,229.0,665.3,1962.0,2
397,226.0,230.0,813.6,2279.8,2
398,35.0,80.0,174.8,2.0,2
399,24.0,79.0,891.8,635.7,2
400,36.0,61.0,699.6,1547.8,2
401,26.0,58.0,39.5,0.3,2
402,16.0,80.0,915.6,634.8,2
403,43.0,60.0,584.0,97.4,2
404,15.0,88.0,610.0,319.3,2
405,46.0,99.0,566.8,100.2,2
406,36.0,99.0,38.1,0.0,2
407,54.0,80.0,483.0,105.0,2
408,46.0,81.0,542.6,138.6,2
409,54.0,161.0,959.3,466.7,2
410,43.0,161.0,631.9,261.1,2
411,65.0,160.0,928.3,2252.5,2
412,33.0,160.0,431.0,48.6,2
413,36.0,170.0,672.3,605.5,2
414,53.0,179.0,1003.4,425.4,2
415,44.0,180.0,876.4,937.8,2
416,65.0,181.0,734.1,589.3,2
417,34.0,180.0,366.0,110.2,2
418,33.0,191.0,296.5,79.1,2
419,55.0,199.0,1069.2,376.4,2
420,46.0,198.0,804.3,674.6,2
421,63.0,201.0,731.1,1363.3,2
422,34.0,201.0,318.1,79.6,2
423,65.0,210.0,238.6,488.3,2
424,35.0,208.0,428.9,161.2,2
425,46.0,220.0,734.4,1236.1,2
426,36.0,219.0,429.1,152.3,2
427,35.0,217.0,597.4,397.0,2
428,53.0,258.0,442.6,1696.4,2
429,46.0,260.0,765.2,779.8,2
430,45.0,281.0,605.5,934.8,2
431,35.0,278.0,795.9,1588.3,2
432,35.0,259.0,235.0,18.9,2
433,84.0,30.0,562.0,85.3,2
434,84.0,41.0,411.4,34.0,2
435,75.0,40.0,696.7,356.2,2
436,73.0,141.0,790.9,607.3,2
437,63.0,140.0,696.5,357.8,2
438,84.0,138.0,687.3,893.4,2
439,76.0,159.0,597.5,997.3,2
440,84.0,161.0,437.4,387.2,2
441,86.0,169.0,317.4,761.7,2
442,73.0,199.0,470.7,5190.1,2
443,76.0,51.0,498.7,101.8,2
444,94.0,61.0,778.7,1354.0,2
445,85.0,60.0,523.3,117.5,2
446,104.0,38.0,617.1,200.2,2
447,93.0,41.0,395.5,28.4,2
448,75.0,90.0,518.9,113.0,2
449,94.0,101.0,383.7,12.9,2
450,85.0,100.0,704.1,126.0,2
451,104.0,109.0,562.3,908.6,2
452,75.0,110.0,655.3,349.0,2
453,95.0,121.0,823.6,548.4,2
454,83.0,119.0,847.7,701.4,2
455,94.0,140.0,607.5,723.2,2
456,103.0,139.0,491.2,565.3,2
457,114.0,120.0,319.5,154.2,2
458,104.0,118.0,594.0,289.2,2
459,196.0,91.0,433.5,254.1,2
460,215.0,101.0,209.6,4.0,2
461,204.0,101.0,533.8,127.3,2
462,196.0,101.0,592.4,419.4,2
463,195.0,149.0,478.7,141.9,2
464,216.0,11.0,660.2,1424.8,2
465,225.0,19.0,832.2,512.2,2
466,214.0,19.0,242.5,15.6,2
467,245.0,231.0,161.2,26.1,2
468,233.0,220.0,626.0,959.7,2
469,226.0,221.0,800.1,1681.5,2
470,213.0,218.0,482.6,476.2,2
