HOLE_ID,FROM,TO,ZN_PCT,PB_PCT,CU_PCT,AG_GPT,AU_GPT,DENSITY
DD0042,131.41,133.43,0.057,0.019,0.007,0.4,0.005,
DD0042,133.43,135.45,0.104,0.04,0.002,0.7,0.006,
DD0042,135.45,137.46,0.044,0.018,0.002,0.5,0.003,
DD0042,137.46,139.48,0.029,0.011,0.002,0.2,0.003,
DD0042,139.48,141.5,0.047,0.018,0.004,0.6,0.006,
DD0042,141.5,143.52,0.049,0.012,0.005,0.6,0.019,
DD0042,143.52,145.54,0.098,0.037,0.003,1.0,0.015,
DD0042,145.54,147.55,0.098,0.032,0.002,0.6,0.078,
DD0042,147.55,149.57,0.075,0.016,0.002,0.3,0.022,
DD0042,149.57,151.59,0.021,0.007,0.003,0.6,0.004,
DD0042,151.59,153.61,0.024,0.007,0.005,0.3,0.006,
DD0042,153.61,155.62,0.029,0.009,0.003,0.4,0.015,
DD0042,155.62,157.64,0.062,0.014,0.01,0.6,0.079,
DD0042,157.64,159.66,0.086,0.015,0.012,0.4,0.019,
DD0042,159.66,161.68,0.078,0.018,0.006,0.4,0.012,
DD0042,161.68,163.7,0.079,0.031,0.008,1.2,0.014,
DD0042,163.7,165.71,0.131,0.045,0.019,2.2,0.008,
DD0042,165.71,167.73,0.153,0.032,0.004,1.1,0.004,
DD0042,167.73,169.75,0.21,0.053,0.008,0.9,0.017,
DD0042,169.75,171.77,0.073,0.039,0.006,1.8,0.044,
DD0042,171.77,173.79,0.092,0.031,0.006,0.7,0.038,
DD0042,173.79,175.8,0.114,0.046,0.004,1.4,0.005,
DD0042,175.8,177.82,0.039,0.018,0.013,0.6,0.022,
DD0042,177.82,179.84,0.049,0.012,0.013,0.3,0.019,
DD0042,179.84,181.86,0.049,0.015,0.005,0.4,0.022,
DD0042,181.86,183.88,0.093,0.017,0.006,0.3,0.007,
DD0042,183.88,185.89,0.083,0.011,0.011,0.2,0.005,
DD0042,185.89,187.91,0.02,0.006,0.012,0.4,0.005,
DD0042,187.91,189.93,0.015,0.007,0.008,0.4,0.003,
DD0042,189.93,191.95,0.032,0.018,0.006,1.1,0.003,
DD0042,191.95,193.96,0.01,0.003,0.032,0.2,0.004,
DD0042,193.96,195.98,0.019,0.006,0.019,0.3,0.007,
DD0042,195.98,198.0,0.022,0.007,0.042,0.4,0.009,
DD0042,198.0,200.02,0.051,0.011,0.015,0.2,0.025,
DD0042,200.02,202.04,0.029,0.006,0.012,0.1,0.035,
DD0042,202.04,204.05,0.015,0.004,0.007,0.3,0.005,
DD0042,204.05,206.07,0.022,0.004,0.014,0.2,0.008,
DD0042,206.07,208.09,0.036,0.012,0.007,0.8,0.008,
DD0042,208.09,210.11,0.017,0.002,0.009,0.2,0.009,
DD0042,210.11,212.12,0.017,0.003,0.007,0.4,0.023,
DD0042,212.12,214.14,0.018,0.005,0.004,0.6,0.011,
DD0042,214.14,216.16,0.078,0.03,0.011,1.3,0.008,
DD0042,216.16,218.18,0.027,0.008,0.01,0.5,0.006,
DD0042,218.18,220.2,0.018,0.004,0.016,0.2,0.011,
DD0042,220.2,222.21,0.011,0.003,0.033,0.2,0.017,
DD0042,222.21,224.23,0.009,0.002,0.069,0.1,0.017,
DD0042,224.23,226.25,0.007,0.002,0.015,0.2,0.028,
DD0042,226.25,227.22,0.989,0.559,0.478,13.1,0.962,2.93
DD0042,227.22,228.2,0.707,0.257,0.355,7.6,0.114,
DD0042,228.2,229.18,3.76,0.725,0.092,6.9,0.247,3.05
DD0042,229.18,230.15,1.018,0.284,0.375,6.2,0.124,
DD0042,230.15,231.12,3.358,0.73,0.16,8.1,0.671,
DD0042,231.12,232.1,3.414,0.752,0.372,12.0,0.16,
DD0042,232.1,233.08,3.8,0.861,0.537,16.4,0.437,3.17
DD0042,233.08,234.05,1.756,0.314,0.37,8.6,0.776,
DD0042,234.05,235.02,2.439,0.488,0.466,10.0,0.723,
DD0042,235.02,236.0,2.877,0.573,0.133,21.9,0.555,3.41
DD0042,236.0,238.01,0.052,0.01,0.017,0.5,0.022,
DD0042,238.01,240.03,0.037,0.015,0.055,0.4,0.047,
DD0042,240.03,242.04,0.047,0.014,0.051,0.5,0.032,
DD0042,242.04,244.06,0.041,0.02,0.041,2.1,0.019,
DD0042,244.06,246.07,0.017,0.006,0.028,0.3,0.014,
DD0042,246.07,248.08,0.029,0.008,0.086,0.3,0.026,
DD0042,248.08,250.1,0.029,0.009,0.016,0.5,0.002,
DD0042,250.1,252.11,0.026,0.011,0.043,0.9,0.012,
DD0042,252.11,254.12,0.036,0.016,0.054,0.9,0.037,
DD0042,254.12,256.14,0.021,0.01,0.034,0.7,0.018,
DD0042,256.14,258.15,0.038,0.014,0.044,0.8,0.077,
DD0042,258.15,260.17,0.047,0.015,0.109,0.9,0.261,
DD0042,260.17,262.18,0.046,0.013,0.097,0.7,0.032,
DD0042,262.18,264.19,0.037,0.015,0.215,0.6,0.039,
DD0042,264.19,266.21,0.106,0.039,0.069,1.1,0.014,
DD0042,266.21,268.22,0.092,0.028,0.088,1.6,0.01,
DD0042,268.22,270.24,0.076,0.018,0.157,0.4,0.045,
DD0042,270.24,272.25,0.045,0.016,0.026,0.4,0.048,
DD0042,272.25,274.26,0.151,0.039,0.024,0.7,0.018,
DD0042,274.26,276.28,0.067,0.029,0.047,1.2,0.035,
DD0042,276.28,278.29,0.057,0.025,0.048,0.9,0.013,
DD0042,278.29,280.3,0.024,0.008,0.037,0.2,0.014,
DD0042,280.3,282.32,0.047,0.029,0.055,0.9,0.017,
DD0042,282.32,284.33,0.039,0.034,0.05,1.0,0.012,
DD0042,284.33,286.35,0.072,0.031,0.065,0.4,0.02,
DD0042,286.35,288.36,0.07,0.04,0.097,0.9,0.058,
DD0043,204.0,206.01,0.048,0.018,0.002,0.5,0.01,
DD0043,206.01,208.02,0.088,0.033,0.001,1.0,0.002,
DD0043,208.02,210.03,0.029,0.009,0.005,0.4,0.003,
DD0043,210.03,212.04,0.032,0.011,0.002,0.4,0.002,
DD0043,212.04,214.04,0.017,0.007,0.004,0.5,0.004,
DD0043,214.04,216.05,0.051,0.021,0.004,1.0,0.007,
DD0043,216.05,218.06,0.032,0.011,0.002,0.9,0.004,
DD0043,218.06,220.07,0.052,0.016,0.002,0.8,0.008,
DD0043,220.07,222.08,0.042,0.014,0.001,1.2,0.003,
DD0043,222.08,224.09,0.036,0.011,0.029,0.8,0.025,
DD0043,224.09,226.1,0.063,0.021,0.017,1.5,0.027,
DD0043,226.1,228.11,0.043,0.016,0.003,0.7,0.011,
DD0043,228.11,230.12,0.012,0.004,0.007,0.5,0.006,
DD0043,230.12,232.12,0.04,0.018,0.002,0.7,0.009,
DD0043,232.12,234.13,0.055,0.023,0.002,1.4,0.003,
DD0043,234.13,236.14,0.032,0.012,0.004,1.0,0.003,
