HOLE_ID,FROM,TO,P2O5_PCT,P2O5_AP_PCT,CAO_PCT,SIO2_PCT,FE2O3_PCT,AL2O3_PCT,MGO_PCT
PF0005,7.62,13.0,5.08,0.31,0.43,15.02,29.8,18.02,
PF0005,13.0,18.38,6.43,0.34,0.46,15.05,40.99,31.21,0.25
PF0005,18.38,23.75,2.98,0.25,0.35,8.04,27.34,56.0,0.29
PF0005,23.75,28.5,11.23,8.47,11.73,19.13,22.95,7.56,1.04
PF0005,28.5,33.25,15.35,7.61,11.07,12.68,19.53,3.48,1.78
PF0005,33.25,38.0,11.68,7.22,9.67,13.42,27.65,4.81,
PF0005,38.0,42.75,13.06,7.09,9.49,14.47,30.23,4.99,1.25
PF0005,42.75,47.5,15.01,14.87,23.52,5.89,28.95,3.96,2.8
PF0005,47.5,52.25,10.49,10.08,18.43,15.91,36.47,4.82,3.55
PF0005,52.25,57.0,14.02,9.9,14.09,10.5,34.93,4.88,
PF0005,57.0,61.75,10.84,8.33,11.25,12.65,33.05,4.52,2.1
PF0005,61.75,66.19,15.08,12.31,16.28,14.42,15.09,5.3,2.42
PF0005,66.19,70.62,9.28,8.76,18.36,20.52,17.47,4.89,7.48
PF0005,70.62,75.06,7.36,7.28,18.33,16.33,19.77,5.63,6.63
PF0005,75.06,79.5,7.92,7.51,18.77,14.81,15.89,4.57,6.42
PF0005,79.5,84.27,7.33,6.85,22.26,17.15,10.11,2.26,
PF0005,84.27,89.03,5.35,4.99,14.75,26.9,11.44,0.94,9.3
PF0005,89.03,93.8,7.31,6.98,18.65,13.36,9.3,0.54,
PF0005,93.8,98.56,5.47,5.39,19.8,14.67,8.09,1.16,5.65
PF0005,98.56,103.33,4.24,3.98,18.19,25.92,10.21,1.69,8.48
PF0006,0.0,3.0,2.42,0.17,0.24,25.16,31.51,24.77,0.13
PF0006,3.0,7.85,5.56,0.28,0.37,6.88,41.03,18.94,0.15
PF0006,7.85,12.7,5.0,0.31,0.41,17.52,32.33,35.0,
PF0006,12.7,17.55,9.54,0.47,0.65,7.04,33.91,19.77,
PF0006,17.55,22.4,5.85,0.52,0.73,8.7,41.33,15.83,1.23
PF0006,22.4,27.25,5.11,0.35,0.47,9.47,43.49,17.43,
PF0006,27.25,32.25,17.61,9.88,14.09,6.35,30.18,2.63,1.66
PF0006,32.25,37.25,7.42,5.18,7.42,15.27,26.19,6.92,
PF0006,37.25,42.25,8.85,4.12,5.49,18.19,21.49,6.72,1.07
PF0006,42.25,47.25,13.08,8.99,12.92,11.34,30.62,5.16,3.28
PF0006,47.25,52.25,6.24,4.25,5.98,18.13,30.67,6.89,
PF0006,52.25,57.25,7.93,6.26,9.11,11.73,24.28,3.78,
PF0006,57.25,62.25,13.46,12.07,16.1,7.05,33.21,2.06,
PF0006,62.25,66.75,5.86,5.65,8.38,22.27,20.7,1.3,6.49
PF0006,66.75,71.25,7.02,6.55,12.0,16.64,19.05,4.32,
PF0006,71.25,75.75,8.16,7.73,12.45,21.49,13.51,3.53,3.83
PF0006,75.75,80.25,10.46,9.25,12.94,16.49,15.24,3.42,2.02
PF0006,80.25,85.7,4.07,3.76,17.96,17.34,10.84,3.11,12.99
PF0006,85.7,91.14,8.26,7.69,23.49,13.96,11.8,4.57,10.04
PF0006,91.14,96.59,9.31,8.99,24.87,21.56,8.18,1.39,
PF0006,96.59,102.04,5.82,5.74,20.28,14.57,8.92,1.4,21.79
PF0007,0.0,1.75,3.82,0.45,0.63,30.46,25.42,31.05,0.92
PF0007,1.75,6.38,6.41,0.57,0.77,11.41,35.23,30.81,0.87
PF0007,6.38,11.0,4.35,0.42,0.57,16.09,36.75,36.89,0.36
PF0007,11.0,15.62,7.22,0.4,0.56,12.89,27.45,13.29,0.32
PF0007,15.62,20.25,5.98,0.77,1.04,13.1,40.64,16.77,1.24
PF0007,20.25,24.95,10.98,9.48,13.85,10.05,38.63,5.58,2.05
PF0007,24.95,29.65,18.93,9.88,13.45,11.46,26.05,2.47,
PF0007,29.65,34.35,7.68,2.87,4.19,14.86,28.54,2.29,0.63
PF0007,34.35,39.05,16.15,5.25,6.99,12.46,25.62,3.84,0.57
PF0007,39.05,43.75,10.25,4.63,6.21,8.83,30.89,3.79,1.07
PF0007,43.75,48.56,11.77,9.46,13.15,11.69,16.2,3.69,7.67
PF0007,48.56,53.38,13.05,12.2,18.0,7.77,20.04,2.32,5.47
PF0007,53.38,58.19,5.55,5.29,12.51,18.71,24.52,3.38,
PF0007,58.19,63.0,5.93,5.75,14.43,19.25,24.13,1.86,7.66
PF0007,63.0,68.25,6.06,5.53,20.59,23.09,14.31,1.73,13.09
PF0007,68.25,73.51,6.01,5.94,20.52,21.21,9.33,1.06,7.61
PF0007,73.51,78.76,6.86,6.6,21.65,21.22,11.76,1.97,8.84
PF0008,0.0,1.0,0.74,0.13,0.17,41.8,38.43,12.93,0.92
PF0008,1.0,5.44,4.83,0.22,0.31,16.54,29.12,41.28,0.39
PF0008,5.44,9.88,2.85,0.17,0.23,11.09,39.27,41.13,0.43
PF0008,9.88,14.31,8.91,0.53,0.73,10.2,44.46,19.25,0.58
PF0008,14.31,18.75,5.64,0.43,0.63,13.32,34.86,23.83,0.51
PF0008,18.75,23.85,14.45,9.45,12.9,9.43,30.18,4.59,4.28
PF0008,23.85,28.95,18.74,5.72,8.12,5.12,23.79,3.49,1.3
PF0008,28.95,34.05,12.8,5.36,7.36,12.47,18.95,3.92,1.09
PF0008,34.05,39.15,13.61,6.19,8.61,13.22,21.84,5.39,1.75
PF0008,39.15,44.25,10.32,6.09,8.36,15.78,28.09,5.74,1.27
PF0008,44.25,48.62,10.68,10.63,17.47,22.35,15.88,2.53,3.99
PF0008,48.62,53.0,10.96,7.69,10.65,21.05,19.83,2.6,4.26
PF0008,53.0,57.38,9.09,8.89,21.38,23.87,25.11,3.72,6.75
PF0008,57.38,61.75,6.98,6.88,11.74,12.47,18.44,6.27,4.87
PF0008,61.75,66.4,3.32,3.15,16.98,23.24,12.21,2.95,11.59
PF0008,66.4,71.04,5.44,5.24,19.77,13.82,8.79,2.17,
PF0008,71.04,75.69,7.52,6.82,22.52,14.05,8.12,1.09,8.08
PF0008,75.69,80.34,8.22,7.47,23.44,17.66,9.26,0.62,5.63
PF0008,80.34,84.99,6.24,5.93,20.82,19.41,11.81,1.07,9.45
PF0008,84.99,89.63,4.01,3.99,17.89,22.6,15.97,2.48,12.62
PF0008,89.63,94.28,8.9,8.88,24.33,20.22,8.16,3.62,15.81
PF0009,0.0,2.0,1.81,0.17,0.23,21.05,33.72,29.2,0.51
PF0009,2.0,6.81,4.8,0.35,0.5,14.55,24.9,27.08,0.53
PF0009,6.81,11.62,5.9,0.49,0.7,17.9,34.61,22.35,0.7
PF0009,11.62,16.44,6.96,0.47,0.63,9.77,23.34,29.85,0.52
PF0009,16.44,21.25,3.04,0.22,0.32,12.77,24.58,10.04,0.81
PF0009,21.25,26.33,18.77,10.41,15.05,13.59,15.33,11.96,2.23
PF0009,26.33,31.42,19.73,18.63,26.86,7.15,14.6,5.73,2.75
PF0009,31.42,36.5,15.2,15.09,22.9,7.52,17.27,6.07,4.16
PF0009,36.5,41.58,13.63,5.79,8.07,10.0,27.27,3.32,2.19
PF0009,41.58,46.67,6.18,3.77,4.98,25.84,35.29,4.44,
PF0009,46.67,51.75,10.69,6.57,9.12,18.77,33.6,7.72,3.14
PF0009,51.75,57.25,16.34,10.93,14.65,14.13,22.14,6.71,
PF0009,57.25,62.75,9.13,8.06,11.61,15.8,20.6,4.49,4.61
PF0009,62.75,68.25,7.63,7.57,13.62,16.04,17.51,1.09,10.15
PF0009,68.25,73.37,7.03,6.61,21.86,17.78,12.26,1.78,8.85
PF0009,73.37,78.49,7.4,7.26,22.35,15.07,10.22,0.6,5.15
PF0009,78.49,83.61,6.37,5.91,21.0,15.18,11.27,1.41,13.38
PF0009,83.61,88.73,6.13,6.08,20.68,15.31,10.26,1.59,17.92
PF0009,88.73,93.85,4.71,4.4,18.81,18.43,8.33,1.76,13.7
PF0009,93.85,98.97,4.32,4.12,14.37,21.9,13.4,2.32,
PF0009,98.97,104.09,4.95,4.68,19.12,27.14,11.09,1.63,6.07
PF0010,0.0,2.0,1.54,0.25,0.33,26.06,29.25,19.46,0.22
PF0010,2.0,7.56,5.87,0.46,0.65,11.77,37.61,16.28,0.65
PF0010,7.56,13.12,3.07,0.26,0.37,16.2,40.74,29.75,0.45
PF0010,13.12,18.69,2.99,0.33,0.44,15.53,42.15,21.57,0.36
PF0010,18.69,24.25,4.31,0.24,0.33,14.52,47.97,26.21,0.53
PF0010,24.25,29.5,10.25,4.89,7.03,11.38,27.43,11.69,0.87
PF0010,29.5,34.75,16.07,8.23,12.03,7.7,20.06,5.61,1.67
PF0010,34.75,40.0,10.74,8.3,11.79,7.98,22.95,4.4,2.63
PF0010,40.0,45.25,11.1,11.06,19.23,9.83,25.35,3.57,2.45
PF0010,45.25,50.5,15.64,10.17,14.2,10.1,22.5,3.29,
PF0010,50.5,55.75,16.88,9.34,12.69,6.54,12.89,2.4,1.51
PF0010,55.75,61.0,19.7,9.36,13.2,14.22,16.21,4.02,1.34
PF0010,61.0,65.75,12.67,10.89,14.98,20.64,14.12,0.75,8.39
PF0010,65.75,70.5,11.84,11.1,17.09,14.75,12.05,1.84,22.78
PF0010,70.5,75.25,10.54,10.06,16.57,11.39,15.45,2.74,
PF0010,75.25,80.36,3.18,3.07,16.8,40.99,10.34,3.95,18.66
PF0010,80.36,85.46,4.52,4.12,18.56,32.03,10.79,1.42,11.45
PF0010,85.46,90.57,8.64,7.78,23.98,13.88,10.18,1.88,
PF0010,90.57,95.68,5.64,5.25,20.04,14.26,10.9,2.59,10.92
PF0010,95.68,100.79,4.03,3.95,17.92,24.74,11.44,2.5,11.73
PF0010,100.79,105.89,5.16,4.83,19.4,15.36,8.17,4.09,
PF0010,105.89,111.0,4.48,4.24,18.5,14.58,11.74,3.08,8.81
PF0011,0.0,2.0,1.18,0.2,0.27,33.72,22.49,6.61,0.43
PF0011,2.0,6.75,2.71,0.22,0.32,11.67,31.67,18.59,0.22
PF0011,6.75,11.5,3.03,0.19,0.26,17.51,35.45,16.27,
PF0011,11.5,16.25,5.66,0.45,0.65,14.0,26.18,11.47,
PF0011,16.25,21.0,4.74,0.26,0.35,13.61,28.25,15.07,0.21
PF0011,21.0,25.75,5.92,0.42,0.57,9.55,30.39,34.66,0.3
PF0011,25.75,31.0,20.82,18.44,25.58,8.71,14.91,7.11,1.69
PF0011,31.0,36.25,14.28,7.55,10.75,8.47,22.49,5.54,2.63
PF0011,36.25,41.5,13.1,7.9,11.46,8.62,21.15,5.85,
PF0011,41.5,46.75,10.33,7.23,10.54,9.72,21.85,2.39,1.22
PF0011,46.75,52.0,18.49,9.75,13.46,6.66,19.47,2.61,
PF0011,52.0,57.25,13.13,7.53,10.91,8.46,22.44,2.36,1.41
PF0011,57.25,62.5,11.8,5.08,6.94,8.73,30.51,4.57,0.95
PF0011,62.5,67.75,10.18,5.66,8.01,15.23,30.76,2.0,1.71
PF0011,67.75,72.67,7.42,6.77,15.45,13.92,15.78,2.16,
PF0011,72.67,77.58,8.34,7.62,20.4,25.16,15.82,1.64,
PF0011,77.58,82.5,11.91,11.01,17.0,20.95,20.52,2.95,
PF0011,82.5,86.78,4.21,3.89,18.14,31.46,9.86,2.57,
PF0011,86.78,91.06,7.6,7.33,22.61,19.16,5.88,2.93,9.1
PF0011,91.06,95.34,4.83,4.51,18.96,18.34,8.95,2.14,17.25
PF0012,0.0,2.25,1.14,0.12,0.17,35.13,27.75,30.21,0.6
PF0012,2.25,6.88,2.73,0.18,0.26,10.34,42.52,24.21,0.28
PF0012,6.88,11.5,2.36,0.16,0.21,12.08,42.07,23.38,0.2
PF0012,11.5,16.12,4.84,0.38,0.54,14.97,34.61,14.24,0.24
PF0012,16.12,20.75,4.35,0.31,0.42,11.81,28.25,22.22,0.41
PF0012,20.75,25.56,8.86,5.54,7.37,9.82,27.6,3.07,1.4
PF0012,25.56,30.38,12.81,4.95,6.96,12.94,18.97,2.85,1.4
PF0012,30.38,35.19,8.94,8.65,12.64,16.41,30.44,3.15,1.77
PF0012,35.19,40.0,10.4,7.2,10.22,15.79,23.13,3.85,
PF0012,40.0,44.81,6.9,6.09,8.51,11.84,27.36,1.46,4.21
PF0012,44.81,49.62,9.83,4.03,5.7,7.45,32.98,3.23,
PF0012,49.62,54.44,16.28,8.2,11.03,6.75,33.03,9.25,2.06
PF0012,54.44,59.25,16.05,8.01,10.9,7.18,27.76,4.88,
PF0012,59.25,63.83,10.47,10.38,20.29,9.9,20.29,2.57,9.88
PF0012,63.83,68.42,3.13,2.85,10.14,27.72,26.97,4.55,8.92
PF0012,68.42,73.0,3.58,3.28,8.91,22.02,26.38,2.72,12.02
PF0012,73.0,77.68,4.73,4.44,18.83,17.57,9.67,1.31,11.87
PF0012,77.68,82.37,3.25,3.2,11.97,27.03,10.92,3.19,7.34
PF0012,82.37,87.05,4.1,3.85,18.0,25.85,17.14,2.82,10.93
PF0012,87.05,91.74,6.43,5.91,21.07,20.38,12.77,2.01,8.82
PF0013,0.0,3.5,2.44,0.19,0.27,32.67,25.78,9.99,0.52
PF0013,3.5,9.75,4.63,0.31,0.45,18.43,33.59,14.01,0.41
PF0013,9.75,16.0,3.21,0.25,0.35,23.44,41.99,15.31,
PF0013,16.0,21.5,11.0,9.33,12.64,15.6,44.57,6.3,4.89
PF0013,21.5,27.0,9.83,7.26,9.98,12.04,27.64,7.11,2.45
PF0013,27.0,32.5,20.77,14.61,19.96,5.63,20.41,8.85,1.59
PF0013,32.5,38.0,12.5,7.06,9.6,7.93,25.47,4.83,1.23
PF0013,38.0,42.75,11.47,9.92,13.29,15.79,18.87,2.21,4.53
PF0013,42.75,47.5,8.57,8.05,14.94,16.1,22.15,5.77,6.47
PF0013,47.5,52.25,10.47,10.23,16.86,16.87,25.13,3.05,8.0
PF0013,52.25,57.0,4.99,3.7,4.94,17.84,17.53,4.58,4.39
PF0013,57.0,61.75,8.71,8.71,13.57,27.81,19.7,2.6,5.98
PF0013,61.75,67.07,4.48,4.16,18.5,11.97,10.31,3.28,7.48
PF0013,67.07,72.4,4.6,4.32,18.29,14.33,13.84,2.85,8.38
PF0013,72.4,77.72,4.78,4.59,18.9,18.88,13.55,4.59,8.71
PF0013,77.72,83.05,3.77,3.57,17.57,21.88,16.54,4.26,10.87
PF0013,83.05,88.37,3.91,3.75,17.75,20.33,13.94,4.23,
PF0013,88.37,93.7,5.07,4.61,19.28,28.91,12.25,1.93,13.76
PF0013,93.7,99.02,2.38,2.25,15.74,30.19,14.68,1.29,28.4
PF0014,0.0,3.75,1.66,0.12,0.17,28.03,31.46,18.46,0.43
PF0014,3.75,8.75,5.21,0.27,0.37,11.32,28.2,18.13,0.38
PF0014,8.75,13.75,4.4,0.29,0.4,14.64,42.43,10.65,0.94
PF0014,13.75,18.75,4.65,0.28,0.38,14.52,30.74,25.09,0.63
PF0014,18.75,23.7,9.7,7.62,10.54,20.06,26.18,1.81,
PF0014,23.7,28.65,7.27,6.07,8.54,11.45,35.45,4.68,4.52
PF0014,28.65,33.6,8.44,7.92,14.26,8.85,22.31,6.0,
PF0014,33.6,38.55,10.89,9.2,12.47,15.25,23.86,4.97,
PF0014,38.55,43.5,11.4,8.28,11.55,17.28,19.58,3.99,1.75
PF0014,43.5,48.62,7.11,6.65,9.84,15.01,21.75,2.77,7.39
PF0014,48.62,53.75,9.34,6.7,9.48,11.27,18.35,4.55,
PF0014,53.75,58.88,8.77,6.4,9.09,14.42,20.85,2.77,6.5
PF0014,58.88,64.0,5.64,5.51,11.08,26.04,25.86,1.87,7.32
PF0014,64.0,69.12,8.63,8.55,17.12,18.05,17.21,2.63,7.16
PF0014,69.12,74.25,5.88,5.76,13.62,25.8,13.17,4.62,12.93
PF0014,74.25,78.58,3.13,2.92,12.94,25.72,11.93,2.78,11.94
PF0014,78.58,82.92,3.56,3.34,17.29,17.22,11.04,1.12,12.04
PF0014,82.92,87.25,6.38,5.84,21.01,10.69,11.61,0.87,5.97
PF0015,0.0,3.0,1.41,0.25,0.34,24.76,20.77,17.37,0.57
PF0015,3.0,7.42,4.72,0.28,0.4,14.2,30.61,13.79,
PF0015,7.42,11.83,3.43,0.18,0.25,21.29,28.75,13.9,0.3
PF0015,11.83,16.25,3.06,0.28,0.39,20.86,29.4,12.97,0.6
PF0015,16.25,21.1,15.11,11.63,15.63,10.98,19.31,3.96,4.19
PF0015,21.1,25.95,11.46,9.46,13.1,17.44,22.53,4.84,2.78
PF0015,25.95,30.8,8.29,7.03,10.04,16.68,36.61,6.91,1.85
PF0015,30.8,35.65,13.51,10.14,13.76,12.69,24.97,5.96,0.71
PF0015,35.65,40.5,11.9,5.79,8.27,6.97,43.08,11.07,
PF0015,40.5,45.75,8.44,7.97,13.41,13.77,22.82,2.31,8.27
PF0015,45.75,51.0,5.66,5.48,12.34,17.56,24.97,2.03,9.84
PF0015,51.0,56.25,11.64,8.39,11.37,17.95,16.7,5.25,6.13
PF0015,56.25,61.5,5.06,4.95,7.71,27.2,27.25,2.23,
PF0015,61.5,66.75,5.5,5.1,8.03,25.27,17.42,3.57,3.4
PF0015,66.75,72.13,6.87,6.69,21.66,15.56,8.97,1.76,13.76
PF0015,72.13,77.51,3.94,3.7,17.79,16.79,12.21,0.47,
PF0015,77.51,82.89,2.66,2.57,11.23,18.88,11.56,1.2,8.86
PF0015,82.89,88.26,3.71,3.55,17.49,21.52,11.08,1.94,10.1
PF0016,0.0,2.0,3.27,0.25,0.37,24.79,28.08,18.7,0.5
PF0016,2.0,6.81,6.12,0.32,0.45,19.18,32.1,27.06,0.6
PF0016,6.81,11.62,9.2,0.27,0.38,14.56,38.58,19.62,0.49
PF0016,11.62,16.44,3.43,0.17,0.22,13.07,42.01,35.81,0.46
PF0016,16.44,21.25,4.62,0.34,0.47,11.3,30.85,47.28,0.47
PF0016,21.25,26.5,14.45,11.78,16.33,9.26,33.41,3.66,1.89
PF0016,26.5,31.75,15.23,8.66,11.95,15.18,23.21,4.4,1.8
PF0016,31.75,37.0,11.1,9.26,12.26,8.64,31.08,4.12,2.13
PF0016,37.0,42.25,7.67,7.45,11.91,20.07,21.95,6.54,1.51
PF0016,42.25,47.5,11.51,9.75,13.87,13.37,28.92,5.61,2.17
PF0016,47.5,52.88,14.02,13.26,21.71,17.47,19.57,2.01,6.05
PF0016,52.88,58.25,6.31,5.78,10.27,24.1,21.24,5.99,
PF0016,58.25,63.62,9.58,8.97,15.74,29.3,21.98,2.72,4.33
PF0016,63.62,69.0,12.97,10.34,13.83,13.62,21.05,2.81,3.58
PF0016,69.0,74.33,4.74,4.65,14.07,12.88,9.8,1.85,5.35
PF0016,74.33,79.66,6.72,6.16,21.46,18.87,8.82,1.47,19.48
PF0016,79.66,84.99,2.69,2.52,7.51,22.84,14.83,1.3,
PF0017,0.0,3.0,2.09,0.12,0.17,27.45,29.0,21.66,0.17
PF0017,3.0,7.6,6.02,0.29,0.39,13.62,30.29,24.59,0.27
PF0017,7.6,12.2,6.19,0.45,0.66,14.33,35.74,17.35,0.57
PF0017,12.2,16.8,4.91,0.19,0.28,16.88,40.3,17.97,0.38
PF0017,16.8,21.4,5.34,0.33,0.46,12.49,50.45,23.14,0.71
PF0017,21.4,26.0,4.8,0.43,0.59,10.99,51.31,16.14,0.48
PF0017,26.0,31.3,17.2,9.54,12.62,12.09,31.54,2.54,1.8
PF0017,31.3,36.6,11.28,5.64,8.15,12.3,34.4,5.65,1.14
PF0017,36.6,41.9,7.64,3.62,4.97,13.86,34.86,3.3,1.58
PF0017,41.9,47.2,9.23,4.83,6.94,8.06,30.54,10.96,1.78
PF0017,47.2,52.5,8.53,3.75,5.47,9.93,46.19,5.36,2.58
PF0017,52.5,57.69,8.81,8.73,12.4,12.09,28.49,1.94,5.18
PF0017,57.69,62.88,9.4,8.55,21.79,17.72,21.22,5.84,12.71
PF0017,62.88,68.06,10.06,9.67,17.07,20.61,13.2,1.19,13.2
PF0017,68.06,73.25,8.73,8.14,13.15,18.99,15.07,1.95,7.98
PF0017,73.25,77.95,5.48,5.48,19.83,19.54,13.73,1.83,
PF0017,77.95,82.65,6.58,6.06,21.27,11.92,9.63,4.1,7.24
PF0017,82.65,87.35,7.45,7.33,22.42,16.45,6.76,2.87,
PF0017,87.35,92.05,4.56,4.34,17.44,21.77,9.75,1.47,9.74
PF0017,92.05,96.76,5.52,5.23,19.88,17.4,8.32,1.66,5.46
PF0017,96.76,101.46,2.28,2.16,13.47,21.07,14.82,1.44,
PF0017,101.46,106.16,5.41,4.94,19.74,14.79,10.58,0.92,10.73
PF0017,106.16,110.86,6.62,6.59,21.32,19.17,9.47,1.09,11.87
PF0018,0.0,4.5,2.07,0.29,0.39,36.14,28.1,8.81,0.84
PF0018,4.5,9.17,6.22,0.32,0.45,11.62,20.23,19.72,
PF0018,9.17,13.83,6.88,0.42,0.59,10.01,24.5,36.26,0.33
PF0018,13.83,18.5,8.42,0.39,0.57,11.56,25.34,25.07,0.15
PF0018,18.5,23.17,5.0,0.25,0.32,10.83,48.07,13.48,
PF0018,23.17,27.83,5.1,0.42,0.56,9.28,31.33,10.61,0.45
PF0018,27.83,32.5,3.97,0.23,0.33,15.81,37.43,20.46,0.44
