HOLE_ID,FROM,TO,HORIZON
NL0077,0.0,3.0,FERR
NL0077,3.0,10.9,LIM
NL0077,10.9,19.7,SAP
NL0077,19.7,22.0,BRK
NL0078,0.0,3.5,FERR
NL0078,3.5,13.1,LIM
NL0078,13.1,34.6,SAP
NL0078,34.6,38.0,BRK
NL0079,0.0,2.4,FERR
NL0079,2.4,13.0,LIM
NL0079,13.0,20.1,SAP
NL0079,20.1,23.0,BRK
NL0080,0.0,1.8,FERR
NL0080,1.8,11.4,LIM
NL0080,11.4,20.7,SAP
NL0080,20.7,24.0,BRK
NL0081,0.0,2.1,FERR
NL0081,2.1,10.1,LIM
NL0081,10.1,20.1,SAP
NL0081,20.1,25.0,BRK
NL0082,0.0,2.2,FERR
NL0082,2.2,8.7,LIM
NL0082,8.7,11.3,SAP
NL0082,11.3,16.0,BRK
NL0083,0.0,2.1,FERR
NL0083,2.1,7.7,LIM
NL0083,7.7,13.0,SAP
NL0083,13.0,15.0,BRK
NL0084,0.0,2.8,FERR
NL0084,2.8,11.9,LIM
NL0084,11.9,17.4,SAP
NL0084,17.4,22.0,BRK
NL0085,0.0,1.2,FERR
NL0085,1.2,7.3,LIM
NL0085,7.3,15.5,SAP
NL0085,15.5,18.0,BRK
NL0086,0.0,1.1,FERR
NL0086,1.1,6.1,LIM
NL0086,6.1,18.9,SAP
NL0086,18.9,23.0,BRK
NL0087,0.0,0.9,FERR
NL0087,0.9,5.5,LIM
NL0087,5.5,23.0,SAP
NL0087,23.0,26.0,BRK
NL0088,0.0,1.0,FERR
NL0088,1.0,5.5,LIM
NL0088,5.5,22.5,SAP
NL0088,22.5,25.0,BRK
NL0089,0.0,1.8,FERR
NL0089,1.8,6.7,LIM
NL0089,6.7,30.0,SAP
NL0089,30.0,32.0,BRK
NL0090,0.0,3.7,FERR
NL0090,3.7,10.0,LIM
NL0090,10.0,23.2,SAP
NL0090,23.2,26.0,BRK
NL0091,0.0,2.8,FERR
NL0091,2.8,9.9,LIM
NL0091,9.9,22.0,SAP
NL0091,22.0,25.0,BRK
NL0092,0.0,2.5,FERR
NL0092,2.5,10.2,LIM
NL0092,10.2,20.4,SAP
NL0092,20.4,24.0,BRK
NL0093,0.0,3.7,FERR
NL0093,3.7,11.8,LIM
NL0093,11.8,18.7,SAP
NL0093,18.7,21.0,BRK
NL0094,0.0,3.5,FERR
NL0094,3.5,10.1,LIM
NL0094,10.1,29.0,SAP
NL0094,29.0,33.0,BRK
NL0095,0.0,1.5,FERR
NL0095,1.5,10.8,LIM
NL0095,10.8,17.9,SAP
NL0095,17.9,21.0,BRK
NL0096,0.0,3.3,FERR
NL0096,3.3,11.3,LIM
NL0096,11.3,19.4,SAP
NL0096,19.4,23.0,BRK
NL0097,0.0,4.6,FERR
NL0097,4.6,11.6,LIM
NL0097,11.6,16.0,SAP
NL0097,16.0,19.0,BRK
NL0098,0.0,4.4,FERR
NL0098,4.4,10.4,LIM
NL0098,10.4,13.5,SAP
NL0098,13.5,16.0,BRK
NL0099,0.0,5.3,FERR
NL0099,5.3,13.6,LIM
NL0099,13.6,21.0,SAP
NL0099,21.0,25.0,BRK
NL0100,0.0,2.4,FERR
NL0100,2.4,12.9,LIM
NL0100,12.9,26.4,SAP
NL0100,26.4,30.0,BRK
NL0101,0.0,2.4,FERR
NL0101,2.4,11.9,LIM
NL0101,11.9,19.4,SAP
NL0101,19.4,22.0,BRK
NL0102,0.0,1.9,FERR
NL0102,1.9,14.8,LIM
NL0102,14.8,30.2,SAP
NL0102,30.2,33.0,BRK
NL0103,0.0,2.7,FERR
NL0103,2.7,10.0,LIM
NL0103,10.0,13.1,SAP
NL0103,13.1,18.0,BRK
NL0104,0.0,3.4,FERR
NL0104,3.4,12.5,LIM
NL0104,12.5,21.3,SAP
NL0104,21.3,26.0,BRK
NL0105,0.0,1.7,FERR
NL0105,1.7,8.4,LIM
NL0105,8.4,14.1,SAP
NL0105,14.1,17.0,BRK
NL0106,0.0,2.7,FERR
NL0106,2.7,9.2,LIM
NL0106,9.2,28.8,SAP
NL0106,28.8,31.0,BRK
NL0107,0.0,1.5,FERR
NL0107,1.5,10.8,LIM
NL0107,10.8,22.2,SAP
NL0107,22.2,26.0,BRK
NL0108,0.0,2.1,FERR
NL0108,2.1,6.3,LIM
NL0108,6.3,25.2,SAP
NL0108,25.2,30.0,BRK
NL0109,0.0,1.9,FERR
NL0109,1.9,8.1,LIM
NL0109,8.1,25.2,SAP
NL0109,25.2,30.0,BRK
NL0110,0.0,1.4,FERR
NL0110,1.4,10.0,LIM
NL0110,10.0,16.1,SAP
NL0110,16.1,20.0,BRK
NL0111,0.0,8.8,LIM
NL0111,8.8,17.7,SAP
NL0111,17.7,22.0,BRK
NL0112,0.0,1.0,FERR
NL0112,1.0,7.3,LIM
NL0112,7.3,19.8,SAP
NL0112,19.8,25.0,BRK
NL0113,0.0,2.5,FERR
NL0113,2.5,9.1,LIM
NL0113,9.1,27.8,SAP
NL0113,27.8,31.0,BRK
NL0114,0.0,6.3,LIM
NL0114,6.3,18.8,SAP
NL0114,18.8,24.0,BRK
NL0115,0.0,1.4,FERR
NL0115,1.4,7.5,LIM
NL0115,7.5,11.8,SAP
NL0115,11.8,15.0,BRK
NL0116,0.0,2.9,FERR
NL0116,2.9,9.1,LIM
NL0116,9.1,13.7,SAP
NL0116,13.7,19.0,BRK
NL0117,0.0,2.5,FERR
NL0117,2.5,7.6,LIM
NL0117,7.6,13.4,SAP
NL0117,13.4,16.0,BRK
NL0118,0.0,2.9,FERR
NL0118,2.9,15.5,LIM
NL0118,15.5,21.7,SAP
NL0118,21.7,26.0,BRK
NL0119,0.0,2.2,FERR
NL0119,2.2,14.6,LIM
NL0119,14.6,27.0,SAP
NL0119,27.0,32.0,BRK
NL0120,0.0,1.8,FERR
NL0120,1.8,13.6,LIM
NL0120,13.6,24.2,SAP
NL0120,24.2,28.0,BRK
NL0121,0.0,1.3,FERR
NL0121,1.3,11.5,LIM
NL0121,11.5,31.4,SAP
NL0121,31.4,35.0,BRK
NL0122,0.0,2.6,FERR
NL0122,2.6,9.7,LIM
NL0122,9.7,24.2,SAP
NL0122,24.2,27.0,BRK
NL0123,0.0,1.8,FERR
NL0123,1.8,8.7,LIM
NL0123,8.7,21.9,SAP
NL0123,21.9,26.0,BRK
NL0124,0.0,3.1,FERR
NL0124,3.1,15.0,LIM
NL0124,15.0,22.0,SAP
NL0124,22.0,25.0,BRK
NL0125,0.0,2.9,FERR
NL0125,2.9,10.1,LIM
NL0125,10.1,18.3,SAP
NL0125,18.3,23.0,BRK
NL0126,0.0,2.8,FERR
NL0126,2.8,11.2,LIM
NL0126,11.2,14.7,SAP
NL0126,14.7,19.0,BRK
NL0127,0.0,1.5,FERR
NL0127,1.5,8.0,LIM
NL0127,8.0,19.3,SAP
NL0127,19.3,24.0,BRK
NL0128,0.0,2.4,FERR
NL0128,2.4,7.0,LIM
NL0128,7.0,22.2,SAP
NL0128,22.2,25.0,BRK
NL0129,0.0,1.4,FERR
NL0129,1.4,6.3,LIM
NL0129,6.3,16.1,SAP
NL0129,16.1,19.0,BRK
NL0130,0.0,3.6,FERR
NL0130,3.6,10.5,LIM
NL0130,10.5,16.2,SAP
NL0130,16.2,20.0,BRK
NL0131,0.0,2.8,FERR
NL0131,2.8,10.7,LIM
NL0131,10.7,17.8,SAP
NL0131,17.8,22.0,BRK
NL0132,0.0,2.1,FERR
NL0132,2.1,8.7,LIM
NL0132,8.7,14.5,SAP
NL0132,14.5,17.0,BRK
NL0133,0.0,2.2,FERR
NL0133,2.2,8.8,LIM
NL0133,8.8,13.1,SAP
NL0133,13.1,18.0,BRK
NL0134,0.0,0.3,FERR
NL0134,0.3,8.3,LIM
NL0134,8.3,22.3,SAP
NL0134,22.3,26.0,BRK
NL0135,0.0,0.2,FERR
NL0135,0.2,8.8,LIM
NL0135,8.8,20.4,SAP
NL0135,20.4,24.0,BRK
NL0136,0.0,0.3,FERR
NL0136,0.3,7.1,LIM
NL0136,7.1,18.7,SAP
NL0136,18.7,22.0,BRK
NL0137,0.0,1.1,FERR
NL0137,1.1,9.6,LIM
NL0137,9.6,14.7,SAP
NL0137,14.7,19.0,BRK
NL0138,0.0,0.2,FERR
NL0138,0.2,10.1,LIM
NL0138,10.1,26.2,SAP
NL0138,26.2,31.0,BRK
NL0139,0.0,2.1,FERR
NL0139,2.1,13.3,LIM
NL0139,13.3,28.8,SAP
NL0139,28.8,33.0,BRK
NL0140,0.0,3.1,FERR
NL0140,3.1,14.4,LIM
NL0140,14.4,29.0,SAP
NL0140,29.0,32.0,BRK
NL0141,0.0,1.5,FERR
NL0141,1.5,9.2,LIM
NL0141,9.2,27.8,SAP
NL0141,27.8,30.0,BRK
NL0142,0.0,1.0,FERR
NL0142,1.0,9.9,LIM
NL0142,9.9,22.4,SAP
NL0142,22.4,26.0,BRK
NL0143,0.0,3.6,FERR
NL0143,3.6,11.6,LIM
NL0143,11.6,36.4,SAP
NL0143,36.4,40.0,BRK
NL0144,0.0,4.6,FERR
NL0144,4.6,13.4,LIM
NL0144,13.4,44.5,SAP
NL0144,44.5,48.0,BRK
NL0145,0.0,3.5,FERR
NL0145,3.5,10.2,LIM
NL0145,10.2,16.7,SAP
NL0145,16.7,21.0,BRK
NL0146,0.0,4.2,FERR
NL0146,4.2,10.9,LIM
NL0146,10.9,21.1,SAP
NL0146,21.1,25.0,BRK
NL0147,0.0,4.0,FERR
NL0147,4.0,14.7,LIM
NL0147,14.7,20.4,SAP
NL0147,20.4,25.0,BRK
NL0148,0.0,3.1,FERR
NL0148,3.1,11.8,LIM
NL0148,11.8,16.5,SAP
NL0148,16.5,21.0,BRK
NL0149,0.0,1.4,FERR
NL0149,1.4,6.6,LIM
NL0149,6.6,17.0,SAP
NL0149,17.0,22.0,BRK
NL0150,0.0,2.8,FERR
NL0150,2.8,7.4,LIM
NL0150,7.4,18.4,SAP
NL0150,18.4,23.0,BRK
NL0151,0.0,5.3,FERR
NL0151,5.3,9.3,LIM
NL0151,9.3,27.3,SAP
NL0151,27.3,31.0,BRK
NL0152,0.0,3.7,FERR
NL0152,3.7,10.1,LIM
NL0152,10.1,17.4,SAP
NL0152,17.4,20.0,BRK
NL0153,0.0,2.4,FERR
NL0153,2.4,7.6,LIM
NL0153,7.6,34.1,SAP
NL0153,34.1,38.0,BRK
NL0154,0.0,1.1,FERR
NL0154,1.1,5.8,LIM
NL0154,5.8,14.4,SAP
NL0154,14.4,18.0,BRK
NL0155,0.0,0.8,FERR
NL0155,0.8,6.8,LIM
NL0155,6.8,17.0,SAP
NL0155,17.0,20.0,BRK
NL0156,0.0,0.5,FERR
NL0156,0.5,6.7,LIM
NL0156,6.7,11.5,SAP
NL0156,11.5,14.0,BRK
NL0157,0.0,1.1,FERR
NL0157,1.1,9.5,LIM
NL0157,9.5,28.7,SAP
NL0157,28.7,33.0,BRK
NL0158,0.0,0.9,FERR
NL0158,0.9,9.0,LIM
NL0158,9.0,16.7,SAP
NL0158,16.7,20.0,BRK
NL0159,0.0,3.3,FERR
NL0159,3.3,14.4,LIM
NL0159,14.4,26.2,SAP
NL0159,26.2,31.0,BRK
NL0160,0.0,3.3,FERR
NL0160,3.3,13.7,LIM
NL0160,13.7,32.5,SAP
NL0160,32.5,37.0,BRK
NL0161,0.0,2.5,FERR
NL0161,2.5,9.0,LIM
NL0161,9.0,14.7,SAP
NL0161,14.7,19.0,BRK
NL0162,0.0,4.3,FERR
NL0162,4.3,11.3,LIM
NL0162,11.3,20.1,SAP
NL0162,20.1,24.0,BRK
NL0163,0.0,4.8,FERR
NL0163,4.8,11.9,LIM
NL0163,11.9,17.4,SAP
NL0163,17.4,21.0,BRK
NL0164,0.0,3.1,FERR
NL0164,3.1,11.0,LIM
NL0164,11.0,17.1,SAP
NL0164,17.1,19.0,BRK
NL0165,0.0,3.8,FERR
NL0165,3.8,13.1,LIM
NL0165,13.1,16.7,SAP
NL0165,16.7,21.0,BRK
NL0166,0.0,2.5,FERR
NL0166,2.5,10.7,LIM
NL0166,10.7,28.3,SAP
NL0166,28.3,32.0,BRK
NL0167,0.0,0.1,FERR
NL0167,0.1,8.6,LIM
NL0167,8.6,15.1,SAP
NL0167,15.1,19.0,BRK
NL0168,0.0,2.1,FERR
NL0168,2.1,9.2,LIM
NL0168,9.2,20.5,SAP
NL0168,20.5,23.0,BRK
NL0169,0.0,3.4,FERR
NL0169,3.4,9.9,LIM
NL0169,9.9,34.5,SAP
NL0169,34.5,37.0,BRK
NL0170,0.0,3.2,FERR
NL0170,3.2,9.1,LIM
NL0170,9.1,18.6,SAP
NL0170,18.6,21.0,BRK
NL0171,0.0,2.4,FERR
NL0171,2.4,7.7,LIM
NL0171,7.7,15.9,SAP
NL0171,15.9,19.0,BRK
NL0172,0.0,3.7,FERR
NL0172,3.7,8.9,LIM
NL0172,8.9,16.0,SAP
NL0172,16.0,20.0,BRK
NL0173,0.0,3.8,FERR
NL0173,3.8,8.3,LIM
NL0173,8.3,17.5,SAP
NL0173,17.5,20.0,BRK
NL0174,0.0,1.4,FERR
NL0174,1.4,7.3,LIM
NL0174,7.3,27.9,SAP
NL0174,27.9,32.0,BRK
NL0175,0.0,3.0,FERR
NL0175,3.0,9.3,LIM
NL0175,9.3,19.0,SAP
NL0175,19.0,24.0,BRK
NL0176,0.0,2.0,FERR
NL0176,2.0,8.1,LIM
NL0176,8.1,13.7,SAP
NL0176,13.7,16.0,BRK
NL0177,0.0,0.7,FERR
NL0177,0.7,6.5,LIM
NL0177,6.5,27.0,SAP
NL0177,27.0,30.0,BRK
NL0178,0.0,1.1,FERR
NL0178,1.1,7.9,LIM
NL0178,7.9,18.5,SAP
NL0178,18.5,22.0,BRK
NL0179,0.0,1.0,FERR
NL0179,1.0,10.0,LIM
NL0179,10.0,18.3,SAP
NL0179,18.3,23.0,BRK
NL0180,0.0,2.9,FERR
NL0180,2.9,11.9,LIM
NL0180,11.9,29.8,SAP
NL0180,29.8,32.0,BRK
NL0181,0.0,1.8,FERR
NL0181,1.8,7.8,LIM
NL0181,7.8,18.2,SAP
NL0181,18.2,21.0,BRK
NL0182,0.0,2.1,FERR
NL0182,2.1,8.6,LIM
NL0182,8.6,14.9,SAP
NL0182,14.9,17.0,BRK
NL0183,0.0,2.4,FERR
NL0183,2.4,10.1,LIM
NL0183,10.1,13.7,SAP
NL0183,13.7,17.0,BRK
NL0184,0.0,2.4,FERR
NL0184,2.4,9.5,LIM
NL0184,9.5,20.7,SAP
NL0184,20.7,25.0,BRK
NL0185,0.0,2.0,FERR
NL0185,2.0,10.9,LIM
NL0185,10.9,18.4,SAP
NL0185,18.4,22.0,BRK
NL0186,0.0,1.4,FERR
NL0186,1.4,12.3,LIM
NL0186,12.3,21.0,SAP
NL0186,21.0,25.0,BRK
NL0187,0.0,3.1,FERR
NL0187,3.1,10.8,LIM
NL0187,10.8,23.2,SAP
NL0187,23.2,28.0,BRK
NL0188,0.0,1.7,FERR
NL0188,1.7,10.2,LIM
NL0188,10.2,27.1,SAP
NL0188,27.1,30.0,BRK
NL0189,0.0,1.8,FERR
NL0189,1.8,9.3,LIM
NL0189,9.3,14.3,SAP
NL0189,14.3,17.0,BRK
NL0190,0.0,2.5,FERR
NL0190,2.5,8.5,LIM
NL0190,8.5,16.4,SAP
NL0190,16.4,20.0,BRK
NL0191,0.0,1.7,FERR
NL0191,1.7,7.5,LIM
NL0191,7.5,13.9,SAP
NL0191,13.9,17.0,BRK
NL0192,0.0,2.1,FERR
NL0192,2.1,8.0,LIM
NL0192,8.0,12.5,SAP
NL0192,12.5,16.0,BRK
NL0193,0.0,2.2,FERR
NL0193,2.2,7.7,LIM
NL0193,7.7,18.7,SAP
NL0193,18.7,23.0,BRK
NL0194,0.0,3.9,FERR
NL0194,3.9,7.5,LIM
NL0194,7.5,15.5,SAP
NL0194,15.5,18.0,BRK
NL0195,0.0,3.2,FERR
NL0195,3.2,9.2,LIM
NL0195,9.2,15.1,SAP
NL0195,15.1,18.0,BRK
NL0196,0.0,1.5,FERR
NL0196,1.5,9.6,LIM
NL0196,9.6,19.6,SAP
NL0196,19.6,24.0,BRK
NL0197,0.0,0.1,FERR
NL0197,0.1,10.0,LIM
NL0197,10.0,59.6,SAP
NL0197,59.6,64.0,BRK
NL0198,0.0,0.1,FERR
NL0198,0.1,9.1,LIM
NL0198,9.1,14.6,SAP
NL0198,14.6,18.0,BRK
NL0199,0.0,1.4,FERR
NL0199,1.4,16.3,LIM
NL0199,16.3,24.6,SAP
NL0199,24.6,28.0,BRK
NL0200,0.0,2.5,FERR
NL0200,2.5,11.6,LIM
NL0200,11.6,27.0,SAP
NL0200,27.0,31.0,BRK
NL0201,0.0,1.0,FERR
NL0201,1.0,7.8,LIM
NL0201,7.8,14.4,SAP
NL0201,14.4,19.0,BRK
NL0202,0.0,7.7,LIM
NL0202,7.7,20.7,SAP
NL0202,20.7,25.0,BRK
NL0203,0.0,1.7,FERR
NL0203,1.7,9.9,LIM
NL0203,9.9,17.2,SAP
NL0203,17.2,21.0,BRK
NL0204,0.0,1.6,FERR
NL0204,1.6,9.2,LIM
NL0204,9.2,20.4,SAP
NL0204,20.4,24.0,BRK
NL0205,0.0,1.8,FERR
NL0205,1.8,11.5,LIM
NL0205,11.5,19.1,SAP
NL0205,19.1,21.0,BRK
NL0206,0.0,1.8,FERR
NL0206,1.8,12.1,LIM
NL0206,12.1,16.8,SAP
NL0206,16.8,20.0,BRK
NL0207,0.0,1.7,FERR
NL0207,1.7,12.9,LIM
