HOLE_ID,FROM,TO,NI_PCT,CO_PCT,FE_PCT,MGO_PCT,SIO2_PCT,AL2O3_PCT
NL0003,3.22,4.3,0.229,0.013,37.95,1.04,5.9,5.93
NL0003,4.3,5.3,0.783,0.049,34.41,2.7,12.82,2.48
NL0003,5.3,6.3,0.977,0.124,35.36,1.98,10.48,8.51
NL0003,6.3,7.3,1.092,0.155,39.16,1.31,7.46,3.72
NL0003,7.3,8.3,1.416,0.095,27.91,3.34,8.64,5.08
NL0003,8.3,9.3,0.741,0.045,37.67,2.21,8.2,6.91
NL0003,9.3,10.3,0.521,0.079,37.92,2.31,8.15,3.22
NL0003,10.3,11.26,0.655,0.033,13.44,17.19,37.24,1.66
NL0003,11.26,12.21,1.413,0.018,12.17,9.95,32.69,1.89
NL0003,12.21,13.17,0.651,0.005,22.53,10.59,22.82,1.5
NL0003,13.17,14.12,1.543,0.046,17.75,16.85,24.38,1.71
NL0003,14.12,15.08,1.58,0.018,15.52,20.54,32.39,1.0
NL0003,15.08,16.03,1.574,0.019,15.54,26.69,35.44,1.62
NL0003,16.03,16.99,2.392,0.033,11.65,23.77,42.74,1.75
NL0003,16.99,17.94,3.063,0.063,14.84,20.17,33.03,1.82
NL0003,17.94,18.9,2.011,0.036,14.66,19.51,32.16,1.0
NL0003,18.9,19.93,0.324,0.021,4.72,37.34,42.06,0.67
NL0003,19.93,20.97,0.502,0.018,4.7,33.35,34.83,0.7
NL0003,20.97,22.0,0.563,0.013,5.85,31.91,35.28,1.5
NL0004,0.0,0.92,0.484,0.015,41.36,0.38,7.35,3.66
NL0004,0.92,1.85,0.184,0.011,39.48,0.66,5.7,8.61
NL0004,1.85,2.78,0.165,0.013,47.63,0.71,7.07,5.76
NL0004,2.78,3.7,0.193,0.014,52.52,0.25,4.59,7.82
NL0004,3.7,4.72,0.656,0.072,44.91,1.02,12.03,4.27
NL0004,4.72,5.74,0.734,0.052,50.88,0.7,12.15,1.4
NL0004,5.74,6.76,1.084,0.069,43.22,1.39,9.88,3.79
NL0004,6.76,7.78,0.646,0.045,45.54,1.47,9.17,5.01
NL0004,7.78,8.8,0.702,0.059,47.13,1.87,8.92,5.55
NL0004,8.8,9.82,0.985,0.026,12.21,22.42,43.95,1.12
NL0004,9.82,10.84,1.134,0.041,13.98,13.95,31.45,0.88
NL0004,10.84,11.86,1.33,0.035,17.05,8.77,32.99,1.0
NL0004,11.86,12.88,1.458,0.048,16.23,15.82,40.86,2.28
NL0004,12.88,13.9,2.853,0.038,16.2,10.49,48.04,2.64
NL0004,13.9,14.92,0.444,0.013,5.47,26.48,51.61,1.51
NL0004,14.92,15.95,0.303,0.014,4.37,32.92,46.84,1.59
NL0004,15.95,16.98,0.324,0.01,5.15,30.2,49.05,0.96
NL0004,16.98,18.0,0.22,0.015,6.57,34.54,29.64,1.36
NL0005,0.0,1.07,0.28,0.014,48.46,0.3,7.1,3.2
NL0005,1.07,2.13,0.18,0.008,46.34,0.31,7.85,6.35
NL0005,2.13,3.2,0.133,0.013,51.44,0.14,5.06,9.07
NL0005,3.2,4.2,1.509,0.09,43.64,0.87,7.68,5.15
NL0005,4.2,5.2,0.744,0.023,41.58,0.97,11.66,8.08
NL0005,5.2,6.2,0.493,0.015,43.71,1.77,10.88,4.67
NL0005,6.2,7.2,0.827,0.041,37.25,2.84,12.41,3.31
NL0005,7.2,8.2,1.41,0.173,36.51,1.45,10.33,9.59
NL0005,8.2,9.2,1.133,0.132,48.71,1.21,10.35,5.19
NL0005,9.2,10.2,0.857,0.07,45.81,1.02,10.2,7.35
NL0005,10.2,11.2,0.797,0.071,45.0,1.73,12.85,7.51
NL0005,11.2,12.2,0.889,0.115,47.14,1.8,6.55,10.97
NL0005,12.2,13.18,0.903,0.066,20.05,16.58,34.03,3.41
NL0005,13.18,14.17,1.287,0.053,18.71,16.36,29.85,2.38
NL0005,14.17,15.15,1.076,0.025,21.16,13.37,26.82,1.95
NL0005,15.15,16.14,1.531,0.019,20.8,18.41,20.06,1.92
NL0005,16.14,17.12,0.941,0.034,19.58,16.34,22.08,3.67
NL0005,17.12,18.11,2.338,0.076,18.76,13.48,21.63,3.65
NL0005,18.11,19.09,2.351,0.058,12.02,36.15,29.22,2.37
NL0005,19.09,20.08,2.039,0.089,8.95,41.51,29.81,1.18
NL0005,20.08,21.06,1.762,0.038,9.75,42.92,27.67,1.18
NL0005,21.06,22.05,2.674,0.052,14.35,16.93,37.28,3.23
NL0005,22.05,23.03,2.336,0.044,18.54,8.47,27.57,4.14
NL0005,23.03,24.02,2.431,0.043,14.05,9.64,50.43,2.08
NL0005,24.02,25.0,1.831,0.035,16.81,13.8,40.17,2.13
NL0005,25.0,26.0,0.157,0.019,4.25,52.34,28.9,0.46
NL0005,26.0,27.0,0.205,0.022,5.37,39.69,39.79,0.55
NL0005,27.0,28.0,0.22,0.011,4.9,47.23,32.95,0.53
NL0006,0.0,1.03,0.2,0.004,53.28,0.31,4.06,7.2
NL0006,1.03,2.05,0.369,0.008,53.6,0.22,3.11,7.57
NL0006,2.05,3.08,0.413,0.014,54.99,0.17,3.18,5.49
NL0006,3.08,4.1,0.387,0.034,53.19,0.24,4.65,6.53
NL0006,4.1,5.06,1.179,0.241,53.63,0.9,5.63,3.0
NL0006,5.06,6.01,1.719,0.244,42.15,1.04,9.95,6.21
NL0006,6.01,6.97,0.878,0.122,41.2,0.89,12.57,7.78
NL0006,6.97,7.92,1.457,0.13,31.8,1.7,10.42,7.76
NL0006,7.92,8.88,0.742,0.032,42.7,1.33,9.43,10.12
NL0006,8.88,9.83,0.493,0.038,52.12,1.56,6.69,4.55
NL0006,9.83,10.79,0.622,0.033,45.42,2.1,7.33,4.18
NL0006,10.79,11.74,0.908,0.029,53.06,0.64,7.1,3.2
NL0006,11.74,12.7,1.071,0.019,41.9,0.76,7.98,3.21
NL0006,12.7,13.71,1.713,0.012,18.88,7.28,19.49,1.76
NL0006,13.71,14.72,2.023,0.011,13.2,15.02,25.19,1.35
NL0006,14.72,15.72,1.256,0.015,15.07,8.54,21.17,1.56
NL0006,15.72,16.73,2.102,0.045,13.29,24.41,21.47,1.11
NL0006,16.73,17.74,2.648,0.056,7.62,45.22,26.65,1.8
NL0006,17.74,18.75,3.505,0.092,8.15,41.59,27.2,2.97
NL0006,18.75,19.75,1.928,0.027,9.39,27.24,33.11,3.53
NL0006,19.75,20.76,1.296,0.021,10.9,24.18,42.28,2.25
NL0006,20.76,21.77,0.919,0.015,8.3,38.42,34.2,2.33
NL0006,21.77,22.78,0.837,0.017,14.86,19.75,30.08,4.19
NL0006,22.78,23.78,0.871,0.025,10.18,38.98,32.25,1.08
NL0006,23.78,24.79,1.066,0.055,9.92,39.19,32.26,0.94
NL0006,24.79,25.8,1.478,0.037,12.19,37.41,29.54,1.7
NL0006,25.8,26.87,0.251,0.017,2.68,54.3,29.11,0.42
NL0006,26.87,27.93,0.213,0.013,5.66,52.63,25.58,1.42
NL0006,27.93,29.0,0.336,0.018,5.76,38.03,27.38,1.38
NL0007,0.0,1.07,0.452,0.034,48.22,0.2,4.74,13.5
NL0007,1.07,2.13,0.473,0.023,50.5,0.18,3.27,11.72
NL0007,2.13,3.2,0.392,0.043,43.46,0.29,3.63,21.39
NL0007,3.2,4.19,0.472,0.102,44.89,1.32,5.9,15.87
NL0007,4.19,5.18,0.517,0.093,48.83,0.99,6.48,9.93
NL0007,5.18,6.17,0.749,0.083,35.3,1.39,12.61,7.46
NL0007,6.17,7.16,1.057,0.252,36.89,1.65,8.48,6.87
NL0007,7.16,8.14,0.785,0.131,46.69,0.85,5.91,4.17
NL0007,8.14,9.13,1.222,0.127,37.21,1.61,7.02,1.83
NL0007,9.13,10.12,0.841,0.057,35.11,3.42,10.74,3.0
NL0007,10.12,11.11,1.316,0.044,32.18,3.26,11.32,2.42
NL0007,11.11,12.1,1.042,0.074,39.39,2.7,8.17,2.93
NL0007,12.1,13.11,1.108,0.019,13.06,20.59,37.05,0.95
NL0007,13.11,14.13,0.932,0.016,12.38,19.22,48.69,1.18
NL0007,14.13,15.14,1.391,0.023,14.47,12.52,34.13,3.17
NL0007,15.14,16.16,1.357,0.01,10.96,31.48,36.71,2.4
NL0007,16.16,17.17,1.479,0.019,15.78,12.32,32.41,2.58
NL0007,17.17,18.19,1.757,0.031,16.74,13.08,33.52,1.76
NL0007,18.19,19.2,0.967,0.007,12.6,16.11,45.91,2.08
NL0007,19.2,20.13,0.13,0.003,6.22,35.07,30.75,0.75
NL0007,20.13,21.07,0.182,0.007,5.88,43.97,34.78,0.61
NL0007,21.07,22.0,0.202,0.006,5.33,39.97,39.67,0.47
NL0008,0.0,1.04,0.236,0.014,52.38,0.34,4.35,8.11
NL0008,1.04,2.08,0.204,0.019,45.26,0.4,5.09,17.13
NL0008,2.08,3.12,0.366,0.031,40.97,0.45,3.35,25.12
NL0008,3.12,4.16,0.3,0.016,41.66,0.33,4.26,7.73
NL0008,4.16,5.2,0.244,0.01,39.91,0.53,3.45,6.96
NL0008,5.2,6.22,0.415,0.025,39.83,2.05,7.05,2.55
NL0008,6.22,7.24,1.098,0.118,33.5,2.01,8.64,4.57
NL0008,7.24,8.26,1.52,0.066,35.9,1.45,7.62,4.47
NL0008,8.26,9.28,1.44,0.041,43.94,0.8,9.82,3.21
NL0008,9.28,10.3,0.484,0.013,48.32,1.45,9.04,5.39
NL0008,10.3,11.32,1.726,0.199,43.09,1.22,6.57,6.03
NL0008,11.32,12.34,2.109,0.088,47.7,1.32,7.01,1.95
NL0008,12.34,13.36,1.306,0.094,54.77,1.58,4.91,1.42
NL0008,13.36,14.38,0.821,0.056,54.43,0.67,7.0,1.4
NL0008,14.38,15.4,1.002,0.078,47.02,1.51,7.4,1.56
NL0008,15.4,16.46,1.318,0.039,19.04,17.72,33.61,1.19
NL0008,16.46,17.51,1.211,0.01,15.54,14.74,27.05,1.13
NL0008,17.51,18.57,2.228,0.061,12.65,14.73,49.14,0.89
NL0008,18.57,19.63,2.095,0.07,13.04,25.03,40.9,0.67
NL0008,19.63,20.69,2.875,0.053,12.16,28.46,37.57,0.87
NL0008,20.69,21.74,1.718,0.013,13.33,31.09,33.94,1.7
NL0008,21.74,22.8,1.109,0.009,16.3,29.52,26.96,1.29
NL0008,22.8,23.87,0.11,0.004,3.34,56.96,25.4,0.72
NL0008,23.87,24.93,0.211,0.007,5.25,37.89,32.42,0.49
NL0008,24.93,26.0,0.288,0.021,6.08,33.56,33.91,0.41
NL0009,0.0,0.92,0.252,0.022,54.99,0.2,3.86,4.96
NL0009,0.92,1.85,0.148,0.011,51.82,0.33,5.07,8.3
NL0009,1.85,2.78,0.197,0.035,41.37,0.75,4.54,7.08
NL0009,2.78,3.7,0.223,0.045,51.74,0.34,4.93,7.78
NL0009,3.7,4.71,0.593,0.24,51.57,1.08,8.47,3.66
NL0009,4.71,5.71,1.333,0.263,50.36,1.17,7.82,4.98
NL0009,5.71,6.72,0.565,0.1,41.7,1.49,14.52,6.73
NL0009,6.72,7.73,1.166,0.06,29.07,2.79,10.1,3.38
NL0009,7.73,8.74,0.863,0.045,43.38,1.22,14.12,3.23
NL0009,8.74,9.74,0.413,0.023,50.0,1.58,12.77,1.6
NL0009,9.74,10.75,0.856,0.046,48.49,1.69,12.08,0.91
NL0009,10.75,11.76,1.009,0.04,49.46,1.32,9.25,2.48
NL0009,11.76,12.76,1.315,0.049,54.35,1.25,5.65,1.65
NL0009,12.76,13.77,1.117,0.062,49.72,1.04,8.43,2.81
NL0009,13.77,14.78,0.783,0.104,47.42,2.21,11.37,5.49
NL0009,14.78,15.79,0.837,0.199,48.28,1.43,9.77,1.18
NL0009,15.79,16.79,1.376,0.135,40.45,1.44,10.65,2.43
NL0009,16.79,17.8,1.441,0.126,40.2,1.43,9.07,1.83
NL0009,17.8,18.77,0.936,0.012,12.33,20.41,47.47,0.83
NL0009,18.77,19.73,1.962,0.029,10.42,19.66,48.49,2.41
NL0009,19.73,20.7,1.309,0.01,13.43,12.01,42.21,1.67
NL0009,20.7,21.67,1.403,0.01,13.28,12.97,37.64,1.75
NL0009,21.67,22.63,1.849,0.014,10.95,19.6,45.92,1.68
NL0009,22.63,23.6,1.212,0.006,12.98,18.18,48.8,0.92
NL0009,23.6,24.57,1.492,0.013,13.14,27.28,39.03,0.99
NL0009,24.57,25.53,0.764,0.007,11.11,28.07,42.22,0.84
NL0009,25.53,26.5,0.713,0.007,10.02,33.24,38.51,1.01
NL0009,26.5,27.47,0.807,0.024,12.39,28.43,39.39,1.4
NL0009,27.47,28.43,1.571,0.026,18.03,15.08,36.61,1.61
NL0009,28.43,29.4,1.487,0.037,15.41,17.11,37.35,1.75
NL0009,29.4,30.37,1.058,0.015,13.79,15.53,50.39,1.0
NL0009,30.37,31.33,1.284,0.013,17.13,16.39,32.86,1.72
NL0009,31.33,32.3,2.511,0.023,18.09,8.39,27.12,2.34
NL0009,32.3,33.22,0.358,0.014,6.52,19.29,34.51,1.2
NL0009,33.22,34.15,0.223,0.017,4.35,30.29,49.89,1.3
NL0009,34.15,35.08,0.311,0.018,6.15,24.23,35.9,0.81
NL0009,35.08,36.0,0.245,0.015,6.5,26.41,48.72,0.68
NL0010,0.0,1.1,0.306,0.008,50.79,0.32,3.04,9.51
NL0010,1.1,2.2,0.255,0.01,50.69,0.3,2.98,11.91
NL0010,2.2,3.3,0.129,0.006,56.5,0.42,2.54,4.08
NL0010,3.3,4.31,1.022,0.02,41.61,2.03,8.86,6.0
NL0010,4.31,5.32,1.135,0.037,36.65,1.58,7.11,5.6
NL0010,5.32,6.32,0.756,0.039,35.3,1.42,8.17,3.66
NL0010,6.32,7.33,0.957,0.073,43.76,1.37,6.49,5.92
NL0010,7.33,8.34,0.63,0.185,48.85,1.19,7.7,3.43
NL0010,8.34,9.35,0.742,0.124,44.96,1.2,9.06,6.9
NL0010,9.35,10.36,1.338,0.08,41.08,1.87,9.65,2.74
NL0010,10.36,11.37,0.996,0.043,34.38,1.8,10.72,3.55
NL0010,11.37,12.38,0.681,0.029,39.33,1.08,14.58,3.48
NL0010,12.38,13.38,0.42,0.023,49.34,1.16,11.29,4.43
NL0010,13.38,14.39,1.265,0.077,43.08,1.4,9.27,4.28
NL0010,14.39,15.4,1.202,0.131,52.3,0.51,5.75,5.27
NL0010,15.4,16.36,1.033,0.074,17.21,10.41,32.9,1.9
NL0010,16.36,17.32,1.023,0.036,14.5,17.88,46.54,1.5
NL0010,17.32,18.29,1.363,0.069,15.54,15.44,39.13,0.63
NL0010,18.29,19.25,1.395,0.041,17.59,12.72,41.33,1.52
NL0010,19.25,20.21,0.85,0.032,11.36,21.13,48.76,0.75
NL0010,20.21,21.18,0.844,0.013,9.64,31.43,40.81,0.89
NL0010,21.18,22.14,0.714,0.031,15.73,15.95,29.86,1.4
NL0010,22.14,23.1,1.179,0.028,17.85,13.28,30.05,1.22
NL0010,23.1,24.08,0.082,0.007,6.75,35.83,35.92,0.95
NL0010,24.08,25.05,0.16,0.018,6.39,28.0,38.14,0.92
NL0010,25.05,26.02,0.134,0.004,6.26,39.04,32.81,0.86
NL0010,26.02,27.0,0.3,0.017,5.67,45.14,30.77,1.34
NL0011,0.0,1.1,0.557,0.033,37.33,0.59,7.54,6.52
NL0011,1.1,2.2,0.401,0.024,37.97,0.61,6.87,4.37
NL0011,2.2,3.26,1.126,0.284,36.0,2.02,14.05,6.65
NL0011,3.26,4.32,1.454,0.254,35.99,1.94,10.75,3.03
NL0011,4.32,5.39,1.079,0.08,40.36,1.58,8.31,3.19
NL0011,5.39,6.45,0.641,0.043,44.13,1.9,8.28,5.49
NL0011,6.45,7.51,0.76,0.041,37.58,2.8,11.37,5.38
NL0011,7.51,8.57,0.55,0.102,45.64,2.33,9.98,7.27
NL0011,8.57,9.64,1.232,0.16,32.13,1.99,11.87,5.88
NL0011,9.64,10.7,1.108,0.158,35.65,1.07,9.03,7.79
NL0011,10.7,11.66,1.37,0.14,15.15,16.83,34.49,2.48
NL0011,11.66,12.61,1.286,0.038,13.3,23.16,43.29,0.85
NL0011,12.61,13.57,1.461,0.038,12.56,27.4,39.68,1.06
NL0011,13.57,14.53,1.798,0.076,6.9,43.82,30.47,1.45
NL0011,14.53,15.49,1.587,0.038,6.88,34.67,39.33,2.1
NL0011,15.49,16.44,1.196,0.041,9.14,33.88,37.6,1.88
NL0011,16.44,17.4,1.365,0.035,11.71,30.85,36.91,1.72
NL0011,17.4,18.3,0.12,0.005,5.09,39.5,40.29,0.77
NL0011,18.3,19.2,0.208,0.01,4.47,45.53,34.82,0.98
NL0011,19.2,20.1,0.18,0.008,5.02,37.23,42.44,0.92
NL0011,20.1,21.0,0.191,0.007,5.15,34.01,45.83,0.55
NL0012,0.0,1.25,0.265,0.013,39.39,1.16,9.05,12.23
NL0012,1.25,2.5,0.217,0.015,53.11,0.32,4.8,6.66
NL0012,2.5,3.47,0.51,0.029,40.61,1.15,9.8,3.16
NL0012,3.47,4.43,0.96,0.107,44.45,1.62,11.58,3.43
NL0012,4.43,5.4,0.844,0.077,42.17,1.34,14.93,5.13
NL0012,5.4,6.37,1.302,0.066,47.18,0.86,9.69,8.03
NL0012,6.37,7.33,0.998,0.1,36.82,1.51,12.32,4.76
NL0012,7.33,8.3,0.918,0.155,44.72,0.98,12.85,4.52
NL0012,8.3,9.27,0.838,0.063,38.18,2.81,15.57,4.92
NL0012,9.27,10.23,0.866,0.083,31.13,3.43,16.24,5.01
NL0012,10.23,11.2,0.609,0.086,28.83,2.75,16.41,2.98
NL0012,11.2,12.28,0.649,0.013,11.97,11.19,58.3,0.55
NL0012,12.28,13.36,0.68,0.034,11.83,22.91,46.75,0.51
NL0012,13.36,14.44,2.334,0.038,10.8,25.38,43.32,0.84
NL0012,14.44,15.52,1.337,0.048,8.58,37.0,35.78,1.19
NL0012,15.52,16.6,1.819,0.039,8.05,28.5,44.75,0.88
NL0012,16.6,17.73,0.173,0.011,3.37,61.53,20.94,0.48
NL0012,17.73,18.87,0.163,0.016,2.26,66.01,18.25,0.29
NL0012,18.87,20.0,0.18,0.027,4.38,41.21,39.61,0.66
NL0013,0.0,0.93,0.266,0.029,46.32,0.29,4.91,10.15
NL0013,0.93,1.87,0.452,0.044,39.53,0.42,4.91,16.14
NL0013,1.87,2.8,0.381,0.101,51.11,0.49,5.18,7.49
NL0013,2.8,3.79,1.022,0.285,40.95,1.83,9.39,4.79
NL0013,3.79,4.78,0.244,0.024,52.02,1.12,8.27,3.89
NL0013,4.78,5.77,0.713,0.082,46.79,1.22,10.6,6.83
NL0013,5.77,6.76,1.536,0.126,32.97,3.07,14.61,3.25
NL0013,6.76,7.75,1.555,0.108,36.34,2.48,11.65,2.9
NL0013,7.75,8.74,0.801,0.026,43.63,1.45,8.23,2.84
NL0013,8.74,9.73,1.307,0.072,41.5,0.99,8.81,2.28
NL0013,9.73,10.72,0.676,0.102,51.33,1.87,9.82,1.82
NL0013,10.72,11.71,0.799,0.053,52.99,0.66,7.61,2.88
NL0013,11.71,12.7,1.082,0.062,48.8,1.01,11.47,4.29
NL0013,12.7,13.67,1.328,0.026,13.47,16.41,48.58,2.02
NL0013,13.67,14.63,2.099,0.014,13.68,14.89,38.59,0.78
NL0013,14.63,15.6,1.65,0.013,9.2,28.5,42.88,1.35
NL0013,15.6,16.57,1.817,0.024,10.22,29.48,40.8,0.77
NL0013,16.57,17.53,2.262,0.023,11.67,21.7,44.36,0.74
NL0013,17.53,18.5,2.398,0.054,11.56,22.79,31.71,1.83
NL0013,18.5,19.47,1.486,0.029,13.73,14.49,39.47,0.84
NL0013,19.47,20.43,3.04,0.056,14.08,25.62,35.2,0.51
NL0013,20.43,21.4,1.8,0.12,12.02,36.75,29.59,1.19
NL0013,21.4,22.3,0.625,0.141,2.92,63.0,19.38,0.47
NL0013,22.3,23.2,0.525,0.079,4.03,51.63,28.39,1.45
NL0013,23.2,24.1,0.403,0.021,2.67,53.69,29.63,0.32
NL0013,24.1,25.0,0.542,0.014,4.62,38.31,38.8,1.11
NL0014,0.0,1.0,0.212,0.008,52.4,0.79,4.11,6.15
NL0014,1.0,2.0,0.185,0.014,54.67,0.38,3.07,6.14
NL0014,2.0,3.0,0.223,0.005,52.91,0.28,2.4,9.4
NL0014,3.0,4.0,0.558,0.017,51.96,0.62,3.64,8.71
NL0014,4.0,5.0,0.857,0.052,48.66,1.22,7.38,8.28
NL0014,5.0,6.0,0.399,0.031,47.12,1.49,5.43,13.18
NL0014,6.0,7.0,0.338,0.029,50.1,0.99,3.85,11.06
NL0014,7.0,8.0,0.603,0.06,46.34,1.82,8.22,10.87
NL0014,8.0,9.0,1.278,0.091,50.08,1.38,6.36,6.92
NL0014,9.0,10.0,1.894,0.225,35.79,2.51,6.66,4.89
NL0014,10.0,11.0,2.148,0.175,43.16,1.7,7.22,3.09
NL0014,11.0,12.0,2.159,0.163,48.82,1.09,8.15,4.43
NL0014,12.0,12.98,1.483,0.029,18.23,15.92,33.35,2.0
NL0014,12.98,13.95,2.139,0.03,18.23,17.08,23.75,1.76
NL0014,13.95,14.92,1.696,0.043,20.1,12.94,33.4,3.13
NL0014,14.92,15.9,1.362,0.028,15.44,10.54,37.63,3.73
NL0014,15.9,16.88,0.998,0.009,10.65,20.5,49.13,1.86
NL0014,16.88,17.85,1.214,0.013,13.92,18.59,41.95,1.94
NL0014,17.85,18.83,1.138,0.011,16.54,12.47,44.94,1.43
NL0014,18.83,19.8,0.643,0.008,15.16,18.62,44.8,2.09
NL0014,19.8,20.87,0.12,0.003,5.0,32.36,47.36,0.98
NL0014,20.87,21.93,0.097,0.002,2.63,49.98,33.71,0.42
NL0014,21.93,23.0,0.167,0.004,5.58,46.17,33.33,0.31
NL0015,0.0,1.3,0.26,0.006,38.75,0.72,4.49,9.87
NL0015,1.3,2.26,0.698,0.017,39.99,3.77,8.95,1.98
NL0015,2.26,3.21,0.856,0.074,36.84,3.04,8.76,1.68
NL0015,3.21,4.17,0.47,0.061,39.01,3.2,11.05,3.09
NL0015,4.17,5.12,0.843,0.05,29.81,1.81,10.5,3.06
NL0015,5.12,6.08,1.594,0.13,36.56,2.15,8.3,1.95
NL0015,6.08,7.03,1.24,0.166,41.79,1.61,10.92,3.98
NL0015,7.03,7.99,0.642,0.047,49.86,1.04,8.18,6.61
NL0015,7.99,8.94,0.749,0.083,44.42,1.5,7.92,4.52
NL0015,8.94,9.9,0.683,0.093,46.13,1.7,7.22,5.5
NL0015,9.9,10.91,1.365,0.028,14.65,14.3,25.12,5.15
NL0015,10.91,11.91,0.885,0.024,17.15,15.3,28.02,4.5
NL0015,11.91,12.92,1.001,0.03,14.34,16.6,30.61,8.62
NL0015,12.92,13.92,2.263,0.093,11.1,29.52,27.14,5.6
NL0015,13.92,14.93,1.506,0.045,13.3,26.04,33.46,4.21
NL0015,14.93,15.94,1.786,0.072,12.2,25.32,38.18,4.7
NL0015,15.94,16.94,1.721,0.026,16.38,28.18,28.16,4.92
NL0015,16.94,17.95,3.012,0.049,14.97,21.63,32.76,6.11
NL0015,17.95,18.96,2.475,0.019,22.4,13.19,24.71,2.45
NL0015,18.96,19.96,1.977,0.016,28.69,12.13,22.08,2.54
NL0015,19.96,20.97,2.314,0.047,23.25,7.82,20.97,2.07
NL0015,20.97,21.98,1.896,0.05,18.37,8.83,32.28,2.47
NL0015,21.98,22.98,1.895,0.04,15.44,9.89,39.72,2.68
NL0015,22.98,23.99,2.223,0.036,18.11,11.25,32.19,1.64
NL0015,23.99,24.99,1.896,0.024,18.06,9.22,35.25,2.64
NL0015,24.99,26.0,1.423,0.015,15.76,11.55,38.94,2.86
NL0015,26.0,27.0,0.231,0.007,5.01,28.59,51.13,0.82
NL0015,27.0,28.0,0.192,0.003,5.84,34.19,43.96,1.25
NL0015,28.0,29.0,0.085,0.001,3.66,38.91,42.93,0.81
NL0015,29.0,30.0,0.171,0.003,4.5,47.38,33.35,0.61
NL0016,0.0,1.1,0.429,0.038,38.23,0.29,4.76,5.08
NL0016,1.1,2.2,0.355,0.028,41.42,0.3,4.43,12.67
NL0016,2.2,3.18,1.558,0.129,30.41,2.24,12.38,5.22
NL0016,3.18,4.15,1.515,0.146,45.76,1.13,8.88,2.47
